post_id,text,post_text,shared_text,time,image,video,likes,comments,shares,post_url,link
1578251945574024,"#5206
Honestly as a senior I feel like a dead man walking. Sometimes it's difficult to appreciate the best years of college before its too late, and now my life is all about job applications, and racing a timer to graduation when I will be completely assumed an adult, and assumed ready for life outside of this wonderful place. It's really hard, but if you can somehow learn to appreciate all of student life and the best times of college before senior year, do it. College is SO HARD, the hardest part of life for most of us so far, but it's also by far one of the best things life has to offer as an experience. Enjoy it before you are in the final stretch like me.","#5206
Honestly as a senior I feel like a dead man walking. Sometimes it's difficult to appreciate the best years of college before its too late, and now my life is all about job applications, and racing a timer to graduation when I will be completely assumed an adult, and assumed ready for life outside of this wonderful place. It's really hard, but if you can somehow learn to appreciate all of student life and the best times of college before senior year, do it. College is SO HARD, the hardest part of life for most of us so far, but it's also by far one of the best things life has to offer as an experience. Enjoy it before you are in the final stretch like me.",,1515878056,,,22,0,0,https://m.facebook.com/story.php?story_fbid=1578251945574024&id=455239657875264,
1578251305574088,"#5205
I don't know how grade deflation works, I don't even know how people can tell that their GPA has been deflated. Like, what are the signs?? Is it like a bad grade as a higher weight and impacts your grade more? Is it because some professors curve the grade? I just accept my mediocre GPA and think that's what its value actually is, but how would I be able to accurately compare it to the way other school's scale their gpas?? I'm a senior and I still am confused by the whole thing, sorry for the stupid questions.","#5205
I don't know how grade deflation works, I don't even know how people can tell that their GPA has been deflated. Like, what are the signs?? Is it like a bad grade as a higher weight and impacts your grade more? Is it because some professors curve the grade? I just accept my mediocre GPA and think that's what its value actually is, but how would I be able to accurately compare it to the way other school's scale their gpas?? I'm a senior and I still am confused by the whole thing, sorry for the stupid questions.",,1515877983,,,5,1,0,https://m.facebook.com/story.php?story_fbid=1578251305574088&id=455239657875264,
1578250992240786,"#5204
Is stealing from the GSU any different than stealing from the dining hall? Asking for a friend.","#5204
Is stealing from the GSU any different than stealing from the dining hall? Asking for a friend.",,1515877945,,,13,0,0,https://m.facebook.com/story.php?story_fbid=1578250992240786&id=455239657875264,
1578250332240852,"5203
I’ve read posts about people having crushes on their best friends and I just wanted to share some of my input. I had a crush on my best friend for half a year. Years later we are still best friends and even today every once in a while I’m like maybe I like them again maybe i don’t I don’t know. But what’s important is that they are in my life. I would never do anything to jeopardize the friendship I have as it means the world to me. They will always have a special place in my heart and in the end we are still soulmates (best friend soulmates) and they are still one of the greatest things to ever happen to me. All I want is for them to be happy whether it be with me or someone else. I don’t care, their happiness is all I care about. I hope this helps with anyone who has ever liked their best friend or is friends with someone they have a crush on...sometimes you are meant to be in each other’s lives for a certain reason whether best friends or relationship but if it’s meant to be then it will be. Just focus on yourself and being a positive happy human being and the right person will come along (perhaps that person is your friend). Just focus on your friendship and although sometimes it can be hard just take it from me, once you get over those emotions you will see what an amazing friendship y’all can have","5203
I’ve read posts about people having crushes on their best friends and I just wanted to share some of my input. I had a crush on my best friend for half a year. Years later we are still best friends and even today every once in a while I’m like maybe I like them again maybe i don’t I don’t know. But what’s important is that they are in my life. I would never do anything to jeopardize the friendship I have as it means the world to me. They will always have a special place in my heart and in the end we are still soulmates (best friend soulmates) and they are still one of the greatest things to ever happen to me. All I want is for them to be happy whether it be with me or someone else. I don’t care, their happiness is all I care about. I hope this helps with anyone who has ever liked their best friend or is friends with someone they have a crush on...sometimes you are meant to be in each other’s lives for a certain reason whether best friends or relationship but if it’s meant to be then it will be. Just focus on yourself and being a positive happy human being and the right person will come along (perhaps that person is your friend). Just focus on your friendship and although sometimes it can be hard just take it from me, once you get over those emotions you will see what an amazing friendship y’all can have",,1515877879,,,7,0,0,https://m.facebook.com/story.php?story_fbid=1578250332240852&id=455239657875264,
1578249432240942,"#5202
I just found out that COM has a class that's only dedicated to GOT final season -_-","#5202
I just found out that COM has a class that's only dedicated to GOT final season -_-",,1515877756,,,9,0,0,https://m.facebook.com/story.php?story_fbid=1578249432240942&id=455239657875264,
1578249062240979,"#5201
Graduating means all the same debauchery and irresponsibility of college but no homework or exams. It's the fucking best. Also I'm so much closer to my friends now and my mental health is a lot better. I had no idea post-grad life would be so satisfying","#5201
Graduating means all the same debauchery and irresponsibility of college but no homework or exams. It's the fucking best. Also I'm so much closer to my friends now and my mental health is a lot better. I had no idea post-grad life would be so satisfying",,1515877723,,,14,0,0,https://m.facebook.com/story.php?story_fbid=1578249062240979&id=455239657875264,
1578248625574356,"#5200
It’s creepy when I hear how some professors fuck their students or even date them. Actually, it’s just skeevy when I hear about men twice as old as these girls fucking and dating them. And y’all like that shit?? Y’all are okay with that? I mean that’s pretty predatory on the guy’s end. We have this one professor where there’s a rumor that he has to keep his door open bc he would apparently come on to the students. And it’s just irritating to hear how everyone says he’s sexy (nigga ain’t shit, he a typical average middle aged white dude) and there’s this culture where it’s normal to get it on with someone that old in higher position of authority. Why is this normal now?? It grosses me out to hear people say “oh I’m dating this professor at x school”, especially when the dude is MARRIED. That’s not a cool thing, y’all need to get away ASAP bc that’s some nasty shit. A married dude or some guy much older than you making advances. That will haunt you later and it will hurt you. Please stay safe and please stop acting like this is okay.","#5200
It’s creepy when I hear how some professors fuck their students or even date them. Actually, it’s just skeevy when I hear about men twice as old as these girls fucking and dating them. And y’all like that shit?? Y’all are okay with that? I mean that’s pretty predatory on the guy’s end. We have this one professor where there’s a rumor that he has to keep his door open bc he would apparently come on to the students. And it’s just irritating to hear how everyone says he’s sexy (nigga ain’t shit, he a typical average middle aged white dude) and there’s this culture where it’s normal to get it on with someone that old in higher position of authority. Why is this normal now?? It grosses me out to hear people say “oh I’m dating this professor at x school”, especially when the dude is MARRIED. That’s not a cool thing, y’all need to get away ASAP bc that’s some nasty shit. A married dude or some guy much older than you making advances. That will haunt you later and it will hurt you. Please stay safe and please stop acting like this is okay.",,1515877660,,,14,2,0,https://m.facebook.com/story.php?story_fbid=1578248625574356&id=455239657875264,
1578248022241083,"#5199
To the people shining laser pointers from rooms in StuVi and StuVi2 into people's faces on the street below ... um hi? What - are we in middle school? I didn't realize blinding people while they're minding their own business was a cool thing to do.","#5199
To the people shining laser pointers from rooms in StuVi and StuVi2 into people's faces on the street below ... um hi? What - are we in middle school? I didn't realize blinding people while they're minding their own business was a cool thing to do.",,1515877577,,,5,0,0,https://m.facebook.com/story.php?story_fbid=1578248022241083&id=455239657875264,
1578246228907929,"#5198
Everyone here makes me feel like absolute shit. I feel dumb as fuck when I talk to people telling me this is your safety school when you were throwing applications out. Bitch this was my reach school wtf?","#5198
Everyone here makes me feel like absolute shit. I feel dumb as fuck when I talk to people telling me this is your safety school when you were throwing applications out. Bitch this was my reach school wtf?",,1515877478,,,18,3,0,https://m.facebook.com/story.php?story_fbid=1578246228907929&id=455239657875264,
1578245782241307,"#5197
Do not starve yourself to lose weight when you have a lot of duties on your list. I did it and was mentally/ psychologically useless for 2 days until finally recover after eating normal. Fuck diet.","#5197
Do not starve yourself to lose weight when you have a lot of duties on your list. I did it and was mentally/ psychologically useless for 2 days until finally recover after eating normal. Fuck diet.",,1515877425,,,6,0,0,https://m.facebook.com/story.php?story_fbid=1578245782241307&id=455239657875264,
1578245098908042,"#5196
I've been single for a while and have been on the search for a relationship, but have had no luck. It just sucks that you can't find people the normal way because technology has taken over and hookup culture exists. I'm not trying to wallow in my own loneliness, but my friends are in relationships and I miss that comfort of being in one. Wish I could meet someone worth getting to know.","#5196
I've been single for a while and have been on the search for a relationship, but have had no luck. It just sucks that you can't find people the normal way because technology has taken over and hookup culture exists. I'm not trying to wallow in my own loneliness, but my friends are in relationships and I miss that comfort of being in one. Wish I could meet someone worth getting to know.",,1515877339,,,9,0,0,https://m.facebook.com/story.php?story_fbid=1578245098908042&id=455239657875264,
1493503640715522,"#5194
Never been in love, never been on a first date, never had a first kiss. I don't mind, but I wish it were easier to meet someone organically these days","#5194
Never been in love, never been on a first date, never had a first kiss. I don't mind, but I wish it were easier to meet someone organically these days",,1508098088,,,37,1,0,https://m.facebook.com/story.php?story_fbid=1493503640715522&id=455239657875264,
1493503250715561,"#5192
To all the people submitting anonymous messages about suicidal thoughts/depression: Please, get help. No one can make you get help, no one can make you get better, no one can flip a switch so that everything you're dealing with goes away. Only _you_ can decide that you want things to get better and reach out to the right people to start working on it. I really hope you do get better, but you're the one who needs to start that process. I highly recommend talking to SARP -- they're much better than BU Mental Health.","#5192
To all the people submitting anonymous messages about suicidal thoughts/depression: Please, get help. No one can make you get help, no one can make you get better, no one can flip a switch so that everything you're dealing with goes away. Only _you_ can decide that you want things to get better and reach out to the right people to start working on it. I really hope you do get better, but you're the one who needs to start that process. I highly recommend talking to SARP -- they're much better than BU Mental Health.",,1508098058,,,20,1,0,https://m.facebook.com/story.php?story_fbid=1493503250715561&id=455239657875264,
1493502830715603,"#5190
I quit drugs a couple of weeks ago and its the worst. I can't fucking stand it. Everyone says that you'll feel great when you're sober. Fucking Bullshit.","#5190
I quit drugs a couple of weeks ago and its the worst. I can't fucking stand it. Everyone says that you'll feel great when you're sober. Fucking Bullshit.",,1508098011,,,2,0,0,https://m.facebook.com/story.php?story_fbid=1493502830715603&id=455239657875264,
