post_id,total_reactions,top_reactions
1578251945574024,22,Like
1578251305574088,5,Like
1578250992240786,15,"Like,Love,Haha"
1578250332240852,11,"Like,Love"
1578249432240942,10,"Like,Haha"
1578249062240979,16,"Like,Love"
1578248625574356,14,Like
1578248022241083,5,Like
1578246228907929,18,Like
1578245782241307,7,"Like,Haha"
1578245098908042,9,Like
1493503640715522,37,Like
1493503250715561,20,Like
1493502830715603,2,Like
1493502727382280,1,Sad
1493502374048982,3,Like
1493502160715670,21,"Like,Haha,Love"
1493501954049024,6,Like
1493501894049030,1,Like
1493501800715706,16,"Like,Love"
1493440797388473,343,"Like,Love"
1492816577450895,46,"Like,Love,Haha"
1492816320784254,21,"Like,Sad,Love"
1492816167450936,10,"Like,Love,Sad"
1492815494117670,106,"Like,Haha,Love"
1492815190784367,12,"Love,Like"
1492814684117751,2,Like
1492814490784437,68,Like
1492814350784451,1,Like
1492814134117806,11,Like
1492813887451164,3,"Like,Haha,Wow"
1492813757451177,0,
1492813364117883,33,"Like,Haha,Love"
1492813190784567,3,"Like,Sad"
1492813027451250,0,
1492812907451262,20,"Like,Haha"
1491531104246109,30,"Like,Haha,Love"
1491530817579471,26,"Like,Haha,Angry"
1491530550912831,53,"Like,Haha,Sad"
1491530310912855,90,"Like,Haha,Love"
1491530210912865,9,"Like,Haha"
1491530050912881,4,Like
1491529960912890,62,"Like,Haha,Love"
1491055710960315,8,Like
1491038880961998,169,"Like,Haha,Love"
1491038534295366,15,"Like,Haha,Sad"
1491038460962040,6,Like
1491038387628714,2,Like
1491038164295403,2,Like
1490127384386481,88,"Like,Love,Sad"
1490126867719866,4,Like
1490126707719882,34,"Like,Haha,Love"
1490126624386557,25,"Like,Haha"
1490072901058596,9,"Like,Love"
1489971581068728,0,
1489971364402083,9,Like
1489971181068768,12,"Like,Sad,Love"
1489971074402112,15,"Like,Haha,Love"
1489444837788069,43,"Like,Haha,Sad"
1489437944455425,6,Like
1489437801122106,344,"Like,Love,Haha"
1489437657788787,42,"Like,Haha,Love"
1489437594455460,0,
1489437417788811,10,"Like,Haha,Sad"
1489094457823107,4,Like
1489094071156479,24,"Sad,Like"
1489093944489825,11,"Like,Love"
1489093797823173,14,"Like,Love"
1489093631156523,10,"Like,Haha"
1489093164489903,59,"Like,Love"
1489092787823274,2,Like
1489092547823298,8,"Like,Sad"
1488372057895347,96,"Like,Haha,Love"
1488371627895390,0,
1488371247895428,28,"Like,Haha,Angry"
1488370867895466,9,"Like,Haha,Wow"
1488370617895491,102,"Like,Love"
1488369441228942,23,"Sad,Like,Love"
1488368344562385,19,"Like,Haha,Love"
1488366794562540,48,"Like,Haha,Love"
1488302924568927,7,"Like,Haha,Wow"
1486744058058147,9,Like
1486735541392332,79,"Like,Haha"
1486735121392374,18,"Like,Haha"
1486734678059085,30,"Like,Love"
1486734268059126,37,"Like,Sad"
1486733574725862,25,"Like,Love,Wow"
1486733218059231,25,"Like,Haha,Love"
1470159243049962,14,"Like,Haha"
1470156633050223,76,"Like,Love"
1470155396383680,13,Like
1470153049717248,19,"Like,Haha"
1470152356383984,28,"Like,Haha,Angry"
1470151446384075,24,"Like,Wow"
1470123839720169,0,
1275186202547268,30,"Like,Haha"
1275185999213955,38,"Like,Haha,Wow"
1273277829404772,43,"Like,Haha,Love"
1272202226178999,27,"Like,Haha"
1272202006179021,145,"Like,Haha,Love"
1269184763147412,46,"Like,Haha,Sad"
1269184496480772,18,Like
1269184319814123,9,"Like,Haha"
1267910386608183,131,"Like,Haha"
1266071053458783,14,"Like,Haha"
1266070256792196,23,Like
1266069616792260,8,"Like,Haha"
1263644223701466,3,Like
1263643223701566,115,"Like,Haha"
1263642900368265,12,"Like,Wow"
1263642513701637,14,"Like,Haha"
1263642173701671,6,Like
1263642033701685,16,Like
1263641460368409,32,"Like,Love,Angry"
1263640540368501,91,"Like,Haha"
1246098922122663,18,Like
1233515900047632,7,Like
1218155504917005,47,"Like,Sad,Love"
1218155154917040,127,"Like,Haha"
1218154868250402,95,Like
1218154731583749,21,Like
1218154418250447,69,"Angry,Like,Haha"
1218151624917393,225,"Like,Haha,Love"
1215260935206462,44,Like
1215260695206486,113,"Like,Love,Haha"
1215252448540644,165,"Like,Haha,Love"
1215250201874202,25,"Like,Haha,Love"
1213025985429957,59,"Like,Sad"
1212518772147345,105,"Like,Wow"
1209547832444439,37,Like
1208253802573842,152,"Like,Love,Haha"
1208253605907195,287,"Like,Love"
1208253122573910,43,Like
1208252705907285,37,"Like,Haha"
1208251369240752,14,Like
1208250119240877,95,Like
1203097136422842,10,"Like,Love"
1203096406422915,46,"Like,Haha"
1203093419756547,38,Like
1202944099771479,37,"Like,Haha,Sad"
1200093306723225,28,Like
1199815616750994,16,Like
1199814020084487,230,"Like,Love,Angry"
1199812920084597,26,Like
1195428630523026,34,"Like,Haha"
1195427950523094,12,Like
1195427263856496,27,Like
1195426660523223,3,Like
1191757584223464,32,"Like,Haha,Love"
1191611657571390,18,Like
1191610144238208,9,Like
1191609807571575,30,"Like,Love"
1185961558136400,108,"Like,Haha,Love"
