post_id,text,post_text,shared_text,time,image,video,likes,comments,shares,post_url,link
2625977847623547,"Submissions: https://bristruths.uni-truths.com/
All submissions are fully anonymous. We shall not post anything with student names, initials only please. Nothing crass, derogatory, accusatory or libellous about public figures.
Complaints: If you are unhappy with a post then reporting it just means your beloved page may go down. Message us instead and we shall deal with it ASAP
If you are feeling depressed or suicidal there are people to chat to
https://www.samaritans.org/how-we-can-help-you
www.bigwhitewall.com
http://www.bristol.ac.uk/students/wellbeing/
If there is risk of serious injury or life in danger, call 999
BRISTRUTHS.UNI-TRUTHS.COM
Bristruths","Submissions: https://bristruths.uni-truths.com/
All submissions are fully anonymous. We shall not post anything with student names, initials only please. Nothing crass, derogatory, accusatory or libellous about public figures.
Complaints: If you are unhappy with a post then reporting it just means your beloved page may go down. Message us instead and we shall deal with it ASAP
If you are feeling depressed or suicidal there are people to chat to
https://www.samaritans.org/how-we-can-help-you
www.bigwhitewall.com
http://www.bristol.ac.uk/students/wellbeing/
If there is risk of serious injury or life in danger, call 999","BRISTRUTHS.UNI-TRUTHS.COM
Bristruths",1582560049,https://external.ftlv5-1.fna.fbcdn.net/safe_image.php?d=AQBvdBi4Xz7XFCYl&w=476&h=249&url=https%3A%2F%2Funi-truths.com%2Fstorage%2Flogos%2F5ca3c462830c9.png&cfs=1&jq=75&ext=jpg&_nc_hash=AQBTpZYt4v0Y9jUO,,10,0,0,https://m.facebook.com/story.php?story_fbid=2625977847623547&id=2052806998273971,https://bristruths.uni-truths.com/
2737154459839218,"What a year it has been.
We’ve seen our platform grow through war, sharking, and disease, and that was just in Freshers week. Since then we’ve been together through strikes, a global pandemic (and the numerous uni emails that accompanied this), flatcest, rankings of counties and cities that nobody asked for, and the tearing down of the Colston statute. Our admins have been working hard for months to go through the 37,412 submissions we received this year, so : https://www.youtube.com/watch?v=x42aPmtnVDg. As such, we will be pausing submissions and posts.
Thank you for a lovely year, we shall see you (online or not who knows, certainly not Hugh) in the new term.
The Admins xx","What a year it has been.
We’ve seen our platform grow through war, sharking, and disease, and that was just in Freshers week. Since then we’ve been together through strikes, a global pandemic (and the numerous uni emails that accompanied this), flatcest, rankings of counties and cities that nobody asked for, and the tearing down of the Colston statute. Our admins have been working hard for months to go through the 37,412 submissions we received this year, so : https://www.youtube.com/watch?v=x42aPmtnVDg. As such, we will be pausing submissions and posts.
Thank you for a lovely year, we shall see you (online or not who knows, certainly not Hugh) in the new term.
The Admins xx",,1594033216,,,328,0,0,https://m.facebook.com/story.php?story_fbid=2737154459839218&id=2052806998273971,https://www.youtube.com/watch?v=x42aPmtnVDg
2737612733126724,"#Bristruth29918
When music students say they have personality they just meant perfect pitch.","#Bristruth29918
When music students say they have personality they just meant perfect pitch.",,1594030450,,,29,6,0,https://m.facebook.com/story.php?story_fbid=2737612733126724&id=2052806998273971,
2737581089796555,"#Bristruth29917
Eton boys be like “I know a place” and take you to hell and back","#Bristruth29917
Eton boys be like “I know a place” and take you to hell and back",,1594026665,,,35,11,0,https://m.facebook.com/story.php?story_fbid=2737581089796555&id=2052806998273971,
2737551586466172,"#Bristruth29916
Turns out it’s cardamoM not cardamoN???? wtaf","#Bristruth29916
Turns out it’s cardamoM not cardamoN???? wtaf",,1594022889,,,18,0,0,https://m.facebook.com/story.php?story_fbid=2737551586466172&id=2052806998273971,
2737375179817146,"#Bristruth29915
I swear I'm not like other bristol boys *puts on signet ring* I dont like to follow mainstream trends *puts on cargos and puts a polo shirt over a long sleeved tshirt* I have an original taste in fashion *pieces ear with a small hoop* everyone else wants to be like me *rolls an amber leaf cigarette*","#Bristruth29915
I swear I'm not like other bristol boys *puts on signet ring* I dont like to follow mainstream trends *puts on cargos and puts a polo shirt over a long sleeved tshirt* I have an original taste in fashion *pieces ear with a small hoop* everyone else wants to be like me *rolls an amber leaf cigarette*",,1594000145,,,261,37,0,https://m.facebook.com/story.php?story_fbid=2737375179817146&id=2052806998273971,
2737322553155742,"#Bristruth29914
Just graduated from my kitchen LOL","#Bristruth29914
Just graduated from my kitchen LOL",,1593993907,,,6,0,0,https://m.facebook.com/story.php?story_fbid=2737322553155742&id=2052806998273971,
2737293016492029,"#Bristruth29913
bristol students be like “i know a place to eat” and take you to eat a pitta","#Bristruth29913
bristol students be like “i know a place to eat” and take you to eat a pitta",,1593990129,,,436,131,0,https://m.facebook.com/story.php?story_fbid=2737293016492029&id=2052806998273971,
2737264323161565,"#Bristruth29912
Are any groups/ societies organising anything in Bristol over the summer? Most of my friends aren't staying in Bristol over summer and I would like some company.","#Bristruth29912
Are any groups/ societies organising anything in Bristol over the summer? Most of my friends aren't staying in Bristol over summer and I would like some company.",,1593986345,,,6,5,0,https://m.facebook.com/story.php?story_fbid=2737264323161565&id=2052806998273971,
2737234983164499,"#Bristruth29911
Werthers are just Tory wine gums","#Bristruth29911
Werthers are just Tory wine gums",,1593982629,,,31,0,0,https://m.facebook.com/story.php?story_fbid=2737234983164499&id=2052806998273971,
