post_id,total_reactions,top_reactions
2625977847623547,12,"Like,Love,Angry"
2737154459839218,516,"Like,Love,Care"
2737612733126724,51,"Like,Haha,Sad"
2737581089796555,45,"Like,Haha"
2737551586466172,33,"Like,Haha,Wow"
2737375179817146,339,"Like,Haha,Sad"
2737322553155742,7,"Like,Love"
2737293016492029,544,"Like,Haha,Love"
2737264323161565,6,Like
2737234983164499,45,"Like,Haha,Sad"
2737214963166501,82,"Like,Haha,Angry"
2737197253168272,124,"Like,Haha,Love"
2737172876504043,127,"Like,Love,Wow"
2737150509839613,161,"Like,Angry,Love"
2737126456508685,12,Like
2737097439844920,26,"Like,Haha,Love"
2737067049847959,106,"Like,Haha,Sad"
2737025583185439,40,"Like,Sad,Haha"
2736991163188881,355,"Like,Haha,Love"
2736960946525236,21,"Like,Love,Haha"
2736933189861345,52,"Like,Love,Haha"
2736906833197314,202,"Like,Haha,Wow"
2736876859866978,188,"Like,Haha,Angry"
2736852883202709,32,"Like,Angry,Love"
2736815929873071,142,"Like,Love,Haha"
2736781653209832,9,Like
2736578836563447,45,"Like,Love,Haha"
2736047959949868,328,"Like,Love,Care"
2735977793290218,24,"Haha,Like,Love"
2735721059982558,10,"Like,Haha"
2735642299990434,201,"Like,Haha,Sad"
2735585956662735,381,"Like,Haha,Love"
2735538500000814,160,"Like,Love"
2735487420005922,313,"Like,Haha,Love"
2735436850010979,178,"Like,Love,Haha"
2735383183349679,28,"Like,Sad,Wow"
2735325443355453,79,"Like,Haha,Love"
2735269366694394,273,"Like,Love,Angry"
2735214730033191,874,"Like,Love,Care"
2735107876710543,42,"Like,Care"
2734849486736382,158,"Like,Love,Care"
2734774556743875,12,"Like,Haha"
2734721090082555,381,"Like,Haha,Love"
2734663090088355,306,"Like,Haha,Sad"
2734602876761043,123,"Like,Haha,Love"
2734540906767240,13,"Love,Like"
2734471406774190,477,"Like,Haha,Love"
2734411443446853,38,"Like,Haha,Love"
2734307413457256,158,"Angry,Haha,Like"
2733983216823009,70,"Haha,Like,Wow"
2733916110163053,147,"Like,Love,Wow"
2733909490163715,672,"Like,Haha,Sad"
2733842750170389,45,"Like,Haha,Love"
2733590053528992,147,"Like,Haha,Love"
2733567470197917,35,"Haha,Like,Love"
2733537173534280,33,"Like,Haha"
2733506876870643,121,"Like,Care,Love"
2733476373540360,13,"Like,Haha,Love"
2733338106887520,30,"Like,Haha,Love"
2733245766896754,61,"Like,Haha,Love"
2733220426899288,72,"Like,Haha,Love"
2733196216901709,53,"Like,Love,Haha"
2733170353570962,39,"Like,Love,Care"
2733146353573362,30,"Like,Sad,Love"
2733130746908256,28,"Like,Love,Haha"
2733115643576433,30,"Like,Haha"
2733098363578161,29,"Like,Love,Haha"
2733082673579730,71,"Care,Haha,Wow"
2733060266915304,24,"Like,Haha"
2733043196917011,46,"Like,Sad,Wow"
2733024000252264,26,"Like,Love,Haha"
2733003056921025,88,"Like,Love,Haha"
2732983506922980,79,"Like,Haha,Love"
2732965623591435,24,"Like,Haha"
2732944546926876,77,"Like,Haha,Love"
2732924586928872,240,"Like,Love,Haha"
2732906536930677,335,"Like,Love,Care"
2732884623599535,104,"Like,Love"
2732863146935016,278,"Like,Sad,Love"
2732844280270236,20,Like
2732825746938756,34,"Like,Haha,Love"
2732809033607094,23,Like
2732792483608749,53,"Like,Love"
2732766986944632,64,"Like,Care,Sad"
2732737936947537,9,"Like,Love"
2732709200283744,51,"Like,Love,Haha"
2732573963630601,147,"Like,Haha,Sad"
2732467383641259,94,"Like,Haha,Love"
2732438116977519,12,Like
2732435813644416,17,"Like,Sad"
2732414936979837,44,"Like,Haha"
2732388430315821,54,"Like,Love,Care"
2732367240317940,62,"Like,Haha,Wow"
2732348346986496,98,"Like,Haha,Wow"
2732325250322139,77,"Wow,Like,Love"
2732311743656823,25,Like
2732300010324663,17,"Like,Love"
2732287406992590,78,"Like,Haha,Love"
2732273856993945,29,"Like,Care,Love"
2732261333661864,23,"Like,Haha,Love"
2732246833663314,89,"Like,Haha,Angry"
2732233623664635,454,"Like,Love,Care"
2732217203666277,77,"Like,Angry,Care"
2732201750334489,94,"Haha,Like,Love"
2732188773669120,238,"Love,Like,Haha"
2732174197003911,60,"Like,Love"
2732160457005285,18,"Like,Haha"
2732143120340352,364,"Like,Love,Haha"
2732123000342364,51,"Like,Haha"
2732103470344317,73,"Angry,Like,Haha"
2732081217013209,35,"Like,Love"
2732050827016248,184,"Like,Haha,Love"
2732023063685691,356,"Like,Haha,Love"
2731995813688416,12,"Like,Haha,Love"
2731948853693112,40,"Sad,Like"
2731896833698314,63,"Like,Sad,Haha"
2731675577053773,19,"Like,Haha"
2731674173720580,85,"Like,Haha,Love"
2731673617053969,968,"Like,Love,Care"
2731120023775995,44,"Like,Love,Care"
2730351680519496,151,"Like,Love,Haha"
2730321687189162,104,"Like,Love,Haha"
2730284907192840,407,"Haha,Like,Sad"
2730255273862470,36,"Like,Haha"
2730223343865663,77,"Like,Angry"
2730193930535271,82,"Angry,Sad,Like"
2730152347206096,51,"Like,Angry,Haha"
2730108337210497,165,"Like,Love,Care"
2729877917233539,62,"Like,Sad"
2729837357237595,11,"Like,Haha,Sad"
2729796140575050,164,"Like,Love,Care"
2729753967245934,319,"Like,Angry,Sad"
2729728917248439,23,"Like,Love"
2729702523917745,9,"Like,Care,Sad"
2729673783920619,5,Like
2729646423923355,10,Like
2729615933926404,14,"Sad,Like,Haha"
2729584037262927,32,Like
2729551117266219,44,"Like,Haha,Love"
2729512067270124,73,"Like,Haha,Love"
2729473517273979,43,"Like,Haha,Angry"
2729436847277646,33,"Like,Sad,Haha"
2729401973947800,110,"Like,Haha,Love"
2729355227285808,74,"Like,Love,Haha"
2729306403957357,64,"Like,Love,Care"
2729079053980092,24,"Like,Love,Haha"
2729026947318636,24,"Like,Haha"
2728993823988615,29,"Like,Love"
2728956257325705,73,"Like,Angry,Care"
2728934863994511,18,"Like,Haha,Wow"
2728916043996393,6,Like
2728894550665209,12,"Haha,Like"
2728870200667644,223,"Like,Haha,Love"
2728850414002956,10,"Like,Care"
2728828070671857,66,"Like,Care,Sad"
2728804474007550,51,"Like,Love"
2728781430676521,38,"Like,Haha"
2728759214012076,175,"Like,Haha,Wow"
2728736157347715,1,Like
2728703737350957,13,Love
2728680350686629,56,"Like,Care"
2728657040688960,24,"Like,Haha,Love"
2728632007358130,144,"Like,Sad,Care"
2728609027360428,16,"Like,Sad,Care"
2728586727362658,61,"Like,Sad,Care"
2728566530698011,49,"Like,Love,Haha"
2728532614034736,50,"Like,Love,Care"
2728498000704864,0,
2728276420727022,57,"Like,Haha,Love"
2728203224067675,6,"Like,Love"
2728145847406746,30,"Haha,Like"
2728092634078734,139,"Like,Love,Angry"
2728039704084027,53,"Like,Love,Sad"
2727986320756032,109,"Like,Care,Sad"
2727975510757113,19,"Haha,Like"
2727948247426506,476,"Like,Haha,Sad"
2727923377428993,387,"Like,Love,Angry"
2727895854098412,7,"Like,Haha"
2727870110767653,212,"Like,Haha,Love"
2727842874103710,13,"Like,Haha,Angry"
2727817557439575,52,"Like,Haha,Care"
2727793617441969,46,"Like,Haha,Wow"
2727769090777755,77,"Like,Haha,Love"
2727734000781264,10,"Haha,Like"
2727699757451355,17,"Like,Wow"
2727625417458789,85,"Like,Love,Haha"
2727452907476040,59,"Like,Haha,Sad"
2727418460812818,365,"Like,Sad,Haha"
2727382687483062,13,"Like,Haha"
2727344860820178,178,"Like,Haha,Angry"
2727321264155871,391,"Like,Love"
2727297207491610,343,"Like,Love,Haha"
2727273067494024,125,"Like,Haha,Love"
2727246877496643,24,"Like,Love,Care"
2727221857499145,176,"Like,Angry,Love"
2727195907501740,169,"Like,Sad,Care"
2727166934171304,58,"Like,Haha,Wow"
2727122794175718,27,"Like,Haha"
2727075657513765,113,"Like,Love"
2727029047518426,64,"Angry,Care,Love"
2726986237522707,355,"Like,Haha,Love"
2726937290860935,39,"Like,Haha,Angry"
2726877910866873,57,Like
2726643264223671,48,"Like,Haha"
2726595204228477,122,"Like,Haha,Love"
2726548184233179,116,"Like,Haha,Love"
2726509614237036,26,"Like,Sad"
2726479774240020,180,"Like,Love,Haha"
2726434627577868,83,"Like,Angry,Love"
2726387330915931,193,"Like,Wow,Haha"
2726338104254187,178,"Like,Love,Care"
2726294034258594,91,"Like,Love,Haha"
2726244804263517,266,"Like,Love,Sad"
2726187757602555,79,"Like,Haha,Love"
2726124094275588,490,"Angry,Love,Like"
2725939834294014,82,"Like,Haha,Sad"
2725786990975965,387,"Like,Love,Angry"
2725716244316373,44,"Like,Haha,Wow"
2725662864321711,3,Like
2725598577661473,41,"Like,Love,Haha"
2725534067667924,681,"Like,Love"
2725470854340912,299,"Like,Love,Care"
2724821114405886,53,"Like,Haha,Love"
2724795921075072,48,"Like,Haha"
2724769597744371,141,"Like,Haha,Love"
2724742521080412,31,"Like,Love,Wow"
2724716544416343,17,"Like,Haha"
2724687967752534,47,"Like,Haha,Love"
2724661951088469,59,"Like,Sad,Love"
2724635367757794,246,"Haha,Like,Love"
2724609691093695,17,"Like,Haha,Sad"
2724580124429985,42,"Like,Haha"
2724552621099402,20,"Like,Haha"
2724529287768402,30,"Like,Love,Haha"
2724504584437539,237,"Like,Haha,Love"
2724467454441252,243,"Haha,Like,Angry"
2724434314444566,41,Like
2724307277790603,193,"Like,Love,Haha"
2724182994469698,70,"Like,Love,Haha"
2724145901140074,188,"Like,Care,Love"
2724113437809987,83,"Like,Care,Love"
2724077304480267,0,
2724054377815893,0,
2724031534484844,42,"Like,Love,Haha"
2724003061154358,62,"Like,Haha,Love"
2723062191248445,54,"Like,Love,Care"
2723627381191926,63,"Like,Sad,Haha"
2723539161200748,7,Like
2723322977889033,34,"Like,Haha"
2723278464560151,925,"Like,Sad,Wow"
2723232371231427,153,"Like,Love,Wow"
2723191431235521,126,"Like,Haha,Wow"
2723146154573382,3,"Like,Sad"
2723103511244313,32,"Like,Love,Wow"
2723062234581774,89,"Like,Haha"
2723028324585165,611,"Like,Love,Haha"
2722992261255438,19,"Like,Haha,Sad"
2722903207931010,4,Like
2722859394602058,3,Like
2722820281272636,164,"Like,Haha,Love"
2722769177944413,254,"Like,Haha,Sad"
2722694744618523,32,"Like,Haha"
2722454244642573,34,"Like,Haha"
2722388984649099,54,"Haha,Like,Care"
2722301401324524,357,"Sad,Haha,Love"
2722200904667907,10,"Like,Love"
2722133388007992,150,"Like,Haha,Love"
2722057514682246,63,"Like,Haha,Love"
2721991454688852,207,"Like,Wow,Haha"
2721921138029217,97,"Like,Sad,Haha"
2721792538042077,70,"Like,Haha,Sad"
2721578601396804,78,"Like,Love,Haha"
2721484834739514,360,"Love,Haha,Like"
2721429484745049,47,"Like,Haha"
2721359058085425,61,"Like,Haha,Wow"
2721286751425989,122,"Like,Haha,Wow"
2721240358097295,116,"Angry,Like,Haha"
2721195641435100,153,"Like,Sad,Love"
2721158001438864,60,"Like,Sad,Angry"
2721119044776093,49,"Like,Sad,Love"
2721067858114545,61,"Like,Love,Care"
2721003648120966,131,"Angry,Haha,Like"
2720771544810843,38,Like
2720700011484663,150,"Like,Love,Haha"
2720666668154664,71,"Like,Haha,Love"
2720643534823644,8,"Like,Love"
2720620048159326,32,"Like,Angry,Haha"
2720596688161662,69,"Like,Haha,Sad"
2720571671497497,78,"Like,Love,Angry"
2720545434833454,73,"Like,Sad,Love"
2720516774836320,18,"Like,Love"
2720487794839218,9,Like
2720459681508696,172,"Like,Love"
2720435284844469,71,"Like,Haha,Sad"
2720406784847319,285,"Angry,Like,Love"
2720380954849902,122,"Like,Haha,Love"
2720356131519051,28,"Like,Love"
2720331461521518,82,"Like,Angry,Sad"
2720308748190456,71,"Like,Sad,Love"
2720275958193735,7,Like
2720243351530329,18,"Like,Haha"
2720147734873224,91,"Like,Haha,Sad"
2719847724903225,35,"Like,Love,Care"
2719796688241662,2,Sad
2719741968247134,95,"Like,Haha,Love"
2719580214929976,3,Like
2719496718271659,43,"Like,Care,Sad"
2719479001606764,66,"Haha,Like,Love"
2716902115197786,1,Like
2716334478587883,58,"Like,Angry,Wow"
2716140895273908,25,"Like,Haha,Care"
2714830638738267,25,"Like,Haha,Angry"
2714811808740150,233,"Like,Love"
2714656118755719,21,"Like,Care,Love"
2714622015425796,260,"Haha,Like,Angry"
2714604665427531,209,"Like,Love,Care"
2714138448807486,1.1K,"Like,Love,Care"
2713024745585523,255,"Like,Love,Care"
2713089392245725,37,"Like,Care,Love"
2713066298914701,332,"Like,Love,Sad"
2713056308915700,45,"Like,Love"
2712996948921636,67,"Like,Love,Haha"
2712984462256218,37,"Like,Haha,Love"
2712839488937382,41,"Like,Care,Love"
2712638905624107,30,"Like,Love"
2712300518991279,32,"Like,Haha,Love"
2712279818993349,32,"Like,Haha,Sad"
2712197929001538,0,
2712189005669097,3,Haha
2712147985673199,37,"Like,Sad,Love"
2712125892342075,25,Like
2711909355697062,22,"Like,Care,Love"
2711873042367360,33,"Love,Like,Care"
2711850725702925,23,"Like,Love"
2711792299042101,50,Like
2711780002376664,2,Like
2711752965712701,49,"Like,Sad"
2711596302395034,18,"Like,Haha"
2711511142403550,26,"Like,Haha,Love"
2711360755751922,84,"Like,Haha,Love"
2711351979086133,5,"Like,Love,Angry"
2711342919087039,66,"Like,Haha,Sad"
2711189089102422,62,"Like,Love"
2710111962543468,239,"Like,Haha,Love"
2710088292545835,91,"Like,Haha,Love"
2709818915906106,85,Like
2709430222611642,7,Like
2709368645951133,40,"Like,Love"
2708942202660444,176,"Like,Love,Care"
2708721976015800,131,"Like,Love,Angry"
2708704272684237,4,"Like,Haha"
2708574402697224,68,"Like,Haha,Angry"
2708476076040390,370,"Like,Love,Care"
2708112132743451,478,"Like,Love,Care"
2708295009391830,681,"Like,Love,Haha"
2707735452781119,451,"Like,Haha,Love"
2706946472860017,26,"Like,Haha"
2706837559537575,24,"Like,Haha"
2706766266211371,94,"Like,Haha,Love"
2706316162923048,259,"Like,Love,Haha"
2706097729611558,93,"Like,Wow,Haha"
2706068126281185,6,Like
2706038186284179,69,"Like,Haha,Care"
2705971616290836,4,"Like,Care"
2703924723162192,11,"Like,Haha"
2703924213162243,231,"Like,Haha,Love"
2701526313402033,288,"Like,Haha,Sad"
2701398076748190,0,
