post_id,total_reactions,top_reactions
646718335882986,15,"Like,Love"
669810806907072,9,Like
669810370240449,6,"Like,Haha,Wow"
669810006907152,6,Like
669809596907193,74,"Like,Love,Care"
669809210240565,2,"Like,Haha"
669808800240606,60,"Like,Love,Care"
669807973574022,1,Like
669807540240732,30,"Like,Care,Love"
669806686907484,78,"Like,Haha,Wow"
669224020299084,42,"Like,Haha,Sad"
669223590299127,3,Like
669223176965835,3,"Like,Haha,Wow"
669222756965877,77,"Like,Love,Care"
669221910299295,9,Like
669221013632718,31,"Haha,Like,Wow"
669220653632754,14,Like
669220346966118,20,Like
669219943632825,14,"Like,Haha,Wow"
669219236966229,23,"Like,Sad"
669218543632965,9,"Like,Care"
669136893641130,3,Like
669136330307853,5,Like
669135950307891,10,"Like,Haha"
669135456974607,2,Like
669134906974662,70,"Like,Haha,Wow"
669134473641372,63,"Haha,Like,Sad"
669133923641427,249,"Like,Love"
669132956974857,70,"Like,Haha,Love"
669131886974964,23,"Like,Angry,Haha"
668614383693381,3,Like
668614030360083,3,Like
668613623693457,60,"Like,Haha,Sad"
668613253693494,31,"Like,Care,Love"
668612467026906,11,"Like,Love,Sad"
668612020360284,118,"Like,Haha,Love"
667938440427642,36,"Like,Love"
667937903761029,98,"Like,Haha,Sad"
667937200427766,3,"Care,Like"
667936740427812,26,"Like,Love,Haha"
667935723761247,2,Like
667877847100368,15,"Like,Haha,Love"
667877263767093,131,"Like,Haha,Sad"
667876803767139,123,"Like,Sad,Love"
667876290433857,47,"Like,Love,Care"
667875340433952,123,"Like,Haha,Love"
667823320439154,18,"Like,Haha,Wow"
667822833772536,22,"Like,Haha,Sad"
667822433772576,65,"Haha,Like,Sad"
667821547105998,163,"Like,Haha,Love"
667820673772752,8,"Like,Haha,Love"
667819763772843,47,"Haha,Like,Wow"
667726867115466,1,Like
667726570448829,43,Like
667725930448893,229,"Like,Love,Care"
667725617115591,2,Like
667724927115660,16,"Like,Wow"
667437243811095,63,"Like,Sad,Haha"
667436823811137,25,"Like,Love,Haha"
667436050477881,193,"Angry,Haha,Like"
667435520477934,44,"Like,Wow"
667435127144640,7,"Like,Haha,Wow"
667228313831988,69,"Like,Haha,Sad"
667227890498697,6,"Like,Sad"
667227307165422,58,"Like,Haha,Sad"
667226367165516,22,"Like,Care"
667225950498891,69,"Haha,Like,Wow"
667225523832267,12,"Haha,Like,Wow"
667225090498977,49,"Like,Haha,Angry"
667224687165684,21,"Like,Haha,Love"
667224333832386,18,Like
667223867165766,7,"Like,Love"
667222780499208,200,"Haha,Like,Love"
667221947165958,41,"Like,Haha,Care"
666799920541494,17,"Like,Care"
666799450541541,89,"Like,Care,Haha"
666799123874907,109,"Like,Haha,Wow"
666798697208283,19,"Like,Haha"
666798283874991,77,"Like,Sad,Angry"
666797910541695,43,"Haha,Like,Wow"
666796987208454,2,Like
666796103875209,12,"Like,Sad"
666795107208642,400,"Wow,Love,Like"
666130450608441,434,"Wow,Angry,Like"
666130103941809,12,Like
666129627275190,171,"Like,Haha,Love"
666128773941942,21,"Like,Love"
665943207293832,41,"Wow,Like,Love"
