post_id,total_reactions,top_reactions
2803730439662462,167,"Like,Love,Haha"
2803710746331098,200,"Like,Haha,Wow"
2791059537596219,69,"Like,Love"
2791057440929762,122,"Like,Haha"
2791048264264013,178,"Like,Sad,Love"
2791038884264951,86,"Like,Sad,Love"
2791034660932040,177,"Like,Love,Sad"
2791029884265851,340,"Like,Haha,Love"
2791026540932852,150,"Like,Haha,Love"
2791015800933926,247,"Sad,Like,Love"
2791012597600913,67,"Like,Sad"
2780246922010814,114,"Like,Haha,Love"
2780245722010934,102,"Like,Haha,Wow"
2780245065344333,172,"Like,Sad,Haha"
2780244385344401,82,"Like,Sad,Love"
2780243965344443,95,"Like,Haha,Love"
2780243528677820,85,"Like,Sad,Haha"
2780242225344617,95,"Sad,Like,Love"
2780240432011463,541,"Like,Love,Haha"
2780239025344937,129,"Haha,Like,Wow"
2780238652011641,110,"Like,Wow,Sad"
2766727436696096,130,"Like,Haha,Sad"
2766726683362838,63,"Like,Haha"
2766726040029569,229,"Like,Haha,Love"
2766725590029614,31,"Like,Sad"
2766725200029653,79,"Like,Sad,Wow"
2766724443363062,114,"Like,Sad,Love"
2766723840029789,139,"Like,Haha,Wow"
2766723390029834,23,Like
2766709570031216,71,"Haha,Like,Love"
2766703960031777,177,"Like,Haha,Love"
2766695196699320,90,"Like,Haha,Wow"
2766693940032779,180,"Like,Haha,Love"
2743290755706431,31,"Like,Haha,Wow"
2743281805707326,36,"Like,Wow"
2743275909041249,129,"Like,Sad,Wow"
2743267919042048,99,"Like,Sad,Love"
2743266785708828,293,"Like,Haha,Love"
2743260859042754,93,"Like,Haha,Sad"
2743256359043204,405,"Like,Haha,Sad"
2743240969044743,39,"Like,Haha,Love"
2743235845711922,131,"Like,Love,Haha"
2743234432378730,133,"Angry,Sad,Like"
2743232672378906,222,"Like,Wow,Haha"
2743231359045704,52,"Like,Sad,Haha"
2743230382379135,85,"Like,Haha,Angry"
2738684852833688,154,"Like,Love"
2728006613901512,86,"Like,Sad,Angry"
2728005313901642,87,"Haha,Like,Wow"
2700450849990422,26,"Like,Love,Wow"
2514094838626025,118,"Like,Sad,Love"
2498614396840736,461,"Like,Haha,Love"
2498611543507688,23,"Like,Haha,Wow"
2498601276842048,75,"Like,Wow,Haha"
2498599363508906,74,"Like,Haha"
2498597440175765,111,"Like,Sad,Haha"
2498594370176072,842,"Like,Love,Haha"
2495384323830410,212,"Like,Love,Sad"
2495379750497534,77,"Haha,Like,Wow"
2495377337164442,47,"Like,Haha,Wow"
2495373723831470,101,"Like,Wow,Haha"
2495371643831678,28,"Like,Sad,Wow"
2495366720498837,55,"Like,Wow,Haha"
2495360170499492,65,"Like,Haha,Sad"
2495356700499839,115,"Haha,Like,Sad"
2495354243833418,126,"Like,Sad,Wow"
2495352117166964,32,"Like,Sad,Haha"
2495343323834510,197,"Like,Haha,Love"
2495332787168897,217,"Haha,Like,Wow"
2495330617169114,59,"Like,Sad,Love"
2495326450502864,84,"Like,Sad,Haha"
2495295907172585,242,"Like,Haha,Sad"
2495284157173760,113,"Like,Haha,Love"
2495275510507958,63,"Like,Haha,Wow"
2495269580508551,74,"Like,Sad,Love"
2495264590509050,203,"Like,Sad,Love"
2495260977176078,69,"Like,Haha,Love"
2495258927176283,79,"Like,Haha,Wow"
2495249763843866,110,"Like,Sad,Angry"
2495213490514160,52,"Like,Haha"
2469774873058022,168,"Like,Sad,Haha"
2469768583058651,95,"Like,Sad,Love"
2469766879725488,73,"Like,Sad,Love"
2469764153059094,61,"Sad,Like,Angry"
2469762776392565,31,"Like,Sad,Love"
2469760739726102,44,"Like,Haha,Wow"
2469758853059624,209,"Like,Haha,Love"
2469754533060056,226,"Like,Love,Wow"
2469752999726876,196,"Like,Sad,Love"
2469748939727282,417,"Sad,Like,Angry"
2469747179727458,323,"Like,Sad,Wow"
2469745353060974,39,"Like,Haha,Sad"
2469744003061109,108,"Like,Haha,Sad"
2469737509728425,376,"Like,Love,Sad"
2469735916395251,63,"Like,Haha,Wow"
2469734739728702,103,"Like,Haha,Angry"
2469731923062317,143,"Like,Haha,Love"
2469731069729069,153,"Like,Angry,Sad"
2469720799730096,21,"Like,Wow,Haha"
2469726119729564,33,"Like,Wow,Haha"
2469684379733738,101,"Like,Haha,Sad"
2469678016401041,258,"Sad,Like,Angry"
2469676199734556,62,"Like,Sad,Haha"
2469674449734731,51,"Like,Haha"
2469672036401639,139,"Angry,Sad,Like"
2469670413068468,45,"Like,Angry,Sad"
2469667566402086,25,"Like,Haha,Wow"
2469666293068880,177,"Like,Sad,Haha"
2469668703068639,278,"Like,Haha,Sad"
2469664799735696,166,"Like,Haha,Sad"
2469663746402468,267,"Haha,Like,Wow"
2469663216402521,277,"Like,Love,Sad"
2469660933069416,170,"Like,Love,Sad"
2469657833069726,97,"Like,Haha,Wow"
2469654839736692,55,"Like,Haha"
2469652599736916,30,"Like,Sad,Wow"
2469649033070606,146,"Like,Haha,Wow"
2469714673064042,34,"Like,Haha,Wow"
2469642616404581,174,"Like,Wow,Love"
2443936205641889,124,"Like,Haha,Wow"
2443935352308641,439,"Like,Haha,Love"
2443934345642075,98,"Sad,Like,Love"
2443932328975610,100,"Like,Haha,Love"
2443930202309156,110,"Like,Sad,Haha"
2443925695642940,55,"Like,Sad,Love"
2443925022309674,160,"Like,Haha,Sad"
2443924568976386,127,"Like,Sad,Love"
2443923538976489,50,"Like,Haha,Love"
2443921905643319,59,"Like,Sad,Haha"
2443920548976788,496,"Like,Wow,Angry"
2443919958976847,252,"Like,Haha,Love"
2451196898249153,442,"Like,Love,Haha"
2443910218977821,39,"Like,Haha,Wow"
2443908765644633,19,"Like,Love,Wow"
2443907802311396,170,"Sad,Like,Haha"
2443906562311520,123,"Like,Haha,Love"
2443904945645015,117,"Like,Haha,Wow"
2443904235645086,125,"Like,Haha,Sad"
2443901128978730,148,"Angry,Sad,Like"
2443899968978846,138,"Like,Love,Wow"
2443898582312318,81,"Sad,Like,Love"
2443896895645820,49,"Like,Love,Sad"
2443895955645914,78,"Like,Haha,Wow"
2443894432312733,98,"Like,Haha,Love"
2443893398979503,151,"Like,Love"
2443892128979630,37,"Like,Haha,Love"
2443889985646511,346,"Haha,Like,Angry"
2443888568979986,53,"Like,Love,Wow"
2443914542310722,75,"Haha,Like,Love"
2432905473411629,201,"Angry,Like,Haha"
2432899916745518,106,"Like,Haha,Wow"
2432897393412437,184,"Like,Haha,Love"
2432894046746105,176,"Like,Haha,Wow"
2432877703414406,253,"Like,Haha,Love"
2432875470081296,36,"Like,Haha,Wow"
2432871446748365,212,"Like,Haha,Love"
2432862116749298,281,"Like,Haha,Love"
2432857176749792,63,"Like,Haha,Love"
2432855010083342,18,"Like,Haha"
2432850766750433,123,"Like,Love,Wow"
2432834593418717,207,"Like,Haha,Wow"
2432831906752319,11,"Haha,Like,Angry"
2432830636752446,24,"Like,Haha,Wow"
2432826933419483,224,"Like,Haha,Angry"
2432819093420267,97,"Like,Wow,Haha"
2432818016753708,108,"Haha,Like,Love"
2432816346753875,63,"Like,Sad,Wow"
2432812940087549,37,"Like,Haha,Wow"
2432811120087731,45,"Like,Sad,Wow"
2432809490087894,28,"Like,Love,Sad"
2432806163421560,29,"Like,Love"
2432803176755192,96,"Like,Haha,Love"
2432801696755340,31,"Like,Haha,Sad"
2432800690088774,22,"Like,Haha,Wow"
2432798946755615,186,"Like,Haha,Wow"
2432780480090795,60,"Like,Sad,Wow"
2432778693424307,70,"Like,Haha,Love"
2432797506755759,177,"Like,Haha"
2432775270091316,80,"Like,Sad,Love"
2418577411511102,34,"Like,Haha,Wow"
2418576804844496,33,"Like,Haha,Love"
2418576028177907,147,"Like,Haha,Wow"
2418575798177930,146,"Like,Haha,Wow"
2418575428177967,59,"Like,Sad"
2418575051511338,86,"Like,Haha,Wow"
2418574704844706,46,"Like,Love"
2418574354844741,66,"Like,Sad,Love"
2418573874844789,238,"Like,Haha,Sad"
2418573478178162,4,Like
2428058840562959,8,"Like,Haha,Wow"
2418572828178227,160,"Like,Love,Wow"
2418572291511614,87,"Like,Haha,Wow"
2418571784844998,112,"Like,Haha,Love"
2418566794845497,37,"Like,Sad,Haha"
2418565974845579,113,"Haha,Like,Love"
2418561051512738,98,"Like,Haha,Angry"
2418560548179455,96,"Angry,Like,Sad"
2418559991512844,83,"Like,Haha,Wow"
2418558714846305,150,"Like,Love,Haha"
2418558264846350,286,"Sad,Like,Wow"
2418557708179739,235,"Like,Love,Haha"
2418556894846487,145,"Like,Haha,Love"
2418556454846531,106,"Like,Sad,Haha"
2418555948179915,245,"Like,Haha,Love"
2418511138184396,97,"Like,Wow,Angry"
2406197312749112,33,"Like,Haha,Wow"
2404855912883252,677,"Like,Haha,Wow"
2404936872875156,37,"Like,Haha"
2404934979542012,44,"Like,Haha"
2404928996209277,64,"Like,Haha"
2404925709542939,100,"Like,Love,Haha"
2404920412876802,33,"Like,Haha,Love"
2404919332876910,68,"Like,Haha,Love"
2404916566210520,35,"Like,Haha,Wow"
2404903982878445,143,"Angry,Like,Sad"
2404901802878663,105,"Like,Sad,Love"
2404899366212240,124,"Like,Love,Wow"
2404897106212466,103,"Like,Haha,Wow"
2404895762879267,483,"Like,Haha,Wow"
2404894976212679,64,"Like,Sad,Love"
2404892989546211,81,"Haha,Like,Wow"
2404892152879628,45,"Like,Love,Wow"
2404891126213064,597,"Like,Love,Wow"
2404861999549310,95,"Like,Love,Wow"
2404744409561069,71,"Like,Haha,Wow"
2404739139561596,220,"Like,Haha,Wow"
2404736896228487,179,"Like,Sad,Wow"
2404847186217458,81,"Like,Haha,Wow"
2404735672895276,52,"Like,Sad,Wow"
2400877706614406,220,"Like,Haha,Love"
2397117203657123,18,"Like,Wow"
2396026130432897,135,"Like,Love"
2396025490432961,663,"Like,Love,Haha"
2396024563766387,180,"Like,Sad,Love"
2396023550433155,113,"Sad,Like,Haha"
2396022320433278,119,"Like,Haha,Sad"
2396021487100028,163,"Like,Sad,Haha"
2396020253766818,124,"Like,Sad,Haha"
2392211267481050,97,"Like,Haha,Love"
2392210844147759,106,"Like,Sad,Wow"
2392209964147847,54,"Like,Haha,Love"
2392208297481347,66,"Like,Haha,Love"
2392207717481405,34,"Like,Haha,Angry"
2392207314148112,129,"Like,Haha,Love"
2392205084148335,55,"Like,Haha,Wow"
2392204404148403,295,"Like,Haha,Love"
2392203770815133,154,"Like,Angry,Love"
2392202344148609,36,"Like,Love,Haha"
2392200704148773,120,"Like,Haha,Wow"
2395809117121265,2,Like
2392199797482197,27,"Haha,Like,Love"
2388089654559878,19,"Like,Love,Haha"
2388091281226382,120,"Like,Haha,Love"
2388090474559796,65,"Like,Haha,Wow"
2388088801226630,39,"Like,Haha,Love"
2388088054560038,108,"Like,Haha,Wow"
2388086231226887,424,"Like,Love,Sad"
2388084964560347,99,"Like,Haha,Love"
2388084581227052,48,"Like,Sad,Love"
2392196734149170,114,"Like,Love,Wow"
2388083877893789,49,"Haha,Like,Sad"
2388083547893822,10,"Like,Love"
2388082954560548,16,"Like,Sad,Love"
2388082427893934,125,"Like,Haha,Wow"
2388082034560640,120,"Like,Haha,Sad"
2388081491227361,86,"Like,Haha,Sad"
2388081191227391,23,"Like,Wow,Haha"
2388079777894199,290,"Like,Wow,Haha"
2382131405155703,88,"Like,Haha,Wow"
2382130935155750,24,"Like,Angry,Wow"
2382132355155608,45,"Like,Haha,Love"
2382130695155774,69,"Like,Haha,Love"
2382131871822323,88,"Like,Sad,Haha"
2382130215155822,72,"Like,Haha,Wow"
2382129635155880,159,"Like,Haha,Love"
2382129168489260,75,"Like,Haha,Love"
2382128481822662,145,"Like,Sad,Love"
2377863808915796,148,"Like,Love"
2377862985582545,149,"Like,Love,Sad"
2377859485582895,21,"Haha,Like,Wow"
2377858452249665,129,"Like,Haha,Love"
2377857922249718,52,"Like,Sad"
2377857095583134,159,"Like,Haha,Love"
2377854835583360,154,"Like,Haha,Wow"
2377854225583421,113,"Like,Haha,Wow"
2377853038916873,201,"Haha,Like,Wow"
2377852222250288,131,"Like,Haha,Wow"
2377851605583683,59,"Like,Sad,Haha"
2377850348917142,101,"Like,Haha,Wow"
2377849942250516,120,"Like,Haha,Sad"
2377849275583916,104,"Like,Haha,Wow"
2377848672250643,66,"Like,Haha,Wow"
2357940917574752,128,"Like,Wow,Love"
2357940270908150,14,"Like,Wow,Sad"
2357939440908233,55,"Like,Sad,Love"
2357936360908541,110,"Like,Haha,Sad"
2357935427575301,82,"Haha,Like,Wow"
2357932814242229,20,"Like,Wow,Sad"
2357931534242357,36,"Like,Haha,Love"
2357928630909314,153,"Haha,Like,Angry"
2357926657576178,45,"Haha,Angry,Like"
2357924917576352,217,"Like,Haha,Love"
2357924020909775,46,"Like,Sad,Haha"
2357923020909875,82,"Like,Sad,Wow"
2357921707576673,237,"Like,Haha,Love"
2357920657576778,24,"Like,Love,Haha"
2357919497576894,130,"Like,Haha,Love"
2357916677577176,129,"Like,Sad,Wow"
2357915670910610,84,"Like,Sad,Haha"
2357913264244184,72,"Like,Haha,Sad"
2357911030911074,59,"Like,Sad,Haha"
2357909790911198,117,"Like,Haha,Sad"
2357908897577954,44,"Like,Sad,Love"
2357903960911781,107,"Like,Haha,Wow"
2350298571672320,62,"Like,Haha,Love"
2350296225005888,145,"Like,Haha,Sad"
2350294598339384,140,"Like,Haha,Sad"
2320857427949768,323,"Like,Haha,Wow"
2320856901283154,81,"Like,Haha,Wow"
2320856217949889,141,"Like,Haha,Wow"
2320854284616749,59,"Like,Haha,Sad"
2320855491283295,2,Like
2320851404617037,207,"Like,Love"
2259801057388739,28,"Like,Sad"
2259800774055434,46,"Sad,Like,Angry"
2259800537388791,40,"Like,Love"
2259800367388808,37,"Like,Sad,Haha"
2259800237388821,60,"Like,Love,Haha"
2259800097388835,7,"Sad,Like,Wow"
2259799284055583,22,"Like,Sad"
2259799140722264,17,"Like,Haha,Wow"
2259798930722285,23,"Like,Sad"
2254541331248045,51,"Like,Sad,Wow"
2254537624581749,67,"Like,Sad,Wow"
2254535174581994,72,"Like,Haha,Wow"
2254539057914939,29,"Like,Haha,Love"
2254534201248758,141,"Angry,Like,Sad"
2250697158299129,50,"Like,Wow,Sad"
2250696041632574,70,"Like,Haha,Love"
2250672814968230,15,"Like,Haha"
2250670744968437,1,Like
2250669638301881,34,"Like,Wow,Sad"
2250668914968620,74,"Angry,Like,Sad"
2250666391635539,88,"Like,Haha,Sad"
2250665528302292,20,"Like,Love,Haha"
2250660391636139,68,"Like,Haha,Wow"
2250659428302902,38,"Like,Haha"
2250655118303333,32,"Like,Love,Haha"
2250652228303622,286,"Like,Haha,Wow"
2250638588304986,58,"Sad,Like"
2250635878305257,10,"Like,Sad"
2243826342319544,54,"Like,Haha,Love"
2243826028986242,12,"Like,Sad,Wow"
2243825612319617,145,"Like,Sad,Love"
2243825358986309,69,"Like,Haha,Sad"
2243825095653002,68,"Like,Haha,Wow"
2243824698986375,151,"Like,Sad,Love"
2243824252319753,28,"Haha,Like,Sad"
2243823942319784,40,"Like,Love,Haha"
2243819288986916,55,"Haha,Like,Love"
2243818635653648,41,"Like,Haha,Love"
2243818232320355,317,"Like,Haha,Wow"
2243817818987063,10,"Like,Wow"
2243817418987103,10,Like
2243817112320467,15,"Like,Sad,Love"
2243816772320501,15,"Like,Haha,Love"
2243816372320541,11,Like
2243816072320571,4,"Wow,Like,Sad"
2243815792320599,16,"Like,Sad"
2243815325653979,4,Like
2243815022320676,9,"Like,Sad"
2240476305987881,129,"Like,Haha,Love"
2243814598987385,9,"Like,Sad,Love"
2243814188987426,4,"Like,Wow"
2240476162654562,32,"Like,Haha,Sad"
2240475979321247,1,Like
2240475789321266,0,
2240475472654631,4,"Like,Love"
2240475185987993,45,"Like,Haha,Sad"
2240474952654683,4,"Like,Sad"
2240474705988041,206,"Like,Haha,Love"
2240474529321392,20,"Like,Haha,Sad"
2240474232654755,49,"Like,Haha"
2240473952654783,25,"Like,Wow,Haha"
2240473075988204,3,Like
2240472859321559,29,"Like,Haha,Sad"
2240472539321591,96,"Like,Haha,Love"
2240471935988318,140,"Like,Haha,Love"
2240471202655058,5,Sad
2240471029321742,18,Like
2240470445988467,14,"Like,Sad"
2240470242655154,41,"Like,Sad,Haha"
2240469942655184,337,"Like,Love,Haha"
2240469449321900,49,"Like,Haha,Sad"
2234765756558936,93,"Like,Haha,Love"
2234765329892312,32,"Like,Love,Haha"
2234764909892354,83,"Like,Haha,Love"
2234764486559063,10,"Like,Sad"
2234764089892436,74,"Like,Haha,Love"
2234763703225808,25,"Like,Haha,Love"
2234763333225845,17,"Like,Wow"
2234763006559211,62,"Like,Sad,Love"
2234762733225905,6,"Like,Love"
2234762109892634,15,"Like,Haha"
2234761733226005,81,"Like,Sad,Wow"
2234760879892757,50,"Sad,Like,Haha"
2234761366559375,4,"Like,Sad"
2234760443226134,25,"Like,Haha,Angry"
2234760056559506,83,"Like,Sad,Wow"
2234759779892867,2,Haha
2234759323226246,7,"Like,Sad"
2234758829892962,3,"Like,Sad"
2234758443226334,126,"Like,Angry,Haha"
2234757953226383,35,"Like,Haha,Love"
2234757399893105,17,"Like,Love,Wow"
2234757053226473,9,"Sad,Like,Love"
2234756793226499,1,Sad
2234756503226528,26,"Like,Sad"
2234756223226556,4,"Like,Love"
2234755766559935,36,"Like,Sad,Haha"
2234754949893350,15,"Like,Sad"
2234754596560052,19,"Like,Sad,Love"
2234753979893447,67,"Like,Haha,Sad"
2234753636560148,9,"Like,Sad"
2234753266560185,3,Like
2234752713226907,53,"Like,Haha,Love"
2234752353226943,107,"Like,Haha,Love"
2234751863226992,3,Like
2234751486560363,17,"Like,Haha"
2234751179893727,12,"Like,Sad"
2234750606560451,26,"Like,Haha,Love"
2234750179893827,50,"Like,Haha"
2234749866560525,83,"Like,Love"
2234749499893895,79,"Like,Love,Haha"
2234748706560641,102,"Like,Haha,Wow"
2234747686560743,31,"Like,Sad,Love"
2234747083227470,119,"Like,Sad,Haha"
2234746329894212,58,"Like,Haha,Love"
2224593880909457,62,"Like,Angry,Wow"
2224593370909508,30,"Like,Haha,Wow"
2224592777576234,23,"Haha,Like,Wow"
2224591817576330,13,"Like,Haha,Sad"
2224591330909712,6,"Like,Haha,Angry"
2224590917576420,22,"Like,Sad,Haha"
2224590510909794,27,"Like,Sad,Love"
2224589790909866,12,"Like,Haha,Wow"
2224589347576577,105,"Like,Haha,Sad"
2224588824243296,16,"Like,Haha,Wow"
2224588450910000,6,Like
2224588037576708,28,"Like,Haha,Wow"
2224587574243421,23,"Like,Sad,Wow"
2224581260910719,26,"Like,Sad,Love"
2224580390910806,348,"Like,Haha,Sad"
2224579570910888,29,"Like,Love,Haha"
2218362208199291,101,"Like,Haha,Sad"
2218361514866027,9,"Like,Love"
2218360658199446,12,"Like,Sad,Wow"
2218360228199489,127,"Like,Haha,Wow"
2218359861532859,28,"Like,Haha,Sad"
2218359284866250,44,"Like,Sad,Love"
2218358921532953,24,"Like,Sad"
2218358428199669,18,"Like,Haha,Wow"
2218358161533029,73,"Like,Love,Haha"
2218357791533066,5,Like
2218357294866449,9,"Like,Sad"
2218356634866515,77,"Haha,Like,Sad"
2218356138199898,61,"Like,Haha,Wow"
2218355774866601,50,"Like,Haha,Love"
2218355178199994,17,"Like,Sad"
2218354804866698,5,Like
2218354158200096,2,"Like,Sad"
2218353691533476,68,"Like,Sad,Love"
2218353161533529,64,"Like,Haha,Wow"
2218352658200246,95,"Like,Sad,Love"
2218352244866954,22,"Like,Haha,Love"
2218351508200361,137,"Like,Haha,Love"
2218351054867073,78,"Like,Love,Wow"
2218350661533779,19,Like
2218350348200477,77,"Like,Haha,Love"
2218350014867177,23,"Like,Haha"
2218349618200550,28,"Like,Haha,Angry"
2218349071533938,88,"Like,Haha,Love"
2202569666445212,89,"Like,Haha,Love"
2202566853112160,107,"Like,Love,Haha"
2202564176445761,26,"Like,Wow,Haha"
2202563373112508,36,"Like,Love,Sad"
2202562606445918,28,"Like,Sad,Love"
2202561656446013,28,"Like,Sad,Love"
2202323436469835,65,"Like,Sad,Love"
2202322559803256,84,"Like,Haha,Wow"
2202321059803406,17,"Like,Haha,Wow"
2202320006470178,21,"Like,Sad,Wow"
