post_id,total_reactions,top_reactions
1366344750222304,11,"Like,Care"
1370338733156239,4,Like
1370338633156249,0,
1370338559822923,10,"Care,Like,Sad"
1370338439822935,1,Like
1370335219823257,9,"Like,Sad,Love"
1370334306490015,4,Like
1370334093156703,24,"Care,Sad,Like"
1370330989823680,6,"Like,Love,Care"
1370330916490354,1,Sad
1370330829823696,2,Like
1370330523157060,0,
1370329753157137,1,Like
1370329669823812,1,Haha
1370329603157152,10,"Like,Care,Love"
1370329559823823,3,"Like,Wow"
1370329506490495,0,
1370329493157163,0,
1370329463157166,0,
1370329249823854,3,"Love,Care"
1370329169823862,0,
1370329079823871,0,
1370329016490544,0,
1370328949823884,0,
1370328843157228,3,Like
1370328803157232,29,"Like,Sad,Angry"
1370328463157266,2,Care
1370328279823951,1,Like
1370328263157286,0,
1370328226490623,0,
1370328163157296,0,
1370328016490644,0,
1370327963157316,1,Like
1370327716490674,0,
1370327653157347,1,Like
1370327569824022,4,Haha
1370327516490694,0,
1370327466490699,1,Sad
1370327443157368,0,
1370327416490704,4,Like
1370327376490708,1,Like
1370327336490712,1,Like
1370327239824055,1,Like
1370327173157395,0,
1370327089824070,0,
1370327053157407,0,
1370326916490754,0,
1370322653157847,13,"Angry,Like"
1369917146531731,58,"Like,Love"
1369916996531746,1,Like
1369851946538251,10,Like
1369851459871633,0,
1369850946538351,0,
1369849676538478,0,
1369848993205213,3,"Like,Love,Wow"
1369847853205327,6,"Sad,Like"
1369847806538665,2,Like
1369847373205375,0,
1369846946538751,2,"Like,Care"
1369846776538768,12,"Like,Haha"
1369846526538793,20,"Like,Love,Care"
1369846466538799,19,"Like,Love,Care"
1369846393205473,8,"Like,Love"
1369846346538811,9,Like
1369846163205496,29,"Like,Care,Love"
1369846113205501,1,Like
1369844479872331,0,
1369843516539094,5,"Care,Like"
1369842863205826,0,
1369842259872553,28,"Like,Love,Care"
1369841259872653,1,Care
1369841103206002,0,
1369839006539545,40,"Angry,Haha,Care"
1369835856539860,5,"Haha,Like"
1369835286539917,1,Like
1369835056539940,5,"Haha,Like,Care"
1369834959873283,1,Like
1369834876539958,1,Like
1369833839873395,0,
1369756159881163,3,"Like,Love"
1369755889881190,1,Haha
1369755819881197,1,Like
1369755793214533,5,"Like,Care"
1369695103220602,24,"Like,Love"
1369694843220628,45,"Like,Love"
1369676689889110,3,Care
1369676609889118,10,"Love,Like,Care"
1369676293222483,55,"Like,Sad,Haha"
1369675666555879,8,Like
1369675426555903,23,"Like,Love"
1369675346555911,0,
1369675249889254,8,"Haha,Like"
1369675126555933,2,"Like,Care"
1369674859889293,1,Like
1369674459889333,2,Like
1369673779889401,25,"Love,Like"
1369673663222746,89,"Like,Care,Sad"
1369673599889419,3,Like
1369673233222789,0,
1369673033222809,1,Care
1369672806556165,1,Like
1369672726556173,0,
1369672579889521,26,"Like,Care"
1369672469889532,1,Haha
1369672146556231,2,Like
1369671939889585,0,
1369671793222933,0,
1369671599889619,6,Like
1369671426556303,20,"Like,Love,Care"
1369671376556308,1,Love
1369671299889649,36,"Love,Like,Wow"
1369608836562562,27,"Haha,Like,Love"
1369608666562579,0,
1369608079895971,4,"Sad,Like"
1369607519896027,4,Haha
1369606533229459,24,"Like,Love"
1369606443229468,0,
1369606393229473,0,
1369606269896152,2,"Like,Care"
1369606143229498,1,Like
1369604743229638,25,"Angry,Like,Love"
1369556026567843,2,"Like,Haha"
1369555963234516,1,Like
1369555936567852,1,Like
1369555899901189,4,"Like,Love"
1369552886568157,2,Like
1369552789901500,0,
1369552713234841,0,
1369552563234856,0,
1369485553241557,12,"Care,Like"
1369484379908341,11,"Like,Haha"
1369483823241730,36,"Love,Like,Care"
1369483639908415,2,Love
1369483506575095,5,"Like,Love,Care"
1369483229908456,8,"Like,Care"
1369483126575133,4,"Like,Love,Care"
1369483009908478,4,"Haha,Like"
1369482716575174,11,"Like,Care,Sad"
1369482289908550,7,Angry
1369482079908571,0,
1369482016575244,11,"Like,Haha,Wow"
1369481973241915,9,"Haha,Like"
1369481673241945,11,"Care,Like,Sad"
1369481519908627,1,Like
1369481279908651,14,Like
1369481213241991,0,
1369481166575329,3,Care
1369480986575347,1,Haha
1369480873242025,40,"Angry,Like,Love"
1369480783242034,0,
1369479816575464,0,
1369479706575475,8,Like
1369452683244844,8,"Like,Love,Angry"
1369452619911517,1,Like
1369452556578190,0,
1369452503244862,0,
1369451476578298,6,"Haha,Angry"
1369451439911635,0,
1369451379911641,0,
1369451009911678,0,
1369450933245019,32,"Angry,Like"
1369450899911689,1,Like
1369450859911693,0,
1369450833245029,1,Care
1369450789911700,1,Like
1369450726578373,4,"Like,Haha"
1369450666578379,5,"Like,Love,Wow"
1369450633245049,4,"Care,Sad"
1369434383246674,0,
1369431769913602,0,
1369431719913607,0,
1369431626580283,0,
1369430873247025,0,
1369430726580373,3,Like
1369430629913716,0,
1369430413247071,0,
1369428949913884,18,Like
1369428919913887,0,
1369428889913890,0,
1369427789914000,0,
1369427756580670,0,
1369427713247341,5,Like
1369427656580680,0,
1369427606580685,1,Like
1369427569914022,42,"Angry,Haha,Like"
1369424289914350,2,Angry
1369424113247701,18,"Like,Haha"
1369423923247720,14,"Like,Love"
1369423473247765,26,"Wow,Like,Haha"
1369423249914454,0,
1369423173247795,0,
1369423099914469,0,
1369422973247815,3,Like
1369422903247822,0,
1369422596581186,8,"Like,Care"
1369420866581359,1,Sad
1369420759914703,5,"Care,Like"
1369420629914716,2,"Like,Haha"
1369420579914721,0,
1369418496581596,1,Haha
1369418359914943,5,"Care,Like"
1369418273248285,14,"Love,Like,Care"
1369418219914957,0,
1369417339915045,5,"Like,Haha"
1369417166581729,0,
1369417109915068,1,Like
1369416776581768,8,Like
1369416703248442,7,Like
1369410073249105,13,"Angry,Like"
1369409939915785,0,
1369409916582454,0,
1369409853249127,1,Like
1369409673249145,0,
1369409636582482,4,Like
1369409589915820,0,
1369409523249160,1,Haha
1369409493249163,4,Like
1369409436582502,2,"Love,Wow"
1369409246582521,3,Like
1369406936582752,0,
1369406893249423,0,
1369406796582766,0,
1369406763249436,0,
1369406689916110,2,Care
1369406196582826,0,
1369406183249494,1,Care
1369406123249500,0,
1369406073249505,2,Like
1369405866582859,1,Care
1369405696582876,5,"Care,Love"
1369405643249548,2,"Like,Haha"
1369405609916218,2,Like
1369405536582892,0,
1369405436582902,0,
1369405306582915,0,
1369405216582924,1,Haha
1369405159916263,13,"Like,Care,Love"
1369405049916274,0,
1369362023253910,0,
1369361986587247,3,"Haha,Like"
1369361846587261,0,
1369361783253934,1,Like
1369361599920619,4,"Like,Love"
1369361543253958,1,Care
1369361509920628,0,
1369361473253965,0,
1369360796587366,0,
1369360763254036,26,"Like,Love"
1369055933284519,8,Like
1369055676617878,35,"Like,Care"
1369055183284594,2,Like
1369053903284722,31,"Like,Love"
1369053819951397,8,"Like,Love"
1369053503284762,0,
1369053273284785,0,
1369053203284792,0,
1369053143284798,6,Like
1369053079951471,2,Sad
1369052909951488,5,"Care,Like"
1369052846618161,5,Haha
1369052813284831,0,
1369052433284869,2,Sad
1369052339951545,0,
1369052303284882,27,"Like,Love"
