post_id,total_reactions,top_reactions
2501071866628512,100,"Like,Love,Wow"
3418322201570136,0,"Like,Love,Wow"
3418252024910487,32,"Haha,Like,Sad"
3418251764910513,9,Like
3418251614910528,22,"Sad,Like,Care"
3418251284910561,86,"Like,Love,Care"
3418251054910584,355,"Sad,Like,Haha"
3418250674910622,16,"Like,Love,Care"
3418250534910636,25,"Like,Love,Wow"
3418250348243988,223,"Haha,Like,Sad"
3418250078244015,11,"Like,Sad,Haha"
3418249958244027,22,"Like,Love,Care"
3418249828244040,56,"Haha,Like,Care"
3418248008244222,90,"Sad,Haha,Like"
3418247808244242,18,"Sad,Like,Love"
3418247541577602,138,"Sad,Like,Haha"
3418247401577616,9,"Like,Love"
3418247284910961,29,"Haha,Like,Love"
3418247174910972,9,"Like,Haha"
3418246961577660,70,"Haha,Like,Sad"
3418246761577680,51,"Sad,Like,Care"
3418246664911023,25,"Like,Sad,Care"
3418246198244403,11,"Like,Love,Haha"
3418246038244419,17,"Haha,Like,Care"
3418245831577773,44,"Like,Love,Wow"
3418245388244484,35,"Care,Like,Sad"
3418245028244520,161,"Love,Like,Care"
3418244724911217,36,"Haha,Like,Care"
3418244574911232,22,"Like,Haha,Love"
3418244221577934,44,"Like,Care,Sad"
3418244071577949,0,
3418243898244633,6,"Love,Like"
3418243751577981,12,"Wow,Like,Haha"
3418243618244661,10,"Sad,Like"
3418243438244679,18,"Like,Care,Haha"
3418242874911402,5,"Haha,Care,Angry"
3418242668244756,22,"Care,Like,Haha"
3418242461578110,92,"Haha,Like,Love"
3418241904911499,5,"Like,Love"
3418241711578185,26,"Haha,Like,Wow"
3418241478244875,12,"Haha,Like,Care"
3418241264911563,0,
3418241084911581,24,"Haha,Like,Care"
3418240878244935,23,"Sad,Like,Care"
3418240754911614,14,"Sad,Like,Haha"
3418240614911628,3,Like
3418240291578327,57,"Like,Love,Sad"
3418240081578348,54,"Like,Care"
3418239971578359,1,Haha
3418239724911717,37,"Love,Like,Care"
3418239388245084,10,"Like,Care"
3418239261578430,77,"Love,Like,Care"
3418239084911781,260,"Love,Like,Sad"
3418238911578465,16,"Care,Like,Love"
3418238704911819,0,"Care,Like,Love"
3418238398245183,21,"Sad,Like"
3418237961578560,8,"Haha,Like"
3418237864911903,9,"Haha,Like,Care"
3418237741578582,20,"Love,Like"
3418237564911933,14,"Like,Love,Care"
3418237434911946,8,Like
3418237331578623,18,"Care,Like,Love"
3418236841578672,35,"Haha,Like,Care"
3418236671578689,90,"Sad,Like,Care"
3418236508245372,47,"Sad,Like,Care"
3418236344912055,10,"Like,Wow,Sad"
3418236201578736,33,"Like,Love,Care"
3418236074912082,2,"Love,Sad"
3418235934912096,77,"Haha,Like,Angry"
3418235791578777,2,Like
3418235671578789,14,"Haha,Like,Sad"
3418235411578815,5,Like
3418235218245501,29,"Haha,Like,Love"
3418235004912189,19,"Haha,Like"
3418234681578888,77,"Haha,Like,Wow"
3418234528245570,6,Like
3418234298245593,2,Like
3418234164912273,7,"Like,Love,Care"
3418233918245631,176,"Angry,Like,Love"
3418233731578983,2,"Like,Care"
3418233561579000,34,"Haha,Angry,Like"
3418233418245681,31,"Haha,Like,Wow"
3418232931579063,6,"Care,Like"
3418232578245765,5,"Like,Care"
3418232404912449,9,"Haha,Wow,Care"
3418232224912467,26,Like
3418232101579146,17,"Like,Sad,Care"
3418231934912496,9,"Like,Love,Wow"
3418231808245842,5,"Like,Wow"
3418231508245872,66,"Like,Care,Love"
3418231344912555,27,"Like,Love"
3418231188245904,45,"Haha,Like,Wow"
3418231031579253,4,"Haha,Like"
3418230631579293,4,"Haha,Like"
3418230341579322,2,"Like,Wow"
3418230151579341,46,"Care,Like,Sad"
3395728063829550,109,"Like,Love,Care"
3395727880496235,39,"Care,Like,Love"
3395727740496249,21,"Sad,Like,Care"
3395727563829600,2,"Like,Love"
3395727373829619,4,Like
3395727200496303,9,"Care,Like"
3395727087162981,59,"Sad,Haha,Like"
3395726940496329,301,"Like,Love,Care"
3395726813829675,5,"Haha,Like"
3395726647163025,47,"Like,Wow,Care"
3395726477163042,32,"Like,Haha,Sad"
3395726340496389,20,"Sad,Like"
3395726137163076,2,"Haha,Sad"
3395725967163093,20,"Like,Care,Sad"
3395725827163107,38,"Love,Like,Wow"
3395725600496463,19,"Like,Care,Love"
3395725460496477,4,"Care,Like"
3395725320496491,18,"Care,Like"
3395725123829844,125,"Like,Haha,Care"
3395724997163190,40,"Like,Love,Care"
3395724853829871,10,"Like,Haha"
3395724657163224,61,"Haha,Like,Wow"
3395724497163240,29,"Like,Care,Love"
3395724333829923,4,"Like,Love"
