post_id,total_reactions,top_reactions
2731794010430353,45,"Haha,Like,Wow"
2731793627097058,18,"Haha,Like"
2731793303763757,57,"Like,Love,Haha"
2731792750430479,20,"Like,Care,Love"
2731792580430496,15,"Haha,Like,Wow"
2731792013763886,64,"Sad,Like,Care"
2731791823763905,46,"Like,Love,Care"
2731791503763937,16,"Care,Like,Sad"
2731791227097298,117,"Haha,Like,Sad"
2731790690430685,52,"Like,Sad,Care"
2731790413764046,138,"Sad,Like,Care"
2730839047192516,39,"Like,Haha,Love"
2730826620527092,9,"Care,Like"
2730826433860444,58,"Like,Angry,Wow"
2730826070527147,155,"Haha,Like,Love"
2730824660527288,62,"Sad,Care,Like"
2730824280527326,183,"Like,Haha,Love"
2730823993860688,169,"Like,Love,Care"
2730823557194065,124,"Haha,Like,Love"
2730823120527442,14,"Like,Wow,Love"
2730819877194433,25,"Like,Haha"
2730123387264082,15,Like
2730123117264109,113,"Haha,Like,Wow"
2730122710597483,1,Like
2730121757264245,24,"Like,Love"
2730825747193846,76,"Like,Love,Wow"
2730121380597616,64,"Like,Care,Love"
2730121090597645,27,"Wow,Haha,Like"
2730120850597669,54,"Like,Haha,Love"
2730120150597739,35,"Like,Haha,Love"
2730119707264450,42,"Like,Care,Love"
2730119230597831,26,"Like,Sad,Care"
2729067927369628,112,"Like,Sad,Care"
2729067620702992,52,"Sad,Care,Like"
2729067364036351,590,"Like,Love,Care"
2729067060703048,107,"Like,Love,Haha"
2729066627369758,189,"Sad,Like,Haha"
2729066040703150,115,"Like,Haha,Love"
2729070804036007,25,"Like,Love,Wow"
2729065140703240,67,"Sad,Like,Haha"
2729064657369955,139,"Like,Love,Care"
2729064024036685,84,"Like,Angry,Haha"
2728468404096247,24,"Haha,Like,Wow"
2728467637429657,45,"Like,Haha,Care"
2728467307429690,158,"Like,Haha,Care"
2728466660763088,281,"Like,Sad,Care"
2728466250763129,74,"Haha,Like,Love"
2728466004096487,82,"Like,Sad,Haha"
2728465214096566,57,"Like,Love,Sad"
2728464724096615,74,"Care,Like,Sad"
2728464370763317,124,"Like,Haha,Wow"
2728464057430015,31,"Like,Sad,Wow"
2727638217512599,114,"Haha,Like,Sad"
2727637940845960,176,"Like,Love,Haha"
2727637634179324,58,"Like,Haha,Love"
2727637387512682,365,"Like,Love,Care"
2727636914179396,27,"Like,Haha,Care"
2727636617512759,49,"Sad,Like,Care"
2727636327512788,57,"Sad,Like,Care"
2727635974179490,144,"Haha,Like,Wow"
2727635560846198,53,"Like,Love,Care"
2727635260846228,71,"Like,Care,Love"
2726826664260421,64,"Sad,Like,Care"
2726826164260471,298,"Like,Love,Care"
2726825510927203,187,"Haha,Like,Love"
2726824587593962,178,"Like,Haha,Love"
2726824197594001,169,"Haha,Like,Care"
2726823430927411,52,"Haha,Like,Sad"
2726823087594112,74,"Care,Like,Love"
2726822770927477,12,"Haha,Like,Care"
2726822300927524,27,"Like,Love"
2726821930927561,137,"Like,Haha,Love"
2726075717668849,76,"Haha,Like,Wow"
2726074751002279,64,"Like,Care,Sad"
2726073951002359,60,"Like,Care,Love"
2726072954335792,223,"Like,Haha,Love"
2726071954335892,89,"Like,Love"
2726071477669273,15,Like
2726070884335999,64,"Care,Sad,Like"
2726069904336097,245,"Like,Haha,Love"
2726068864336201,45,"Like,Love,Care"
2726054687670952,41,"Like,Sad,Care"
2725087384434349,120,"Care,Like,Sad"
2725085571101197,87,"Like,Love,Care"
2725084844434603,40,"Like,Love,Haha"
2725083654434722,55,"Sad,Like,Wow"
2725082691101485,141,"Sad,Like,Care"
2725082121101542,21,"Like,Wow"
2725081524434935,177,"Like,Love,Haha"
2725081051101649,9,Like
2725080564435031,95,"Haha,Like,Sad"
