post_id,text,post_text,shared_text,time,image,video,likes,comments,shares,post_url,link
2951060055015448,"UPDATE (30/04-17:00): Cardiff University has released a statement saying one student was effected. This is a lie.
---------
Multiple Cardiff University students have returned to collect belongings from their University-run Halls of Residence only to find their belongings binned, trashed and ruined with complete disregard for sentimental value. Some belongings being outright stolen.
On top of the irreversible damage and loss Students' belongings, masses of non-perishable food has simply been chucked away rather than going to those who could really need it in a time like now.
The University promised that these belongings would be kept safe, but clearly, have FAILED 😡","UPDATE (30/04-17:00): Cardiff University has released a statement saying one student was effected. This is a lie.
---------
Multiple Cardiff University students have returned to collect belongings from their University-run Halls of Residence only to find their belongings binned, trashed and ruined with complete disregard for sentimental value. Some belongings being outright stolen.
On top of the irreversible damage and loss Students' belongings, masses of non-perishable food has simply been chucked away rather than going to those who could really need it in a time like now.
The University promised that these belongings would be kept safe, but clearly, have FAILED 😡",,1588193984,https://scontent.ftlv1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/95684925_2952939274827526_1637709285238505472_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=9qIS5E8PG1MAX_ki39T&_nc_ht=scontent.ftlv1-1.fna&tp=14&oh=8a90d98506d5d9991f302feacd189087&oe=5F414D52,,325,175,0,https://m.facebook.com/story.php?story_fbid=2951060055015448&id=1662935627161237,
3063801417074644,"#CardiffConfession7202
Okay but all I’m wondering rn is why the baccy from uni market doesn’t have the security tape on it? Like the little tab with that breaks when you open a standard pack","#CardiffConfession7202
Okay but all I’m wondering rn is why the baccy from uni market doesn’t have the security tape on it? Like the little tab with that breaks when you open a standard pack",,1592132119,,,15,15,0,https://m.facebook.com/story.php?story_fbid=3063801417074644&id=1662935627161237,
3063796657075120,"#CardiffConfession7201
In a bad place right now... Not mentally, I just live in Port Talbot","#CardiffConfession7201
In a bad place right now... Not mentally, I just live in Port Talbot",,1592131975,,,306,53,0,https://m.facebook.com/story.php?story_fbid=3063796657075120&id=1662935627161237,
3063796253741827,,,,1592131954,,,140,21,0,https://m.facebook.com/story.php?story_fbid=3063796253741827&id=1662935627161237,
2959860907468696,"#CardiffConfession7199
Has anyone genuinely managed to find an umbrella that can withstand Cardiff? Sick and tired of raiding amazing and Tesco for umbrellas that die within a month's time. Just wanna be dry ffs","#CardiffConfession7199
Has anyone genuinely managed to find an umbrella that can withstand Cardiff? Sick and tired of raiding amazing and Tesco for umbrellas that die within a month's time. Just wanna be dry ffs",,1588515870,,,409,127,0,https://m.facebook.com/story.php?story_fbid=2959860907468696&id=1662935627161237,
2959853987469388,"#CardiffConfession7198
Hi Cardiff,
So, I get that I’m going to get the VK shits after smashing 10 of them on a Wednesday. YOLO am I right? But why do I get the veggie shits?
Why am I being punished for being healthy?
Please can someone explain the physiology or something?
Thx","#CardiffConfession7198
Hi Cardiff,
So, I get that I’m going to get the VK shits after smashing 10 of them on a Wednesday. YOLO am I right? But why do I get the veggie shits?
Why am I being punished for being healthy?
Please can someone explain the physiology or something?
Thx",,1588515674,,,15,5,0,https://m.facebook.com/story.php?story_fbid=2959853987469388&id=1662935627161237,
2959847800803340,"#CardiffConfession7197
sometimes i’ll post that i have a juice ticket for sale on overheard even when i don’t just to receive all the messages and feel popular","#CardiffConfession7197
sometimes i’ll post that i have a juice ticket for sale on overheard even when i don’t just to receive all the messages and feel popular",,1588515485,,,77,16,0,https://m.facebook.com/story.php?story_fbid=2959847800803340&id=1662935627161237,
2959838040804316,"#CardiffConfession7196
The Memory of You
Throughout the summer I felt your scent
In the street, at home, and anywhere I went
I felt your touch in the back of my mind
In a memory better left behind
You were perfect in theory but I can’t forget
The way you hurt me last year when we met
For the first time in a while, I let my guard down
I blindly trusted you would stick around
But you went and ruined something so sweet
A memory now tarnished with the tears I weep
And now I’m at a moral conundrum, left to decide
If I should forgive you or find a place to hide
I wanted to avoid you because I knew all this time
That if I saw you I’d still want you to me mine
But my self worth has increased since last year
So now I choose myself over having you near
- KayDee
Ps. I wrote this in the beginning of the year. I’m only submitting this because I’m drunk lol
It probably isn’t even good, but if someone relates that enough. Also my name isn’t KayDee, but I like it xx","#CardiffConfession7196
The Memory of You
Throughout the summer I felt your scent
In the street, at home, and anywhere I went
I felt your touch in the back of my mind
In a memory better left behind
You were perfect in theory but I can’t forget
The way you hurt me last year when we met
For the first time in a while, I let my guard down
I blindly trusted you would stick around
But you went and ruined something so sweet
A memory now tarnished with the tears I weep
And now I’m at a moral conundrum, left to decide
If I should forgive you or find a place to hide
I wanted to avoid you because I knew all this time
That if I saw you I’d still want you to me mine
But my self worth has increased since last year
So now I choose myself over having you near
- KayDee
Ps. I wrote this in the beginning of the year. I’m only submitting this because I’m drunk lol
It probably isn’t even good, but if someone relates that enough. Also my name isn’t KayDee, but I like it xx",,1588515164,,,15,0,0,https://m.facebook.com/story.php?story_fbid=2959838040804316&id=1662935627161237,
2959834227471364,"#CardiffConfession7195
Signs that your the designated mum of the house:
- You walk around in your dressing while drinking tea (obviously).
- What the f*** are clothes, pyjamas are life.
- Always seem to be baking for your flatmates munchies.
- Yelling 'turn down the music children' and receiving the reply 'sorry mum'.
- Always having the highest tolerance on a night out and having to lug everyone else's sorry asses home.
- Finally, being the only flatmate who is up and makes conversation with visiting parents.
Your welcome, from one grumpy flat-mum to another.","#CardiffConfession7195
Signs that your the designated mum of the house:
- You walk around in your dressing while drinking tea (obviously).
- What the f*** are clothes, pyjamas are life.
- Always seem to be baking for your flatmates munchies.
- Yelling 'turn down the music children' and receiving the reply 'sorry mum'.
- Always having the highest tolerance on a night out and having to lug everyone else's sorry asses home.
- Finally, being the only flatmate who is up and makes conversation with visiting parents.
Your welcome, from one grumpy flat-mum to another.",,1588515043,,,107,101,0,https://m.facebook.com/story.php?story_fbid=2959834227471364&id=1662935627161237,
2959825914138862,"#CardiffConfession7194
I identify as a #clown.","#CardiffConfession7194
I identify as a #clown.",,1588514772,,,61,9,0,https://m.facebook.com/story.php?story_fbid=2959825914138862&id=1662935627161237,
2959814510806669,"#CardiffConfession7193
There are two types of rugby fans people who actually like rugby and those who use rugby as an excuse to get pissed at normaly socially unacceptable times","#CardiffConfession7193
There are two types of rugby fans people who actually like rugby and those who use rugby as an excuse to get pissed at normaly socially unacceptable times",,1588514425,,,134,33,0,https://m.facebook.com/story.php?story_fbid=2959814510806669&id=1662935627161237,
2959768844144569,"#CardiffConfession7192
The worst road in cardiff","#CardiffConfession7192
The worst road in cardiff",,1588512860,https://scontent.ftlv1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/94884828_2959768847477902_5552107096872321024_n.jpg?_nc_cat=104&_nc_sid=2d5d41&_nc_ohc=FgMH-EtXsUQAX-8JNPA&_nc_oc=AQmFssupVipTg9YO8Qut9Jq6ZgFRHjrD-XILiCdduaOypy3BUcu3HHyVekn02nbib70&_nc_ht=scontent.ftlv1-1.fna&tp=14&oh=005c8036c4ed782e769fa0482c63a59f&oe=5F3D9707,,305,45,0,,
2958357257619061,"#CardiffConfession7191
@ anyone who’s picked up a pouch of bacci in the su. A couple of months ago I had a pretty full bag of ket that exploded in my bacci. I brought said bacci into the su and managed to lose it at some point during the night, I frequently think about the fact that someone out there probably picked this up and is unknowingly smoking ket xoxo hope you enjoyed","#CardiffConfession7191
@ anyone who’s picked up a pouch of bacci in the su. A couple of months ago I had a pretty full bag of ket that exploded in my bacci. I brought said bacci into the su and managed to lose it at some point during the night, I frequently think about the fact that someone out there probably picked this up and is unknowingly smoking ket xoxo hope you enjoyed",,1588457470,,,83,14,0,https://m.facebook.com/story.php?story_fbid=2958357257619061&id=1662935627161237,
2958355257619261,"#CardiffConfession7190
It’s nice to read other people’s confessions and realise I’m not the only one who's demotivated about exams, now I feel less guilty for pretending I'm on holiday in my garden and doing zero work.","#CardiffConfession7190
It’s nice to read other people’s confessions and realise I’m not the only one who's demotivated about exams, now I feel less guilty for pretending I'm on holiday in my garden and doing zero work.",,1588457408,,,108,0,0,https://m.facebook.com/story.php?story_fbid=2958355257619261&id=1662935627161237,
2958354470952673,"#CardiffConfession7189
Alright alright alright boys, girls, non-binary chaps and everyone in-between...
We all miss Cardiff so here's a quiz of all the things we love about our great city to keep the quarantine blues at bay. Get guessing my bros - answers coming soon...","#CardiffConfession7189
Alright alright alright boys, girls, non-binary chaps and everyone in-between...
We all miss Cardiff so here's a quiz of all the things we love about our great city to keep the quarantine blues at bay. Get guessing my bros - answers coming soon...",,1588457386,https://scontent.ftlv1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/95285222_2958354474286006_4754898563291414528_n.jpg?_nc_cat=110&_nc_sid=2d5d41&_nc_ohc=4BDiQ_vqc4YAX-TtPmr&_nc_ht=scontent.ftlv1-2.fna&tp=14&oh=a0834c074e9e121e491dc579d40b1431&oe=5F417805,,55,47,0,,
2958352204286233,"#CardiffConfession7188
Has anyone else felt extremely down these last few weeks? I’ve completely lost my sense of self, I feel useless, the company of everyone in my household isn’t cutting it. I feel extremely lonely. I’m extremely exhausted and can’t find a single thing to motivate me, I can’t even stick to my uni work let alone watch TV. I’ve had what I’d describe as depressive episodes almost everyday, but I can’t control how I feel, even though I may have a good day I’ll have a sudden outburst of tears and unease. The uncertainty of when all of this will end is slowly breaking me. The support I get from my household is pretty useless, the advice I get is usually “at least you aren’t dead”, which I’m so grateful that I’m healthy, but I’m not happy and I don’t know how I can go on like this for much longer. I’ve tried so many services online, but none are helpful. Most have told me to imagine a fluffy blanket that’s my favourite colour...nothing seems to help","#CardiffConfession7188
Has anyone else felt extremely down these last few weeks? I’ve completely lost my sense of self, I feel useless, the company of everyone in my household isn’t cutting it. I feel extremely lonely. I’m extremely exhausted and can’t find a single thing to motivate me, I can’t even stick to my uni work let alone watch TV. I’ve had what I’d describe as depressive episodes almost everyday, but I can’t control how I feel, even though I may have a good day I’ll have a sudden outburst of tears and unease. The uncertainty of when all of this will end is slowly breaking me. The support I get from my household is pretty useless, the advice I get is usually “at least you aren’t dead”, which I’m so grateful that I’m healthy, but I’m not happy and I don’t know how I can go on like this for much longer. I’ve tried so many services online, but none are helpful. Most have told me to imagine a fluffy blanket that’s my favourite colour...nothing seems to help",,1588457312,,,239,7,0,https://m.facebook.com/story.php?story_fbid=2958352204286233&id=1662935627161237,
2958350307619756,"#CardiffConfession7187
No context required.","#CardiffConfession7187
No context required.",,1588457255,https://scontent.ftlv1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/95370003_2958350310953089_2191441010481954816_o.jpg?_nc_cat=111&_nc_sid=2d5d41&_nc_ohc=KCk5aKPN-5YAX8CzYPH&_nc_ht=scontent.ftlv1-1.fna&tp=14&oh=1f62b477870135da1593553115780256&oe=5F40D331,,20,3,0,,
2958349060953214,"#CardiffConfession7186
Anyone knows how to remove blu tac stain on walls?
Asking for a friend","#CardiffConfession7186
Anyone knows how to remove blu tac stain on walls?
Asking for a friend",,1588457217,,,23,11,0,https://m.facebook.com/story.php?story_fbid=2958349060953214&id=1662935627161237,
2958347817620005,"#CardiffConfession7185
If you constantly speak in the course group chat you need to get a life and some friends... 🥴🥴🥴
Pointing out the people who ignore you?? Maybe it’s because you’re a fucking bully and no one cares about you 🙃🙃🙃","#CardiffConfession7185
If you constantly speak in the course group chat you need to get a life and some friends... 🥴🥴🥴
Pointing out the people who ignore you?? Maybe it’s because you’re a fucking bully and no one cares about you 🙃🙃🙃",,1588457178,,,39,11,0,https://m.facebook.com/story.php?story_fbid=2958347817620005&id=1662935627161237,
2958346870953433,"#CardiffConfession7184
CPS have blocked people from commenting on their posts ahahhahahahahahahahhcuntshahahaha","#CardiffConfession7184
CPS have blocked people from commenting on their posts ahahhahahahahahahahhcuntshahahaha",,1588457150,,,171,14,0,https://m.facebook.com/story.php?story_fbid=2958346870953433&id=1662935627161237,
2958346717620115,"#CardiffConfession7183
Petition for live lounges first song back to be “onus is on the landlord”","#CardiffConfession7183
Petition for live lounges first song back to be “onus is on the landlord”",,1588457147,,,360,26,0,https://m.facebook.com/story.php?story_fbid=2958346717620115&id=1662935627161237,
2958346504286803,"#CardiffConfession7182
I’m ngl I haven’t even started Cardiff Uni yet I just picked my firm based on the % of students who get on it on it on a night out","#CardiffConfession7182
I’m ngl I haven’t even started Cardiff Uni yet I just picked my firm based on the % of students who get on it on it on a night out",,1588457142,,,17,0,0,https://m.facebook.com/story.php?story_fbid=2958346504286803&id=1662935627161237,
2955945394526914,"#CardiffConfession7181
Confession. I'm gonna miss Cardiff Uni. I'm gonna miss all the people who have helped me have a good time. I'm gonna miss all the people who gave me a bad time. I'm gonna miss all the people who I thought were horrible but turned out to be lovelly and all the people who I thought were lovely but turned out to be horrible. I'm gonna kiss all the people I have no opinion of. All those I walked past continuously and never said hello, all those final year students I was terrified of in first year, all those first years who made me feel old in final year. It's been a blast. Thank you.","#CardiffConfession7181
Confession. I'm gonna miss Cardiff Uni. I'm gonna miss all the people who have helped me have a good time. I'm gonna miss all the people who gave me a bad time. I'm gonna miss all the people who I thought were horrible but turned out to be lovelly and all the people who I thought were lovely but turned out to be horrible. I'm gonna kiss all the people I have no opinion of. All those I walked past continuously and never said hello, all those final year students I was terrified of in first year, all those first years who made me feel old in final year. It's been a blast. Thank you.",,1588368322,,,166,0,0,https://m.facebook.com/story.php?story_fbid=2955945394526914&id=1662935627161237,
2955944687860318,"#CardiffConfession7180
Apparently the NHS no longer requires the rooms from the Uni... why are they making cleaners empty our rooms???","#CardiffConfession7180
Apparently the NHS no longer requires the rooms from the Uni... why are they making cleaners empty our rooms???",,1588368296,,,28,0,0,https://m.facebook.com/story.php?story_fbid=2955944687860318&id=1662935627161237,
2955944017860385,"#CardiffConfession7179
The one thing that I definitely won’t be here for when lockdown ends is the people that will come out of it bragging about how it’s helped them lose 20lbs, start a small business and get firsts in all their exams
Hun, I barely make it out of bed past 1pm.
I’m gonna have gained about 2 stone and watched everything on Netflix and Disney+ and I will not feel bad about it","#CardiffConfession7179
The one thing that I definitely won’t be here for when lockdown ends is the people that will come out of it bragging about how it’s helped them lose 20lbs, start a small business and get firsts in all their exams
Hun, I barely make it out of bed past 1pm.
I’m gonna have gained about 2 stone and watched everything on Netflix and Disney+ and I will not feel bad about it",,1588368271,,,189,4,0,https://m.facebook.com/story.php?story_fbid=2955944017860385&id=1662935627161237,
2955943811193739,"#CardiffConfession7178
If you’re on my private story there’s a 90% chance I want to shag you","#CardiffConfession7178
If you’re on my private story there’s a 90% chance I want to shag you",,1588368263,,,56,28,0,https://m.facebook.com/story.php?story_fbid=2955943811193739&id=1662935627161237,
