post_id,total_reactions,top_reactions
2951060055015448,935,"Angry,Like,Sad"
3063801417074644,31,"Haha,Like"
3063796657075120,435,"Like,Haha,Sad"
3063796253741827,241,"Like,Haha,Wow"
2959860907468696,507,"Like,Haha,Sad"
2959853987469388,17,"Like,Haha"
2959847800803340,113,"Like,Haha,Sad"
2959838040804316,19,"Like,Love,Wow"
2959834227471364,136,"Like,Haha,Love"
2959825914138862,64,"Like,Love"
2959814510806669,152,"Like,Haha,Love"
2959768844144569,405,"Like,Haha,Love"
2958357257619061,119,"Like,Haha,Wow"
2958355257619261,121,"Like,Haha,Love"
2958354470952673,63,"Like,Love,Haha"
2958352204286233,332,"Like,Care,Love"
2958350307619756,27,"Like,Love,Haha"
2958349060953214,31,"Like,Haha"
2958347817620005,49,"Like,Haha,Sad"
2958346870953433,232,"Like,Haha,Wow"
2958346717620115,454,"Like,Haha,Love"
2958346504286803,24,"Like,Haha,Love"
2955945394526914,216,"Like,Love,Care"
2955944687860318,30,"Like,Wow"
2955944017860385,215,"Like,Haha,Love"
2955943811193739,81,"Like,Haha,Care"
2955942601193860,7,Like
2955942297860557,270,"Like,Care,Love"
2955925681195552,26,"Like,Haha,Love"
2955924294529024,253,"Like,Haha,Love"
2955924221195698,54,"Angry,Like,Sad"
2955924011195719,115,"Like,Love,Haha"
2955920607862726,11,"Like,Wow"
2955918801196240,170,"Like,Haha,Love"
2955660384555415,35,"Like,Love"
2955645297890257,62,"Like,Haha,Love"
2955641671223953,48,"Like,Love,Care"
2955640467890740,6,"Haha,Like"
2955639171224203,66,"Like,Haha,Sad"
2955638771224243,104,"Like,Angry,Haha"
2955638601224260,17,Like
2955637727891014,9,"Like,Haha"
2955637377891049,24,"Like,Love"
2955634484558005,11,"Like,Haha,Love"
2955633424558111,26,"Like,Haha"
2955633207891466,43,"Like,Haha,Love"
2955632337891553,139,"Like,Care,Love"
2955632117891575,19,"Like,Haha"
2955627921225328,7,Like
2955627404558713,72,"Like,Haha"
2955626837892103,7,"Like,Haha"
2955621351225985,333,"Like,Love,Sad"
2953204048134382,299,"Like,Haha,Love"
2953140344807419,162,"Like,Haha,Sad"
2953140191474101,31,"Like,Haha"
2953137938140993,19,"Like,Haha"
2953137804807673,6,"Like,Haha"
2953137641474356,8,Like
2953137514807702,73,"Like,Haha,Love"
2953135908141196,78,"Angry,Like,Love"
2953135348141252,242,"Like,Haha,Love"
2953134211474699,14,Like
2953133918141395,803,"Like,Angry,Sad"
2953133561474764,109,"Like,Angry,Love"
2951132318341555,79,"Like,Love,Angry"
2951116328343154,51,"Like,Haha,Sad"
2951115338343253,33,"Like,Haha,Love"
2951099051678215,264,"Like,Haha,Love"
2951097861678334,18,"Like,Love,Haha"
2951087411679379,99,"Angry,Like,Love"
2951079281680192,119,"Like,Haha"
2951057755015678,103,"Like,Haha,Sad"
2949754058479381,142,"Like,Love,Haha"
2949753635146090,304,"Like,Haha,Wow"
2949736551814465,153,"Like,Love,Haha"
2949730315148422,28,"Like,Haha"
2949729615148492,78,"Like,Haha"
2949726898482097,52,"Like,Haha,Love"
2949726511815469,84,"Like,Love"
2949726275148826,134,"Like,Love,Haha"
2949725705148883,40,"Like,Haha,Wow"
2947485058706281,91,"Like,Angry,Haha"
2947475532040567,97,"Like,Haha,Love"
2947464822041638,755,"Like,Love,Haha"
2947461448708642,3,"Like,Love,Haha"
2947461258708661,24,"Like,Haha"
2947461115375342,62,"Like,Haha,Love"
2947460772042043,26,"Like,Haha,Love"
2946510928803694,684,"Like,Sad,Love"
2946487375472716,37,"Like,Love,Haha"
2946476418807145,168,"Like,Love,Haha"
2941263025995151,72,"Like,Sad"
2941262802661840,542,"Like,Haha,Sad"
2941260279328759,105,"Like,Haha,Love"
2941255502662570,4,"Like,Wow"
2941255139329273,238,"Like,Love,Angry"
2941236432664477,133,"Like,Haha,Love"
2941232155998238,29,"Like,Haha,Wow"
2941217399333047,732,"Like,Haha,Love"
2941209772667143,7,Like
2941208909333896,406,"Like,Haha,Love"
2941194742668646,25,"Like,Haha"
2941192389335548,17,"Like,Haha"
2941191719335615,2,"Love,Haha"
2941186199336167,21,"Haha,Like"
2941182879336499,14,"Like,Haha"
2941180736003380,68,"Like,Haha,Love"
2941168959337891,77,"Like,Haha,Wow"
2941163586005095,37,"Like,Haha"
2941160246005429,19,"Like,Love"
2941152862672834,35,"Like,Love"
2941144339340353,18,"Like,Haha"
2941133792674741,66,"Like,Haha,Love"
2941132419341545,5,Like
2941125172675603,73,"Like,Sad,Haha"
2941122556009198,25,"Like,Haha"
2941116896009764,25,"Like,Haha"
2941113709343416,378,"Angry,Like,Love"
2941112396010214,28,"Like,Sad,Haha"
2941106279344159,17,"Like,Haha"
2939688382819282,95,"Like,Haha,Love"
2939688049485982,57,"Like,Sad,Haha"
2939686822819438,19,Like
2939686122819508,29,"Like,Haha"
2938924869562300,29,"Like,Haha"
2938922889562498,13,"Like,Sad"
2938922669562520,221,"Like,Haha,Love"
2938918569562930,131,"Like,Haha,Love"
2938918132896307,42,"Like,Haha,Wow"
2938917056229748,1.1K,"Like,Haha,Love"
2938915906229863,22,"Like,Haha,Love"
2938915576229896,18,"Like,Haha,Love"
2938914662896654,409,"Like,Haha,Sad"
2938909279563859,618,"Like,Haha,Love"
2938909129563874,56,"Like,Haha,Love"
2935631579891629,125,"Like,Haha"
2935631426558311,78,"Like,Haha"
2935627653225355,1.5K,"Like,Haha,Love"
2935626376558816,723,"Like,Haha,Love"
2935624293225691,86,"Haha,Like,Angry"
2935620479892739,128,"Like,Haha,Sad"
2935620003226120,32,"Like,Haha"
2935619903226130,150,"Like,Haha,Love"
2935618369892950,138,"Like,Haha,Love"
2935618306559623,131,"Like,Haha,Love"
2935618199892967,22,"Like,Haha"
2933318556789598,468,"Like,Sad,Love"
2933318370122950,153,"Like,Haha,Sad"
2860379227416865,340,"Like,Angry,Haha"
2856054587849329,283,"Like,Haha,Sad"
2856051744516280,53,"Like,Sad,Wow"
2856048771183244,90,"Like,Love,Haha"
2856048494516605,502,"Like,Love"
2856046521183469,91,"Like,Haha,Love"
2856038441184277,142,"Like,Haha,Sad"
2856037877851000,42,"Like,Haha"
2856037454517709,155,"Like,Love,Haha"
2856036281184493,463,"Like,Love,Sad"
2856032641184857,45,"Like,Haha"
2856028421185279,194,"Like,Haha,Love"
2855450764576378,68,"Like,Love"
2846167098838078,584,"Like,Haha,Love"
2846166468838141,408,"Like,Wow,Sad"
2846165562171565,1.2K,"Like,Haha,Love"
2846163782171743,137,"Like,Haha,Love"
2846163165505138,391,"Like,Haha,Love"
2846162225505232,80,"Like,Haha,Wow"
2846161748838613,74,"Like,Sad,Wow"
2846160722172049,48,"Like,Haha,Sad"
2846159535505501,471,"Like,Haha,Sad"
2846159318838856,13,Like
2846157385505716,182,"Like,Haha"
2846156452172476,222,"Like,Haha,Love"
2846154258839362,109,"Like,Haha,Angry"
2846153442172777,64,"Like,Haha,Love"
2846151598839628,372,"Like,Love,Sad"
2846146875506767,103,"Like,Haha,Love"
2845171198937668,74,"Like,Haha,Love"
2845165048938283,176,"Like,Love,Wow"
2839754776145977,591,"Like,Haha,Love"
2839754629479325,7,"Angry,Like,Haha"
2839754499479338,664,"Like,Haha,Wow"
2839752502812871,285,"Like,Haha,Sad"
2839748369479951,79,"Like,Haha,Love"
2839746769480111,130,"Like,Haha,Love"
2839744399480348,138,"Like,Haha,Love"
2839742999480488,22,"Like,Haha,Love"
2820946808026774,32,"Like,Haha"
2820945251360263,12,"Like,Haha"
2820943934693728,108,"Like,Love,Haha"
2820942751360513,51,"Like,Love,Haha"
2820939924694129,116,"Like,Love,Angry"
2820938314694290,439,"Like,Sad,Love"
2820935141361274,223,"Like,Love"
2820934764694645,16,"Like,Sad"
