post_id,total_reactions,top_reactions
2654900581442846,5,Like
2695821474017423,89,"Like,Haha,Love"
2695242354075335,222,"Like,Love,Wow"
2695123730753864,209,"Like,Haha,Wow"
2694996617433242,76,"Like,Haha,Angry"
2694839307448973,138,"Like,Haha,Angry"
2694697807463123,47,"Like,Angry,Haha"
2694335707499333,139,"Like,Love,Wow"
2694221274177443,39,"Like,Haha,Love"
2694117440854493,336,"Like,Haha,Sad"
2693990677533836,61,"Like,Haha,Sad"
2693877494211821,451,"Like,Love,Wow"
2693524760913761,428,"Like,Sad,Love"
2693404327592471,70,"Like,Haha,Sad"
2693306140935623,295,"Haha,Wow,Love"
2693190307613873,125,"Like,Love,Wow"
2693061320960105,386,"Haha,Like,Love"
2692681230998114,45,"Like,Haha,Angry"
2692556874343883,8,Like
2692456414353929,396,"Like,Sad,Haha"
2692344981031739,21,"Like,Wow,Sad"
2692227197710184,165,"Haha,Like,Wow"
2692114157721488,376,"Like,Haha,Love"
2691787181087519,313,"Like,Sad,Wow"
2691658061100431,316,"Haha,Like,Sad"
2691528727780031,142,"Like,Love,Haha"
2691395147793389,22,"Like,Sad"
2691104374489133,148,"Haha,Like,Love"
2690909604508610,28,Like
2690788884520682,4,Like
2690647204534850,310,"Like,Haha,Love"
2690503161215921,134,"Like,Haha,Love"
2690129117919992,189,"Like,Haha,Wow"
2689994201266817,86,"Like,Haha,Love"
2689870901279147,110,"Like,Haha,Love"
2689742997958604,460,"Love,Haha,Like"
2689608007972103,109,"Like,Haha,Love"
2689181144681456,637,"Like,Angry,Sad"
2689030381363199,39,"Like,Love"
2688860958046808,269,"Angry,Like,Haha"
2688480931418144,41,"Like,Sad,Love"
2688284561437781,580,"Love,Like,Sad"
2688098964789674,105,"Like,Love,Sad"
2687648188168085,461,"Like,Love,Wow"
2687429784856592,180,"Like,Haha,Wow"
2687209994878571,238,"Like,Love,Haha"
2686739601592277,177,"Haha,Like,Love"
2686546204944950,1K,"Like,Love,Haha"
2686318148301089,226,"Like,Love,Angry"
2685863671679870,37,"Sad,Like,Haha"
2685725315027039,86,"Haha,Like,Sad"
2685578695041701,494,"Like,Haha,Sad"
2685414051724832,123,"Like,Haha,Sad"
2685044891761748,129,"Like,Love,Wow"
2684888021777435,290,"Like,Haha,Wow"
2684696871796550,530,"Angry,Love,Like"
2684323885167182,46,"Like,Haha,Sad"
2684043258528578,212,"Like,Love,Angry"
2683511038581800,294,"Like,Haha,Angry"
2683274035272167,181,"Like,Angry,Haha"
2683028165296754,75,"Like,Love"
2682567352009502,198,"Love,Haha,Wow"
2682301695369401,318,"Like,Love,Wow"
2681858525413718,534,"Like,Love,Haha"
2681664512099786,340,"Like,Wow,Angry"
2681447232121514,57,"Like,Haha,Love"
2681036525495918,71,"Like,Love,Care"
2680803998852504,483,"Wow,Care,Like"
2680520828880821,130,"Like,Haha,Care"
2680034478929456,170,"Like,Haha,Love"
2679823985617172,223,"Like,Love,Haha"
2679185682347669,368,"Like,Love,Haha"
2678980582368179,134,"Like,Sad,Love"
2678711905728380,200,"Like,Love,Haha"
2678194269113477,96,"Haha,Like,Sad"
2677574209175483,489,"Love,Like,Haha"
2677232432542994,7,"Like,Haha"
2676634159269488,138,"Like,Sad,Haha"
2676209545978616,132,"Like,Sad,Care"
2675721136027457,19,"Like,Angry,Haha"
2675582212708016,34,"Wow,Like,Haha"
2674882399444664,313,"Like,Haha,Sad"
2674789199453984,204,"Like,Love,Wow"
2674686302797607,34,"Like,Love"
2674557406143830,160,"Haha,Like,Sad"
2674454066154164,156,"Like,Haha,Love"
2673989502867287,76,"Like,Haha,Love"
2673873119545592,86,"Like,Haha,Wow"
2673777682888469,532,"Angry,Haha,Like"
2673644552901782,233,"Like,Love,Haha"
2673531149579789,57,"Like,Haha"
2673225809610323,241,"Like,Haha,Sad"
2673058012960436,123,"Like,Love,Wow"
2672967512969486,53,"Like,Haha,Wow"
2672917639641140,0,
2672837292982508,381,"Like,Love,Wow"
2672680299664874,139,"Like,Wow,Love"
2672373033028934,54,"Like,Care,Love"
2672181089714795,181,"Like,Love,Haha"
2672059809726923,288,"Sad,Like,Wow"
2671911863075051,108,"Like,Haha,Love"
2671777133088524,133,"Like,Love,Haha"
2671324636467107,182,"Haha,Like,Wow"
2671193736480197,53,"Like,Sad,Care"
2671053413160896,290,"Like,Haha,Love"
2670940989838805,132,"Love,Like,Haha"
2670825726516998,464,"Like,Love,Haha"
2670482269884677,44,"Like,Haha,Sad"
2670367063229531,610,"Like,Care,Sad"
2670252666574304,82,"Like,Haha,Love"
2670220989910805,8,Like
2670144299918474,37,"Like,Haha,Sad"
2670039526595618,100,"Like,Haha,Sad"
2669936413272596,199,"Like,Haha,Love"
2669641059968798,89,"Like,Haha,Love"
2669526736646897,194,"Like,Haha,Love"
2669442066655364,20,"Like,Sad,Care"
2669346859998218,879,"Like,Love,Haha"
2669233613342876,579,"Wow,Angry,Sad"
2669122943353943,75,"Like,Sad,Angry"
