post_id,total_reactions,top_reactions
460307711143868,138,"Like,Love,Haha"
888616311646337,420,"Like,Love,Haha"
888063575034944,102,"Like,Love,Haha"
887572351750733,52,"Like,Haha,Sad"
887492285092073,53,"Like,Sad,Wow"
887468551761113,10,"Like,Haha,Wow"
887393248435310,150,"Like,Love,Haha"
887327555108546,2,"Like,Haha"
887265691781399,84,"Like,Haha,Wow"
887176795123622,62,"Like,Haha,Sad"
886925141815454,214,"Like,Haha,Love"
886851621822806,22,"Haha,Like"
886798465161455,304,"Like,Sad,Care"
886739501834018,59,"Like,Haha,Wow"
886670385174263,27,"Like,Haha"
886607761847192,210,"Like,Haha,Love"
886540315187270,96,"Like,Haha,Love"
886346358539999,116,"Like,Wow,Haha"
886195038555131,40,"Like,Haha,Wow"
886132685228033,282,"Like,Love,Care"
886069845234317,118,"Like,Haha,Wow"
886006598573975,41,"Like,Care,Love"
885946251913343,50,"Like,Care,Love"
885848605256441,121,"Like,Love,Care"
885777428596892,25,"Like,Haha"
885537155287586,129,"Like,Haha,Love"
885435891964379,60,"Like,Haha"
885379931969975,235,"Like,Haha,Love"
885323968642238,114,"Like,Haha,Sad"
885263498648285,169,"Like,Haha,Love"
885202485321053,47,"Like,Love"
885140571993911,168,"Like,Love,Care"
885121391995829,55,"Like,Love,Care"
885045022003466,262,"Like,Care,Love"
884780915363210,53,"Like,Haha,Love"
884698662038102,75,"Like,Sad,Haha"
884642402043728,20,"Like,Haha,Sad"
884582028716432,60,"Like,Haha,Sad"
884518262056142,270,"Like,Sad,Wow"
884444752063493,99,"Like,Care,Love"
884358182072150,306,"Like,Love,Care"
884282975413004,146,"Like,Haha,Love"
884076532100315,246,"Like,Care,Love"
883978055443496,10,Like
883909545450347,180,"Like,Haha,Wow"
883856402122328,156,"Like,Haha"
883796328795002,244,"Like,Love,Haha"
883724182135550,32,"Like,Haha,Wow"
883664195474882,210,"Like,Haha,Love"
883596652148303,126,"Like,Haha,Wow"
883328332175135,674,"Like,Haha,Love"
883246772183291,14,"Like,Haha,Care"
883192125522089,110,"Like,Haha,Wow"
883137385527563,572,"Love,Wow,Sad"
883083758866259,24,"Like,Haha,Sad"
883019872205981,217,"Like,Haha,Love"
882962995545002,107,"Like,Haha,Love"
882910348883600,33,"Like,Haha,Sad"
882831412224827,287,"Like,Haha,Wow"
882669968907638,491,"Like,Haha,Love"
882544998920135,48,"Like,Haha,Sad"
882473578927277,78,"Like,Love,Wow"
882425698932065,19,"Like,Love,Care"
882374582270510,44,"Like,Wow,Care"
882319342276034,89,"Like,Haha,Love"
882261218948513,81,"Like,Love,Haha"
882205575620744,169,"Like,Haha,Love"
882129232295045,29,"Like,Haha,Wow"
881835445657757,46,"Like,Love,Haha"
881762445665057,264,"Like,Haha,Love"
881702642337704,109,"Like,Haha,Wow"
881635132344455,434,"Like,Haha,Love"
881548722353096,177,"Like,Haha,Love"
881444702363498,114,"Like,Haha,Love"
881353482372620,39,"Like,Haha"
881094222398546,112,"Like,Haha,Sad"
881006379073997,46,"Like,Love,Haha"
880948592413109,337,"Like,Haha,Love"
880873992420569,310,"Like,Love,Haha"
880805565760745,69,"Like,Haha,Love"
880726772435291,205,"Like,Haha,Love"
880594162448552,124,"Like,Haha,Wow"
880272012480767,375,"Like,Haha,Love"
880187752489193,197,"Like,Haha,Love"
880123759162259,70,"Like,Haha,Love"
880046065836695,80,"Like,Haha,Wow"
879962855845016,152,"Like,Love,Haha"
879852425856059,478,"Like,Care,Love"
879581025883199,161,"Like,Haha,Care"
879459989228636,82,"Like,Haha,Love"
879376922570276,91,"Like,Haha,Care"
879263062581662,124,"Like,Haha,Love"
879159622592006,22,Like
879016439272991,188,"Like,Love,Care"
878829302625038,530,"Like,Haha,Love"
878714369303198,109,"Like,Haha,Love"
878616472646321,105,"Like,Haha,Love"
878507832657185,53,"Like,Sad,Love"
878397416001560,52,"Like,Haha,Care"
878101096031192,59,"Like,Haha,Care"
877996556041646,23,"Like,Haha,Care"
877895439385091,622,"Like,Haha,Love"
877792009395434,145,"Like,Haha,Sad"
877673172740651,63,"Like,Haha,Love"
877347912773177,190,"Like,Haha,Love"
877254472782521,192,"Like,Haha,Love"
877155022792466,200,"Like,Sad,Love"
877043596136942,40,"Haha,Like,Love"
876815596159742,60,"Like,Haha,Love"
876637452844223,89,"Like,Haha,Sad"
876533926187909,238,"Like,Haha,Sad"
876428096198492,263,"Like,Haha,Love"
876315979543037,183,"Love,Like,Haha"
875912822916686,63,"Like,Haha"
875826966258605,24,"Like,Haha"
875725842935384,113,"Like,Haha,Love"
875617252946243,61,"Like,Haha,Wow"
875313549643280,46,"Haha,Like,Love"
875123486328953,154,"Like,Haha,Love"
874929929681642,382,"Care,Sad,Love"
874857386355563,205,"Like,Haha,Care"
874742513033717,72,"Like,Haha,Care"
874488776392424,90,"Like,Haha,Care"
874414996399802,208,"Like,Haha,Love"
874345863073382,153,"Like,Haha,Wow"
874268293081139,15,"Like,Love"
874190416422260,149,"Like,Sad,Wow"
874132746428027,86,"Like,Love,Haha"
,0,
874109963096972,28,"Like,Haha,Love"
873850723122896,95,"Like,Haha,Love"
873756579798977,146,"Like,Haha,Love"
873692993138669,513,"Like,Love,Wow"
873616766479625,48,"Like,Love,Wow"
873539483154020,118,"Like,Haha,Love"
873399636501338,59,"Like,Haha"
873306076510694,279,"Like,Haha,Love"
873021389872496,34,"Like,Haha,Care"
872932289881406,48,"Like,Haha,Wow"
872867369887898,56,"Like,Haha,Love"
872799579894677,98,"Like,Haha,Love"
872723646568937,68,"Like,Haha,Love"
872656893242279,51,"Like,Love,Wow"
872572309917404,100,"Like,Haha,Love"
872331006608201,44,"Haha,Like"
872254576615844,61,"Like,Haha"
872198343288134,142,"Like,Haha,Sad"
872137189960916,73,"Like,Haha"
872070516634250,313,"Like,Love,Haha"
872005203307448,142,"Like,Love,Care"
871940836647218,61,"Like,Love,Wow"
871709760003659,50,"Like,Haha"
871570613350907,120,"Like,Haha,Care"
871510800023555,148,"Like,Haha,Care"
871453733362595,58,"Like,Love"
871390603368908,136,"Like,Haha,Wow"
871321256709176,89,"Like,Haha,Sad"
871298500044785,126,"Like,Sad,Love"
871223000052335,279,"Like,Haha,Love"
870955993412369,41,"Like,Love,Haha"
870853676755934,38,"Haha,Like,Sad"
870782253429743,246,"Like,Love,Care"
870704786770823,415,"Like,Haha,Sad"
870610863446882,187,"Like,Haha,Wow"
870530530121582,27,"Like,Haha,Sad"
870274690147166,129,"Like,Haha,Sad"
870161586825143,42,"Like,Haha"
870092666832035,19,"Like,Wow,Sad"
869904700184165,42,"Like,Haha,Love"
869801513527817,67,"Like,Haha,Wow"
869518810222754,117,"Like,Haha,Love"
869400526901249,76,"Like,Love,Haha"
869318550242780,19,Like
869228913585077,169,"Haha,Like,Love"
869130183594950,104,"Like,Haha,Sad"
869056873602281,12,"Haha,Like"
868791060295529,208,"Like,Sad,Angry"
868700706971231,53,"Like,Sad,Care"
868638790310756,432,"Like,Haha,Love"
868572156984086,30,"Like,Haha,Wow"
868503703657598,77,"Like,Haha,Love"
868430793664889,347,"Like,Haha,Love"
868366957004606,77,"Like,Haha,Angry"
868270957014206,83,"Like,Haha,Sad"
868019847039317,86,"Like,Haha,Love"
867946010380034,116,"Like,Wow,Love"
867884157052886,220,"Like,Love,Wow"
867820660392569,33,"Like,Love"
867747380399897,63,"Like,Love"
867679427073359,38,"Like,Haha,Wow"
867600923747876,59,"Like,Angry,Wow"
867342017107100,138,"Like,Sad,Love"
867253417115960,77,"Like,Love,Haha"
867190783788890,110,"Like,Love,Care"
867123893795579,45,"Like,Love"
867057253802243,81,"Like,Haha"
866989713808997,14,"Like,Haha"
866926563815312,58,"Like,Haha,Angry"
866738257167476,458,"Angry,Like,Sad"
866587520515883,80,"Like,Care,Love"
866502173857751,52,"Like,Love"
866443293863639,244,"Like,Haha,Sad"
864654610709174,46,"Like,Haha"
864398387401463,114,"Like,Love,Haha"
864317387409563,188,"Like,Love,Haha"
864242520750383,125,"Like,Love,Haha"
864165727424729,46,Like
864086877432614,49,"Like,Haha,Love"
863986534109315,174,"Like,Love,Haha"
863709274137041,65,"Like,Sad"
863620934145875,135,"Like,Love,Haha"
863520614155907,219,"Like,Love"
863417880832847,208,"Like,Love,Care"
863326310842004,123,"Like,Love,Care"
863256574182311,398,"Like,Love,Care"
862907004217268,114,"Like,Care,Love"
862788640895771,186,"Like,Angry,Love"
862668384241130,157,"Like,Haha,Care"
862566410917994,137,"Like,Haha,Love"
862275134280455,253,"Like,Haha,Love"
862164620958173,44,"Haha,Like,Sad"
862027134305255,31,"Like,Haha"
861878267653475,99,"Like,Haha,Care"
861770277664274,167,"Like,Haha,Sad"
861485347692767,30,"Like,Haha,Sad"
861344004373568,35,"Like,Haha,Wow"
861252017716100,54,"Like,Haha,Sad"
861154787725823,543,"Like,Haha,Love"
861056247735677,16,"Like,Haha"
860779991096636,306,"Like,Haha,Love"
860664571108178,35,"Like,Haha"
860574267783875,44,"Like,Wow"
860457467795555,109,"Like,Haha,Love"
860374421137193,562,"Like,Haha,Love"
860202704487698,192,"Like,Haha,Love"
859985374509431,58,"Like,Haha"
859901731184462,216,"Like,Love,Wow"
859816314526337,87,"Like,Haha"
859725224535446,164,"Like,Haha,Angry"
859638967877405,38,"Like,Haha,Love"
859373347903967,57,"Like,Haha,Wow"
859240994583869,50,"Like,Haha"
859149227926379,220,"Like,Sad,Haha"
859061607935141,56,"Like,Haha,Love"
858980714609897,256,"Like,Haha,Love"
858893374618631,178,"Like,Sad,Haha"
858644397976862,93,"Like,Haha,Sad"
858554647985837,206,"Like,Love,Sad"
858514201323215,357,"Like,Haha,Love"
858453734662595,33,"Like,Haha,Love"
858390284668940,29,"Like,Haha,Love"
858323251342310,43,"Like,Angry,Haha"
858251748016127,67,"Like,Haha,Angry"
858019588039343,14,"Like,Haha"
857932358048066,182,"Like,Haha,Love"
857877278053574,78,"Like,Haha,Love"
857817481392887,137,"Like,Angry,Wow"
857752358066066,46,"Like,Haha"
857688881405747,94,"Like,Haha,Love"
857629401411695,129,"Like,Haha,Love"
857496314758337,21,"Like,Haha"
857322904775678,65,"Like,Haha,Love"
857252404782728,141,"Like,Haha,Sad"
857194611455174,41,"Like,Haha,Wow"
857128258128476,317,"Like,Sad,Haha"
857054674802501,150,"Like,Haha,Love"
856986704809298,272,"Like,Sad,Love"
856915078149794,297,"Like,Haha,Love"
856883274819641,339,"Like,Haha,Love"
856652674842701,122,"Like,Haha,Love"
856566264851342,37,"Like,Haha"
856485924859376,119,"Like,Haha,Wow"
856417784866190,57,"Like,Haha,Love"
856348548206447,122,"Like,Haha,Love"
856281684879800,62,"Like,Sad,Haha"
856221414885827,168,"Like,Haha,Care"
856100598231242,210,"Like,Haha,Love"
855896738251628,164,"Like,Haha,Sad"
855825164925452,95,"Like,Haha,Wow"
855772044930764,635,"Like,Love,Care"
855710654936903,167,"Like,Care,Sad"
855652701609365,335,"Like,Haha,Love"
855597644948204,103,"Like,Haha,Love"
855547718286530,79,"Like,Haha,Love"
855477414960227,52,"Like,Haha,Love"
855252238316078,32,"Like,Sad,Love"
855179551656680,41,"Like,Haha"
855131118328190,32,"Like,Haha,Wow"
855079558333346,75,"Like,Haha,Wow"
855024171672218,56,"Like,Haha,Love"
854968895011079,25,"Like,Haha,Care"
854912291683406,411,"Like,Haha,Wow"
854851181689517,46,"Like,Haha,Love"
854617521712883,59,"Like,Haha,Love"
854527941721841,202,"Like,Haha,Love"
854467898394512,178,"Like,Haha,Love"
854404631734172,39,"Like,Haha"
854334101741225,70,"Like,Haha,Love"
854267438414558,74,"Like,Haha,Love"
854217505086218,36,"Like,Haha"
854120721762563,54,"Like,Haha,Care"
853906445117324,33,"Like,Sad,Haha"
853838245124144,32,"Like,Haha,Love"
853776848463617,81,"Like,Love,Haha"
852111931963442,32,"Like,Love,Haha"
851982258643076,94,"Like,Love,Care"
851753275332641,16,"Like,Haha,Love"
851589512015684,89,"Like,Haha,Sad"
851470735360895,153,"Like,Haha,Wow"
851166012058034,137,"Like,Love,Haha"
850864752088160,84,"Like,Haha,Love"
850450455462923,75,"Like,Love,Care"
849285402246095,50,"Like,Haha,Wow"
849137428927559,167,"Like,Haha,Love"
848506498990652,148,"Like,Haha,Sad"
847363095771659,244,"Like,Haha,Love"
846421102532525,215,"Like,Angry,Haha"
845924372582198,50,"Like,Love,Haha"
845840319257270,547,"Like,Haha,Love"
845066492667986,239,"Like,Haha,Love"
844360669405235,36,"Like,Haha,Care"
844309512743684,17,"Like,Haha,Love"
844254509415851,131,"Like,Haha,Wow"
844196149421687,114,"Like,Haha,Wow"
843557232818912,23,"Like,Haha,Love"
842484729592829,22,"Like,Love,Haha"
842209236287045,200,"Like,Haha,Care"
842156889625613,43,"Like,Haha,Care"
841698786338090,42,"Like,Haha,Love"
841629713011664,22,"Like,Haha"
841585173016118,82,"Like,Haha,Sad"
841537959687506,27,"Like,Haha,Sad"
841378533036782,60,"Like,Haha,Love"
841263946381574,87,"Like,Wow,Haha"
840912906416678,96,"Like,Haha,Love"
840773206430648,386,"Like,Haha,Love"
840661086441860,152,"Like,Haha,Care"
840023043172331,19,"Like,Haha,Care"
839513526556616,112,"Haha,Like,Sad"
839457936562175,31,"Like,Haha"
839397246568244,194,"Like,Haha,Love"
839340223240613,57,"Like,Haha,Care"
839158803258755,88,"Like,Haha,Sad"
838851623289473,105,"Like,Haha,Love"
838794719961830,129,"Like,Haha,Love"
838737773300858,634,"Like,Love,Sad"
838623069978995,97,"Like,Haha,Love"
838558906652078,180,"Like,Haha,Angry"
838084933366142,45,"Like,Haha,Wow"
837922363382399,52,"Like,Haha,Love"
837442496763719,104,"Like,Angry,Sad"
837335086774460,150,"Like,Haha,Sad"
837129363461699,82,"Like,Haha"
836493550191947,65,"Like,Haha,Love"
836378573536778,49,"Like,Sad,Love"
836209616887007,72,"Like,Sad,Wow"
836140973560538,12,"Like,Haha,Love"
836014133573222,92,"Like,Haha,Wow"
835969386911030,92,"Like,Haha,Sad"
835925360248766,231,"Like,Haha,Sad"
835878513586784,73,"Like,Haha,Angry"
835785210262781,11,"Like,Haha,Wow"
835521196955849,37,"Like,Haha,Sad"
835104930330809,13,"Like,Haha,Sad"
834740600367242,100,"Like,Haha,Love"
834706173704018,49,"Like,Haha,Love"
834505767057392,232,"Like,Haha,Love"
834426770398625,60,"Like,Haha"
834371640404138,35,"Like,Haha,Angry"
834005400440762,107,"Like,Haha,Love"
833790473795588,22,"Like,Wow,Haha"
833745187133450,171,"Like,Haha,Sad"
833699713804664,143,"Like,Haha,Love"
833650170476285,38,"Like,Sad,Haha"
833452660496036,248,"Like,Haha,Love"
833140377193931,80,"Like,Haha,Sad"
833104200530882,23,"Like,Haha"
833070090534293,45,"Like,Love,Haha"
833029040538398,126,"Like,Haha"
832982517209717,182,"Like,Haha,Love"
832734170567885,46,"Like,Haha"
832688997239069,157,"Like,Haha,Love"
832364990604803,32,"Like,Love"
831862607321708,40,"Like,Sad,Wow"
831821910659111,16,"Like,Love"
831781873996448,356,"Like,Haha,Love"
831736610667641,79,"Like,Haha,Love"
831699297338039,155,"Like,Haha,Love"
831226227385346,236,"Like,Haha,Sad"
831191800722122,76,"Like,Haha,Wow"
830943334080302,25,"Like,Haha,Love"
830910227416946,205,"Like,Haha,Love"
830331770808125,22,"Like,Haha"
830295027478466,100,"Like,Haha,Love"
830163604158275,60,"Like,Haha,Sad"
829762687531700,159,"Like,Love,Haha"
829674060873896,26,"Like,Haha"
829596550881647,150,"Like,Haha,Sad"
829543414220294,69,"Like,Haha"
829405440900758,39,"Like,Haha,Angry"
829360067571962,361,"Like,Haha,Sad"
829293244245311,93,"Like,Haha"
829013710939931,97,"Like,Haha,Wow"
828924917615477,151,"Like,Haha,Wow"
828856767622292,75,"Like,Haha,Sad"
828816937626275,156,"Like,Haha,Love"
828775674297068,366,"Like,Haha,Sad"
828120944362541,53,"Like,Haha,Sad"
827932177714751,220,"Like,Haha,Love"
827504264424209,375,"Like,Haha,Love"
827410521100250,46,"Like,Love,Haha"
827380547769914,28,"Like,Haha,Love"
827168154457820,1.6K,"Like,Haha,Love"
827138011127501,399,"Like,Haha,Love"
826968904477745,41,"Like,Haha,Love"
826734801167822,30,"Like,Love"
826677157840253,179,"Like,Haha,Love"
826604527847516,34,"Like,Haha,Love"
826425951198707,120,"Like,Haha"
826391081202194,59,"Like,Haha,Love"
826307821210520,71,"Like,Haha,Love"
826202594554376,47,"Like,Haha,Sad"
826041661237136,179,"Like,Sad,Haha"
825972964577339,51,"Like,Haha"
825718931269409,79,"Like,Haha,Sad"
825603467947622,14,"Like,Haha"
825205947987374,132,"Like,Haha,Love"
825016011339701,29,"Like,Haha"
824938548014114,12,"Like,Haha,Love"
824855994689036,90,"Like,Haha,Love"
824449828062986,10,Like
824441698063799,512,"Like,Haha,Sad"
824373428070626,39,"Like,Love"
824277014746934,8,Like
824231991418103,335,"Like,Haha,Love"
824195568088412,43,"Like,Haha"
824153598092609,12,"Like,Haha"
824104348097534,68,"Like,Haha,Sad"
823908001450502,51,"Like,Haha,Wow"
823794398128529,286,"Like,Haha,Sad"
823732764801359,61,"Like,Haha,Love"
823700954804540,13,"Like,Haha"
823405231500779,149,"Like,Love,Haha"
823160624858573,180,"Like,Love"
823100808197888,59,"Like,Haha,Love"
823033731537929,74,"Like,Haha,Love"
823002814874354,49,"Like,Haha,Wow"
822943064880329,193,"Like,Haha,Sad"
822554208252548,8,"Like,Haha"
822404714934164,28,"Like,Haha,Wow"
822279641613338,89,"Like,Haha,Love"
822104244964211,175,"Like,Love,Haha"
822072301634072,178,"Like,Love,Sad"
821947511646551,91,"Like,Haha,Love"
821586375015998,232,"Like,Haha,Love"
821562055018430,267,"Like,Haha,Sad"
821534698354499,594,"Like,Haha,Love"
821261045048531,168,"Like,Haha,Wow"
821239858383983,16,"Like,Haha"
821190848388884,137,"Like,Love,Sad"
820834388424530,303,"Like,Haha,Angry"
820806611760641,156,"Like,Haha,Love"
820716441769658,88,"Like,Haha,Sad"
820657575108878,24,"Like,Haha"
820567548451214,36,"Like,Haha"
820001495174486,44,"Like,Love,Haha"
819946661846636,28,"Like,Haha"
819856185189017,75,"Like,Haha,Sad"
819817821859520,200,"Like,Haha,Sad"
819554865219149,900,"Like,Haha,Sad"
819441718563797,50,"Like,Haha,Sad"
819361588571810,128,"Like,Haha,Sad"
819334148574554,977,"Like,Haha,Love"
819252918582677,78,"Like,Haha"
819222781919024,42,"Like,Haha"
819109535263682,145,"Like,Haha,Love"
818970231944279,252,"Like,Haha,Love"
818538315320804,20,"Like,Haha,Love"
818430435331592,14,"Like,Haha,Sad"
818079468700022,75,"Like,Haha,Love"
817850278722941,42,"Like,Haha,Love"
817460368761932,183,"Like,Love,Sad"
817436502097652,106,"Like,Love,Wow"
817411832100119,46,"Like,Haha,Love"
817385895436046,110,"Like,Haha,Sad"
817329045441731,138,"Like,Haha,Love"
817299302111372,144,"Like,Love,Haha"
817271188780850,39,"Like,Haha"
817219548786014,38,"Like,Haha"
817193272121975,756,"Like,Haha,Love"
816961312145171,46,"Like,Haha,Sad"
816800045494631,122,"Like,Haha,Wow"
816755432165759,255,"Like,Haha,Sad"
816418245532811,34,"Like,Haha,Angry"
816394618868507,47,"Like,Haha,Sad"
816025242238778,26,"Like,Love,Haha"
816024805572155,18,"Like,Haha"
816000682241234,84,"Like,Haha,Love"
815952445579391,164,"Like,Haha,Love"
815917112249591,30,"Like,Haha"
815845925590043,41,"Like,Haha,Love"
815821588925810,27,"Like,Sad,Haha"
815794558928513,14,"Like,Haha,Love"
815771818930787,15,"Like,Haha,Wow"
815747435599892,11,"Like,Haha,Wow"
815726178935351,130,"Like,Haha,Sad"
815681665606469,15,"Like,Haha"
815331875641448,6,"Like,Haha"
815303598977609,97,"Like,Love"
815265268981442,34,"Like,Haha,Angry"
815246185650017,239,"Like,Love,Haha"
815230828984886,15,"Haha,Like"
815212485653387,20,"Like,Haha"
815195748988394,57,"Like,Haha,Sad"
815178555656780,39,"Haha,Like,Wow"
815160455658590,41,"Like,Sad,Haha"
815159998991969,1,Haha
815147248993244,30,"Like,Haha"
814996655674970,65,"Like,Haha,Love"
814655939042375,92,"Like,Haha,Love"
814630952378207,26,"Like,Haha,Wow"
814565382384764,52,"Like,Haha,Sad"
814550702386232,14,"Like,Haha,Sad"
814535332387769,45,"Like,Haha,Sad"
814534875721148,23,"Like,Haha,Sad"
814520399055929,27,"Haha,Like,Wow"
814503512390951,2,Like
814488415725794,10,"Like,Haha,Love"
814486529059316,26,"Like,Haha,Angry"
814457702395532,81,"Like,Haha,Love"
814456419062327,17,"Like,Haha,Sad"
814442755730360,92,"Like,Haha,Angry"
814426345732001,31,"Like,Haha,Love"
814425232398779,152,"Like,Haha,Angry"
814396285735007,80,"Like,Love,Haha"
814394229068546,20,"Like,Haha,Love"
814314439076525,64,"Like,Haha,Sad"
814297379078231,71,"Like,Haha,Love"
814282379079731,38,"Like,Haha,Love"
814251565749479,28,"Like,Haha,Wow"
814223452418957,19,"Like,Love"
814222695752366,46,"Like,Haha,Love"
814201899087779,69,"Like,Haha,Love"
814183065756329,70,"Like,Haha,Sad"
813755575799078,379,"Like,Haha,Sad"
813731985801437,320,"Like,Haha,Sad"
813696769138292,193,"Like,Love,Haha"
813641329143836,40,"Like,Haha"
813185595856076,816,"Like,Haha,Sad"
813078905866745,27,"Haha,Like"
812931509214818,220,"Like,Haha,Love"
812825329225436,808,"Like,Haha,Love"
812628059245163,241,"Like,Haha,Love"
812392535935382,182,"Like,Haha,Sad"
812334119274557,562,"Like,Haha,Sad"
812278625946773,126,"Like,Haha,Sad"
812099839297985,66,"Like,Haha,Sad"
811710276003608,562,"Like,Haha,Sad"
811529699354999,471,"Like,Haha,Love"
811387862702516,180,"Like,Haha,Love"
811325599375409,54,"Like,Haha,Wow"
810998526074783,144,"Like,Love"
810760696098566,167,"Like,Haha,Sad"
810098339498135,69,"Like,Haha,Love"
810013552839947,395,"Like,Haha,Love"
809962729511696,259,"Like,Haha,Love"
809840602857242,179,"Like,Haha,Love"
809780479529921,165,"Like,Love,Haha"
809645912876711,416,"Like,Haha,Sad"
809116056263030,131,"Like,Haha,Love"
808999169608052,61,"Like,Haha,Love"
808998062941496,397,"Like,Sad,Haha"
808659216308714,164,"Like,Haha,Love"
808501116324524,13,"Like,Haha,Wow"
808451296329506,49,"Like,Haha,Love"
808397559668213,35,"Like,Haha,Love"
808279159680053,159,"Like,Haha,Love"
808221989685770,236,"Like,Haha,Love"
808152976359338,53,"Like,Haha,Wow"
807855103055792,177,"Like,Haha,Love"
807795739728395,56,"Like,Love,Haha"
807694609738508,158,"Like,Haha,Love"
807522426422393,373,"Like,Haha,Love"
806214926553143,261,"Like,Haha,Love"
