post_id,text,post_text,shared_text,time,image,video,likes,comments,shares,post_url,link
279835245970015,"*****NEW PAGE ALERT*****
Use the following links to submit your library crushes and memes!
----memerva.uni-truths.com
----leed-ons.uni-truths.com
Submissions: https://leedsfess.uni-truths.com/
All submissions are fully anonymous. We shall not post anything with student names, initials only please. Nothing crass, derogatory, accusatory or libellous about public figures.
Complaints: If you are unhappy with a post then reporting it just means the page may go down. Message us instead and we shall deal with it ASAP
If you are feeling depressed or suicidal there people to chat to
https://www.samaritans.org/how-we-can-help-you
https://leeds.nightline.ac.uk/
If you've been the victim of assault and you want to speak out about it, that's truly extremely brave and we encourage you to do so. However we are students ourselves and not equipped to help you. Please contact the police or engage with the following websites to get the support you need https://www.victimsupport.org.uk/help-and-support/get-help
http://www.rasasc.org.uk/
http://www.thesurvivorstrust.org/
If there is risk of serious injury or life in danger, call 999
LEEDSFESS.UNI-TRUTHS.COM
LeedsFess","*****NEW PAGE ALERT*****
Use the following links to submit your library crushes and memes!
----memerva.uni-truths.com
----leed-ons.uni-truths.com
Submissions: https://leedsfess.uni-truths.com/
All submissions are fully anonymous. We shall not post anything with student names, initials only please. Nothing crass, derogatory, accusatory or libellous about public figures.
Complaints: If you are unhappy with a post then reporting it just means the page may go down. Message us instead and we shall deal with it ASAP
If you are feeling depressed or suicidal there people to chat to
https://www.samaritans.org/how-we-can-help-you
https://leeds.nightline.ac.uk/
If you've been the victim of assault and you want to speak out about it, that's truly extremely brave and we encourage you to do so. However we are students ourselves and not equipped to help you. Please contact the police or engage with the following websites to get the support you need https://www.victimsupport.org.uk/help-and-support/get-help
http://www.rasasc.org.uk/
http://www.thesurvivorstrust.org/
If there is risk of serious injury or life in danger, call 999","LEEDSFESS.UNI-TRUTHS.COM
LeedsFess",1539986741,https://external.fhfa1-1.fna.fbcdn.net/safe_image.php?d=AQDfA-Ff-bD6JYnr&w=476&h=249&url=fbstaging%3A%2F%2Fgraph.facebook.com%2Fstaging_resources%2FMDEzMDk5MzAwMTY0NzIwOTk6OTU4MDU1MDEw&cfs=1&jq=75&ext=jpg&_nc_hash=AQCKSw5UaLFtyqeZ,,70,5,2,https://m.facebook.com/story.php?story_fbid=279835245970015&id=279761922644014,http://memerva.uni-truths.com/
634780473808822,"#leedsfess22827
So within the space of two months, we have seen Nick Cannon go on an antisemitic rant, DeSean Jackson claim Hitler made good points, Shein released a Swastika pendant and now Wiley has gone on a 24 hour long twitter rant about how the Jews are Satanic and that we should 'hold the corn', literally meaning he is willing to kill us merely for being Jewish.
I as a Jew have gone on BLM marches, I have signed the petitions to take down statues I have donated my money to help these causes. I have called out the Chinese government for committing ethnic cleansing. I have called out the Israeli government over plans to annex the West bank and
over illegal settlments. The important thing is I as a Jew am not alone in this, every Jew I know has done the same.
So I beg with each and every one of you please condemn this antisemitism from anyone else who threatens us for being Jewish.
This is not a question of Zionism or anti-zionism, everyone must realise this. I am merely pleading with every person who claims to fight against racism and bigotry to include Jews in this fight. I truly fear if we are left alone to fight this our voices will never be loud enough.","#leedsfess22827
So within the space of two months, we have seen Nick Cannon go on an antisemitic rant, DeSean Jackson claim Hitler made good points, Shein released a Swastika pendant and now Wiley has gone on a 24 hour long twitter rant about how the Jews are Satanic and that we should 'hold the corn', literally meaning he is willing to kill us merely for being Jewish.
I as a Jew have gone on BLM marches, I have signed the petitions to take down statues I have donated my money to help these causes. I have called out the Chinese government for committing ethnic cleansing. I have called out the Israeli government over plans to annex the West bank and
over illegal settlments. The important thing is I as a Jew am not alone in this, every Jew I know has done the same.
So I beg with each and every one of you please condemn this antisemitism from anyone else who threatens us for being Jewish.
This is not a question of Zionism or anti-zionism, everyone must realise this. I am merely pleading with every person who claims to fight against racism and bigotry to include Jews in this fight. I truly fear if we are left alone to fight this our voices will never be loud enough.",,1595763254,,,47,0,0,https://m.facebook.com/story.php?story_fbid=634780473808822&id=279761922644014,
634738117146391,"#leedsfess22826
Sometimes I wish I experienced my teens or uni life way before social media existed because if it wasn't for that, maybe I wouldn't be constantly comparing myself to others my age and seeing myself as someone who's failed in life.","#leedsfess22826
Sometimes I wish I experienced my teens or uni life way before social media existed because if it wasn't for that, maybe I wouldn't be constantly comparing myself to others my age and seeing myself as someone who's failed in life.",,1595757366,,,93,0,0,https://m.facebook.com/story.php?story_fbid=634738117146391&id=279761922644014,
634702063816663,"#leedsfess22825
WILEY IS CANCELLED- his words are UNFORGIVABLE. It’s such a shame however to see a lack of support from people outside the Jewish community, when all communities came together so well to fight for the BLM movement.","#leedsfess22825
WILEY IS CANCELLED- his words are UNFORGIVABLE. It’s such a shame however to see a lack of support from people outside the Jewish community, when all communities came together so well to fight for the BLM movement.",,1595751365,,,201,2,0,https://m.facebook.com/story.php?story_fbid=634702063816663&id=279761922644014,
634445570508979,"#leedsfess22824
CW: Gender Dysphoria and Mental Health
I wanted to share something which to be honest has been on my mind for a few years now and have recently come to terms with this, also with what may contribute to my mental health struggles. As I was unsure what it was. Some of you may have an idea, some may not.
But basically, I'm essentially not comfortable with my body. Not just because of my figure, but because of my gender. I essentially feel like I am trapped in the wrong body. I present myself as very masculine, but mentally in my head I feel like I am masculine also. The only feminine aspect of me is basically my boobs and vagina.
I came more into terms with this when I was doing my dissertation back in 2018, with Judith Butler's theories on gender performance and psychology.
I have days where I just want to rip my boobs off and that I could be reborn as a guy, but then there's days where I am unphased. The worst days were when my last set of antidepressants weren't working and were making me have the most horrific hallucinations and hearing voices. Hallucinations of me just imagining I am cutting down my chest and stuff, shaving my head and all. Hearing voices that I am not the right person, etc. But fortunately now I am on better medication and I am in a better headspace.
Gender dysphoria is something that is constantly in the back of my head, I wanted to share this to give clarity on myself. As lockdown has given me a lot to think about and as I wanted to be more open about myself.
I have considered transitioning, however that is something I have decided not to go through with it. I was wondering if anyone else has experienced this?","#leedsfess22824
CW: Gender Dysphoria and Mental Health
I wanted to share something which to be honest has been on my mind for a few years now and have recently come to terms with this, also with what may contribute to my mental health struggles. As I was unsure what it was. Some of you may have an idea, some may not.
But basically, I'm essentially not comfortable with my body. Not just because of my figure, but because of my gender. I essentially feel like I am trapped in the wrong body. I present myself as very masculine, but mentally in my head I feel like I am masculine also. The only feminine aspect of me is basically my boobs and vagina.
I came more into terms with this when I was doing my dissertation back in 2018, with Judith Butler's theories on gender performance and psychology.
I have days where I just want to rip my boobs off and that I could be reborn as a guy, but then there's days where I am unphased. The worst days were when my last set of antidepressants weren't working and were making me have the most horrific hallucinations and hearing voices. Hallucinations of me just imagining I am cutting down my chest and stuff, shaving my head and all. Hearing voices that I am not the right person, etc. But fortunately now I am on better medication and I am in a better headspace.
Gender dysphoria is something that is constantly in the back of my head, I wanted to share this to give clarity on myself. As lockdown has given me a lot to think about and as I wanted to be more open about myself.
I have considered transitioning, however that is something I have decided not to go through with it. I was wondering if anyone else has experienced this?",,1595709366,,,29,3,0,https://m.facebook.com/story.php?story_fbid=634445570508979&id=279761922644014,
634407430512793,"#leedsfess22823
Maybe I'd have more luck on tinder if I didn't immediately ghost anyone who doesn't get the ""chance would be a fine thing"" reference","#leedsfess22823
Maybe I'd have more luck on tinder if I didn't immediately ghost anyone who doesn't get the ""chance would be a fine thing"" reference",,1595703726,,,98,18,0,https://m.facebook.com/story.php?story_fbid=634407430512793&id=279761922644014,
634368047183398,"#leedsfess22822
I miss going on dates in my early teens with girls to Five Guys just for the refillable drinks and peanuts","#leedsfess22822
I miss going on dates in my early teens with girls to Five Guys just for the refillable drinks and peanuts",,1595698084,,,15,6,0,https://m.facebook.com/story.php?story_fbid=634368047183398&id=279761922644014,
634317557188447,"#leedsfess22821
You know who is an unsung hero of Hyde Park? The guy at 24hr Sainsbury’s. I would see him in Fruity Friday at 4am and then see him slowly walk past my house in his work clobber at 7am. Once I went in to buy booze for afters and he gave me a look that said “I want to crawl into a hole and die”. Oh how I sympathised for you son. He would serve me late Tuesday night and then I’d see him in Hifi at midnight! And this all happened a good few times. I did wonder if you were ok. But, I mean, what a guy!","#leedsfess22821
You know who is an unsung hero of Hyde Park? The guy at 24hr Sainsbury’s. I would see him in Fruity Friday at 4am and then see him slowly walk past my house in his work clobber at 7am. Once I went in to buy booze for afters and he gave me a look that said “I want to crawl into a hole and die”. Oh how I sympathised for you son. He would serve me late Tuesday night and then I’d see him in Hifi at midnight! And this all happened a good few times. I did wonder if you were ok. But, I mean, what a guy!",,1595692450,,,313,1,0,https://m.facebook.com/story.php?story_fbid=634317557188447&id=279761922644014,
634261223860747,"#leedsfess22820
I'm sick of getting shit for being a ""student landlord"". Please bear with while I explain why.
I get that most students have a really shit experience with landlords in general, hell, I did in first year and that was halls! But I've worked damn hard to get where I am and I'll not have some people tell me otherwise.
I started work at 14, I worked 12-20 hours a week while doing GCSEs and at least 18 while doing A Levels. I saved every goddamn penny. I was a free school meals kid all my life, I didn't get to go on all the school trips or days out with my mates and more often than not I didn't ask, I knew my mum couldn't afford it (especially as I was the eldest of 3 kids).
So when I hit 16 and started thinking about University, I hated the idea of paying rent, money that I'd worked so hard for felt almost wasted. So I decided to save for a house deposit. Now don't get me wrong, I was looking at shit houses pretty far away from uni (I'd always had my heart set on Leeds) but my mum started saving what she could, on the condition that I would pay her back when I could afford it so I could live somewhere half decent and closer to uni.
Between us, I managed to buy a house near the end of 1st year and got my mates moved in pretty quickly after. They got a lower rent, and I knew that my mortgage and bills were covered, so my ""rent"" every month of second year paid my mum back.
I worked 3 jobs alongside a full time degree, but I saved my entire student loan (and given my mum is a single parent household I qualified for the higher amount) which almost paid her back in full.
Now I'm going into third year, I've paid my mum back in full, my friends/tenants are all happy and if they have any issues I'm there instantly. When COVID fucks off I'll still be working 3 jobs in my final year but it's not easy maintaining a house. I've spent a lot on this house, all out of my own pocket, but to come from the poverty line to where I am now? I'm fucking proud of myself. So when you start having a go or lack sympathy for someone, anyone, take a second and realise you don't know their story.
Whether you're BAME, LGBTQ+, economically disadvantaged, struggling mentally, disabled, or just human in some way shape or form, please know that your story matters. People will give you shit because they think they're better than you, or because they think you're better off than them, but fuck 'em. I for one have had enough of people giving me shit when they don't know me or my situation.
I'm fucking proud to be a student landlord. It was not an easy task. Many fucks to you if you try to tell me otherwise.","#leedsfess22820
I'm sick of getting shit for being a ""student landlord"". Please bear with while I explain why.
I get that most students have a really shit experience with landlords in general, hell, I did in first year and that was halls! But I've worked damn hard to get where I am and I'll not have some people tell me otherwise.
I started work at 14, I worked 12-20 hours a week while doing GCSEs and at least 18 while doing A Levels. I saved every goddamn penny. I was a free school meals kid all my life, I didn't get to go on all the school trips or days out with my mates and more often than not I didn't ask, I knew my mum couldn't afford it (especially as I was the eldest of 3 kids).
So when I hit 16 and started thinking about University, I hated the idea of paying rent, money that I'd worked so hard for felt almost wasted. So I decided to save for a house deposit. Now don't get me wrong, I was looking at shit houses pretty far away from uni (I'd always had my heart set on Leeds) but my mum started saving what she could, on the condition that I would pay her back when I could afford it so I could live somewhere half decent and closer to uni.
Between us, I managed to buy a house near the end of 1st year and got my mates moved in pretty quickly after. They got a lower rent, and I knew that my mortgage and bills were covered, so my ""rent"" every month of second year paid my mum back.
I worked 3 jobs alongside a full time degree, but I saved my entire student loan (and given my mum is a single parent household I qualified for the higher amount) which almost paid her back in full.
Now I'm going into third year, I've paid my mum back in full, my friends/tenants are all happy and if they have any issues I'm there instantly. When COVID fucks off I'll still be working 3 jobs in my final year but it's not easy maintaining a house. I've spent a lot on this house, all out of my own pocket, but to come from the poverty line to where I am now? I'm fucking proud of myself. So when you start having a go or lack sympathy for someone, anyone, take a second and realise you don't know their story.
Whether you're BAME, LGBTQ+, economically disadvantaged, struggling mentally, disabled, or just human in some way shape or form, please know that your story matters. People will give you shit because they think they're better than you, or because they think you're better off than them, but fuck 'em. I for one have had enough of people giving me shit when they don't know me or my situation.
I'm fucking proud to be a student landlord. It was not an easy task. Many fucks to you if you try to tell me otherwise.",,1595686870,,,281,79,0,https://m.facebook.com/story.php?story_fbid=634261223860747&id=279761922644014,
634213307198872,"#leedsfess22819
Ok so let’s clear something up...
Gender is how you feel.
Sex is your biology.
There’s a difference, learn it.","#leedsfess22819
Ok so let’s clear something up...
Gender is how you feel.
Sex is your biology.
There’s a difference, learn it.",,1595681225,,,223,8,0,https://m.facebook.com/story.php?story_fbid=634213307198872&id=279761922644014,
