post_id,total_reactions,top_reactions
279835245970015,80,"Like,Love,Angry"
634780473808822,44,"Like,Love"
634738117146391,96,"Like,Love,Care"
634702063816663,218,"Like,Love"
634445570508979,59,"Like,Care,Love"
634407430512793,132,"Like,Haha,Love"
634368047183398,21,"Like,Haha"
634317557188447,353,"Like,Haha,Love"
634261223860747,417,"Like,Haha,Love"
634213307198872,265,"Like,Love,Haha"
634153103871559,258,"Like,Love,Care"
634107030542833,404,"Like,Care,Love"
634073347212868,183,"Like,Haha"
633807160572820,116,"Like,Haha,Love"
633769957243207,283,"Like,Love,Sad"
633725310581005,41,"Like,Haha,Sad"
633681487252054,174,"Like,Haha,Love"
633636407256562,278,"Like,Love,Haha"
633616977258505,427,"Like,Love,Angry"
633574870596049,276,"Like,Love,Sad"
633536787266524,388,"Haha,Like,Love"
633501860603350,309,"Like,Haha,Love"
633470477273155,97,"Like,Haha,Love"
633204943966375,33,"Like,Care,Love"
633168917303311,188,"Like,Care,Sad"
633131667307036,635,"Like,Love,Care"
633092543977615,68,"Like,Haha,Love"
633052323981637,578,"Like,Haha,Love"
633010877319115,818,"Like,Haha,Sad"
632968400656696,487,"Like,Love,Haha"
632932703993599,448,"Like,Angry,Sad"
632868757333327,133,"Like,Haha,Sad"
632838834002986,131,"Like,Haha,Love"
632572820696254,243,"Like,Love,Haha"
632537357366467,217,"Like,Love,Care"
632498667370336,185,"Like,Love,Sad"
632460700707466,87,"Like,Care,Love"
632419017378301,340,"Like,Love,Care"
632393534047516,139,"Like,Haha,Sad"
632352257384977,485,"Like,Haha,Love"
632313724055497,205,"Sad,Care,Like"
632281627392040,212,"Like,Haha,Angry"
631971097423093,277,"Like,Love,Wow"
631940604092809,127,"Like,Haha,Sad"
631908210762715,507,"Like,Love,Care"
631874317432771,212,"Like,Haha,Love"
631837430769793,35,"Like,Care,Love"
631796710773865,69,"Like,Haha,Love"
631758430777693,60,"Like,Sad,Love"
631720987448104,292,"Like,Love,Haha"
631686370784899,496,"Like,Love,Care"
631655520787984,784,"Like,Care,Love"
631628124124057,309,"Like,Angry,Love"
631365490816987,200,"Like,Haha"
631327464154123,120,"Like,Love,Care"
631293440824192,538,"Like,Love,Haha"
631255720827964,276,"Like,Love,Haha"
631214024165467,138,"Like,Care,Love"
631170337503169,146,"Like,Haha,Sad"
631127970840739,511,"Like,Love,Haha"
631082680845268,353,"Like,Love,Haha"
631047900848746,136,"Like,Haha,Love"
631015947518608,1K,"Like,Love,Haha"
630743900879146,943,"Like,Angry,Sad"
630707614216108,140,"Like,Sad,Wow"
630664917553711,506,"Like,Haha,Love"
630619390891597,279,"Like,Haha,Love"
630572034229666,281,"Like,Haha,Love"
630524914234378,143,"Like,Haha"
630486890904847,533,"Like,Love,Haha"
630453597574843,217,"Like,Love,Care"
630421834244686,76,"Like,Care,Sad"
630161794270690,91,"Like,Haha,Love"
630119920941544,6,Like
630075300946006,172,"Like,Haha"
630023520951184,43,"Like,Sad,Care"
629975284289341,400,"Like,Angry,Love"
629971027623100,71,"Like,Care,Love"
629957197624483,305,"Like,Love,Haha"
629951510958385,707,"Like,Haha,Love"
629907994296070,247,"Like,Care,Sad"
629868017633401,134,"Like,Love,Care"
629833837636819,135,"Like,Haha,Love"
629801944306675,1.4K,"Like,Haha,Love"
629541544332715,297,"Like,Wow,Love"
629490954337774,209,"Like,Haha,Love"
629443311009205,159,"Like,Haha,Wow"
629393411014195,96,"Like,Haha,Wow"
629349361018600,312,"Like,Love,Care"
629302681023268,212,"Like,Love,Care"
629235464363323,108,"Like,Love"
629195527700650,390,"Like,Haha,Sad"
629161511037385,95,"Like,Haha"
629130484373821,65,"Like,Sad,Love"
628852994401570,199,"Like,Love,Haha"
628803861073150,600,"Like,Love,Haha"
628757514411118,75,"Like,Haha,Love"
628717954415074,758,"Like,Haha,Love"
628689064417963,129,"Like,Care,Sad"
628643874422482,207,"Like,Love,Haha"
628599404426929,789,"Like,Love,Care"
628558857764317,391,"Sad,Like,Haha"
628523851101151,135,"Like,Haha,Care"
628490157771187,262,"Like,Love,Care"
628455091108027,327,"Like,Haha,Love"
628189764467893,307,"Like,Haha,Love"
628151837805019,129,"Like,Haha,Love"
628110061142530,143,"Like,Haha,Love"
628067017813501,413,"Like,Love,Care"
628021174484752,125,"Like,Haha,Sad"
627977221155814,547,"Like,Haha,Love"
627939791159557,178,"Like,Haha,Love"
627906864496183,274,"Like,Haha,Sad"
627871711166365,233,"Like,Sad,Haha"
627606894526180,210,"Like,Haha,Love"
627573454529524,1,Like
627536104533259,117,"Like,Care,Love"
627496524537217,454,"Like,Haha,Love"
627455517874651,820,"Like,Haha,Love"
627411524545717,132,"Like,Haha,Wow"
627370964549773,88,"Care,Like,Sad"
627333054553564,279,"Like,Haha,Sad"
627309607889242,159,"Like,Love,Care"
627275827892620,182,"Like,Love,Care"
627243374562532,434,"Like,Haha,Love"
626943577925845,247,"Like,Haha,Love"
626905724596297,83,"Like,Haha,Love"
626862237933979,180,"Like,Wow,Angry"
626820631271473,254,"Like,Sad,Care"
626776664609203,331,"Like,Haha,Love"
626733241280212,205,"Like,Sad,Angry"
626694334617436,180,"Like,Haha,Sad"
626656484621221,39,"Like,Haha"
626623871291149,288,"Like,Haha,Love"
626357747984428,439,"Like,Haha,Love"
626316394655230,233,"Like,Sad,Angry"
626269634659906,24,"Like,Haha"
626265797993623,613,"Like,Haha,Sad"
626169681336568,74,"Like,Haha,Love"
626124198007783,52,"Like,Care"
626081748012028,1K,"Like,Care,Love"
626045048015698,602,"Like,Love,Care"
626014618018741,211,"Like,Love,Care"
625761031377433,233,"Like,Love,Care"
625723791381157,226,"Care,Like,Sad"
625683621385174,290,"Like,Haha,Sad"
625642574722612,429,"Like,Haha,Love"
625599228060280,100,"Like,Love,Haha"
625556384731231,112,"Like,Sad,Care"
625512438068959,166,"Like,Love,Haha"
625473941406142,343,"Like,Care,Sad"
625441198076083,78,"Like,Haha,Sad"
625197174767152,152,"Like,Haha,Love"
625165444770325,146,"Like,Love,Sad"
625090308111172,136,"Like,Love,Haha"
625048648115338,54,"Like,Love"
625007948119408,100,"Like,Haha,Love"
624970474789822,121,"Like,Haha,Love"
624935011460035,38,"Like,Haha"
624903511463185,143,"Like,Haha,Love"
624874311466105,248,"Angry,Like,Haha"
624627574824112,267,"Like,Haha,Love"
624596294827240,119,"Like,Haha,Love"
624563924830477,400,"Like,Haha,Love"
624521681501368,97,"Like,Sad,Care"
624476208172582,601,"Like,Haha,Love"
624436784843191,125,"Like,Love,Haha"
624395818180621,152,"Like,Haha,Love"
624360931517443,625,"Like,Haha,Angry"
624328181520718,335,"Like,Haha,Love"
624297658190437,219,"Like,Care,Love"
624269924859877,51,Like
624026018217601,130,"Like,Haha,Love"
623990061554530,75,"Like,Haha,Care"
623954864891383,320,"Like,Haha,Love"
623878734898996,86,"Care,Like,Sad"
623827121570824,87,"Like,Sad,Love"
623785014908368,206,"Like,Haha,Care"
623776931575843,267,"Like,Love,Care"
623738791579657,1.3K,"Like,Haha,Love"
623703438249859,193,"Like,Haha,Sad"
623415208278682,393,"Like,Haha,Love"
623341088286094,211,"Like,Love,Haha"
623308668289336,632,"Like,Love,Haha"
623273834959486,113,"Like,Haha,Love"
623237154963154,143,"Like,Love,Haha"
623199041633632,404,"Like,Angry,Haha"
623161088304094,26,"Like,Care,Love"
623126491640887,45,"Like,Haha,Wow"
623095158310687,89,"Like,Haha,Love"
623065834980286,188,"Like,Haha,Care"
623039041649632,198,"Like,Haha,Love"
622769091676627,41,"Like,Sad,Angry"
622737635013106,283,"Like,Haha,Love"
622702318349971,71,"Like,Haha,Love"
622665718353631,470,"Like,Haha,Love"
622627701690766,1.1K,"Like,Haha,Love"
622587565028113,66,"Like,Love,Care"
622552471698289,436,"Like,Haha,Love"
622521488368054,18,"Like,Haha,Sad"
622493531704183,148,"Like,Sad,Care"
622467701706766,375,"Like,Haha,Care"
622233335063536,44,"Like,Love,Care"
622202871733249,318,"Like,Love,Haha"
622151605071709,249,"Like,Sad,Angry"
622097858410417,43,Like
622097098410493,166,"Like,Haha,Love"
622057191747817,364,"Like,Love,Haha"
622013798418823,141,"Like,Haha,Love"
621972425089627,517,"Like,Love,Care"
621938558426347,273,"Like,Care,Sad"
621908448429358,721,"Like,Love,Care"
621879985098871,216,"Like,Love,Haha"
621612598458943,401,"Like,Love,Haha"
621549451798591,407,"Like,Love,Haha"
621513131802223,245,"Like,Love,Sad"
621433785143491,192,"Like,Haha,Sad"
621378455149024,221,"Like,Sad,Care"
621332741820262,233,"Like,Angry,Sad"
621300645156805,750,"Like,Haha,Love"
621267898493413,125,"Like,Haha,Wow"
621025625184307,93,"Like,Care,Sad"
620990755187794,471,"Like,Sad,Angry"
620954735191396,47,"Like,Haha"
620912218528981,207,"Like,Sad,Haha"
620867425200127,46,Like
620823405204529,360,"Like,Love,Care"
