post_id,total_reactions,top_reactions
3403119563039646,79,"Haha,Like,Wow"
3403118506373085,321,"Like,Haha,Care"
3403116983039904,544,"Like,Sad,Angry"
3403116033039999,304,"Haha,Like,Wow"
3403115063040096,368,"Like,Sad,Love"
3403112789706990,302,"Like,Haha,Sad"
3403111766373759,351,"Haha,Like,Sad"
3379710888713847,83,"Like,Haha,Love"
3379710015380601,224,"Like,Wow,Haha"
3379708392047430,372,"Like,Haha,Sad"
3379707785380824,177,"Sad,Like,Care"
3379706792047590,152,"Like,Haha,Love"
3379705905381012,41,"Like,Love,Haha"
3379702145381388,1.1K,"Like,Sad,Love"
3379701082048161,819,"Like,Haha,Love"
3379699712048298,381,"Like,Haha,Wow"
3379698298715106,459,"Like,Haha,Wow"
3379696052048664,496,"Like,Sad,Angry"
3379692902048979,367,"Like,Haha,Love"
3379691692049100,196,"Like,Sad,Wow"
3363165100368426,740,"Haha,Like,Sad"
,0,
3360489530635983,232,"Like,Care,Love"
3360487453969524,139,"Sad,Like,Haha"
3360485060636430,66,"Like,Sad,Wow"
3359938010691135,104,"Like,Haha,Sad"
3359936700691266,189,"Like,Haha,Sad"
3359936114024658,269,"Like,Haha,Wow"
3359935394024730,645,"Sad,Like,Angry"
3359934467358156,242,"Like,Sad,Haha"
3359932744024995,231,"Like,Sad,Haha"
3340406625977607,182,"Like,Haha,Wow"
3340404519311151,329,"Like,Sad,Angry"
3340402802644656,137,"Like,Sad,Wow"
3340400542644882,143,"Like,Haha,Love"
3340397235978546,770,"Like,Love,Care"
3340395312645405,256,"Like,Sad,Haha"
3340393502645586,589,"Sad,Angry,Like"
3340388149312788,420,"Angry,Like,Wow"
3340385759313027,551,"Like,Haha,Love"
3321369207881349,226,"Sad,Like,Care"
3321367374548199,179,"Like,Haha,Care"
3321366187881651,186,"Like,Haha,Care"
3321364844548452,344,"Haha,Like,Sad"
3321362561215347,514,"Angry,Like,Wow"
3321360694548867,223,"Like,Haha,Sad"
3321353714549565,269,"Sad,Like,Wow"
3321352477883022,344,"Like,Love,Care"
3321351167883153,26,"Like,Love"
3321344341217169,346,"Like,Care,Sad"
3301647773186826,201,"Like,Care,Sad"
3301645886520348,416,"Like,Angry,Wow"
3301645379853732,286,"Like,Love,Wow"
3301644769853793,126,"Like,Haha,Love"
3301644269853843,288,"Like,Sad,Care"
3301643653187238,446,"Like,Haha,Love"
3301643016520635,230,"Like,Care,Love"
3301642299854040,168,"Like,Sad,Angry"
3301640566520880,636,"Like,Love,Care"
3301639626520974,333,"Like,Care,Love"
3301635703188033,1.6K,"Like,Care,Love"
3283015888383348,236,"Like,Sad,Care"
3283008545050749,34,"Like,Haha,Love"
3283007545050849,189,"Like,Wow,Love"
3283005645051039,1K,"Like,Haha,Care"
3283003921717878,380,"Like,Haha,Wow"
3283003058384631,142,"Like,Haha,Love"
3283009991717271,335,"Like,Love,Care"
3283002058384731,307,"Like,Care,Sad"
3266219786729625,259,"Like,Angry,Wow"
3266218696729734,370,"Like,Sad,Care"
3266217203396550,259,"Like,Haha,Love"
3266215663396704,155,"Like,Haha,Sad"
3266214516730152,355,"Like,Haha,Wow"
3266213000063637,412,"Like,Care,Love"
3266211936730410,124,"Like,Sad,Love"
3266210800063857,361,"Like,Haha,Sad"
3266209893397281,180,"Like,Haha,Wow"
3266208556730748,160,"Like,Sad,Haha"
3247299735288297,1K,"Like,Haha,Love"
3247299035288367,165,"Like,Care,Love"
3247296955288575,321,"Like,Sad,Wow"
3247295878622016,276,"Like,Sad,Wow"
3247294398622164,334,"Like,Haha,Care"
3247290748622529,200,"Like,Haha,Care"
3247289718622632,165,"Like,Haha,Love"
3247288685289402,431,"Like,Haha,Wow"
3247287908622813,231,"Like,Haha,Care"
3247287061956231,542,"Like,Sad,Care"
3247286255289645,273,"Like,Sad,Care"
3229974860354118,211,"Like,Haha,Love"
3229973247020946,71,"Like,Haha,Love"
3229970210354583,442,"Like,Sad,Angry"
3229965377021733,246,"Like,Sad,Care"
3229962477022023,357,"Like,Love,Haha"
3229961453688792,586,"Like,Sad,Haha"
3229960287022242,117,"Like,Haha,Wow"
3229957717022499,349,"Like,Haha,Care"
3229956487022622,387,"Like,Haha,Love"
3229950037023267,307,"Like,Care,Sad"
3229933327024938,972,"Like,Love,Care"
3229932557025015,843,"Like,Haha,Wow"
3229931763691761,266,"Like,Sad,Angry"
3229930860358518,1.5K,"Like,Love,Care"
3210417702309834,457,"Like,Sad,Care"
3210417038976567,272,"Like,Wow,Sad"
3210416272309977,470,"Like,Haha,Care"
3210415635643374,251,"Like,Sad,Wow"
3210414865643451,248,"Like,Haha,Care"
3210414098976861,159,"Like,Sad,Angry"
3210413378976933,341,"Like,Care,Sad"
3210412682310336,524,"Like,Haha,Care"
3210412082310396,283,"Like,Sad,Angry"
3210410518977219,113,"Like,Haha,Wow"
3210409778977293,73,"Like,Haha"
3197985076886430,435,"Like,Sad,Care"
3197984133553191,261,"Like,Sad,Care"
3197983043553300,255,"Like,Haha,Love"
3197982033553401,100,"Like,Haha,Wow"
3160366357314969,262,"Like,Haha,Wow"
3197979200220351,94,"Like,Haha,Care"
3197977740220497,548,"Like,Haha,Love"
3179418502076421,315,"Like,Sad,Angry"
3179417705409834,244,"Like,Haha,Care"
3179416355409969,229,"Like,Haha,Wow"
3179419848742953,92,"Like,Haha,Wow"
3179415408743397,645,"Like,Sad,Wow"
3179414232076848,299,"Like,Sad,Angry"
3179421252076146,97,"Like,Love,Haha"
3179413332076938,54,"Like,Haha,Care"
3179411748743763,188,"Like,Sad,Angry"
3179410832077188,655,"Sad,Like,Haha"
3179408362077435,331,"Sad,Like,Angry"
3160359383982333,236,"Like,Haha,Sad"
3160358573982414,294,"Like,Love,Sad"
3160357837315821,463,"Like,Haha,Sad"
3160357333982538,78,"Like,Haha,Love"
3160356837315921,284,"Like,Love,Angry"
3160356407315964,434,"Like,Haha,Love"
3160355963982675,62,"Like,Haha,Sad"
3160353980649540,1.7K,"Like,Love,Sad"
3160353493982922,343,"Like,Haha,Love"
3160352360649702,318,"Like,Haha,Sad"
3160349537316651,50,"Like,Haha,Sad"
3160348977316707,96,"Like,Haha,Wow"
3160347863983485,550,"Like,Love"
3160347453983526,517,"Like,Haha,Sad"
3160347063983565,466,"Like,Love,Wow"
3160346543983617,252,"Haha,Like,Wow"
3160346040650334,155,"Like,Haha,Wow"
3160344157317189,162,"Like,Sad,Love"
3160343570650581,246,"Like,Love,Haha"
3160343063983965,222,"Like,Sad,Angry"
3160342330650705,109,"Like,Haha,Sad"
3160340987317506,301,"Like,Haha,Love"
3143718002313138,318,"Like,Haha,Love"
3143714568980148,147,"Like,Haha,Wow"
3143713715646900,462,"Like,Sad,Angry"
3143711825647089,200,"Like,Haha,Sad"
3143710218980583,575,"Like,Love,Sad"
3143717338979871,324,"Like,Sad,Love"
3143708655647406,89,"Like,Haha,Love"
3143707882314150,238,"Like,Sad,Haha"
3143706148980990,229,"Like,Haha,Love"
3143702942314644,355,"Like,Sad,Love"
3143716518979953,508,"Like,Love,Sad"
3143701468981458,551,"Like,Haha,Wow"
3143699655648306,1.4K,"Like,Sad,Love"
3125191417499130,309,"Like,Haha,Wow"
3125190477499224,244,"Haha,Like,Love"
3125189660832639,121,"Like,Sad,Love"
3125188644166074,488,"Like,Sad,Love"
3125187650832840,204,"Like,Haha,Wow"
3125186750832930,88,"Like,Haha,Sad"
3125186024166336,337,"Like,Haha,Sad"
3125184927499779,97,"Like,Wow,Haha"
3125184090833196,382,"Like,Sad,Haha"
3125182204166718,561,"Like,Sad,Haha"
3109356755749263,333,"Like,Sad,Love"
3109356072415998,191,"Like,Sad,Haha"
3109354612416144,131,"Like,Haha,Wow"
3109353042416301,511,"Like,Love"
3109351529083119,160,"Like,Haha,Wow"
3118959358122336,171,"Like,Love,Haha"
3118956531455952,146,"Like,Love,Haha"
3109350242416581,49,"Like,Haha,Love"
3109349475749991,73,"Like,Haha,Angry"
3116647355020203,686,"Like,Haha,Love"
3116525798365692,424,"Like,Haha,Love"
3116525281699077,1.6K,"Haha,Like,Sad"
3109348792416726,102,"Like,Love,Sad"
3109347585750180,391,"Like,Haha,Love"
3109346972416908,274,"Like,Haha,Love"
3109346152416990,678,"Like,Haha,Sad"
3106281336056805,124,"Like,Wow,Haha"
3095208777164061,471,"Like,Haha,Wow"
3095208123830793,325,"Like,Haha,Love"
3095207153830890,723,"Like,Sad,Haha"
3095206147164324,202,"Like,Sad,Wow"
3095205613831044,586,"Like,Love,Sad"
3095204963831109,118,"Like,Sad,Love"
3095204407164498,487,"Like,Haha,Sad"
3095203577164581,1K,"Like,Love"
3095202880497984,1K,"Like,Love,Angry"
3095202267164712,124,"Like,Haha,Sad"
3095201507164788,230,"Like,Love,Wow"
3095200747164864,102,"Like,Haha,Love"
3095200077164931,425,"Like,Haha,Sad"
3095198893831716,1.7K,"Like,Sad,Love"
3095198367165102,530,"Like,Sad,Love"
3095195613832044,575,"Like,Love,Haha"
3080597798625159,369,"Like,Haha,Love"
3080596385291967,324,"Like,Haha,Love"
3080595208625418,249,"Like,Haha,Sad"
3080593995292206,764,"Sad,Like,Love"
3080585481959724,134,"Like,Love,Haha"
3080583275293278,177,"Like,Haha,Sad"
3080582571960015,379,"Like,Wow,Sad"
3080581158626823,219,"Like,Love,Haha"
3080580058626933,55,"Like,Haha,Wow"
3080578788627060,925,"Angry,Like,Sad"
3080587228626216,317,"Like,Wow,Angry"
3080576805293925,94,"Like,Haha"
3080575828627356,265,"Like,Angry,Sad"
3080574395294166,269,"Like,Angry,Haha"
3080958815255724,111,"Like,Sad,Wow"
3076594252358847,62,"Like,Wow,Haha"
3076593452358927,62,"Like,Haha,Love"
3076592572359015,263,"Like,Haha,Love"
3076589152359357,740,"Like,Haha,Love"
3076538749031064,819,"Like,Haha,Love"
3070230352995237,424,"Like,Haha,Sad"
3070229856328620,894,"Like,Haha,Sad"
3070228802995392,56,"Like,Sad,Haha"
3070228306328775,111,"Haha,Like,Wow"
3070227712995501,281,"Like,Haha,Love"
3070227112995561,419,"Like,Haha,Sad"
3070226606328945,414,"Like,Haha,Love"
3063644176987188,225,"Like,Haha,Wow"
3063643383653934,588,"Like,Love,Wow"
3063642340320705,155,"Like,Love,Sad"
3063640826987523,269,"Like,Wow,Sad"
3063640090320930,143,"Like,Love,Wow"
3063639223654350,81,"Like,Haha,Sad"
3063638466987759,500,"Like,Haha,Love"
3063637790321160,102,"Like,Haha,Love"
3063636363654636,522,"Like,Haha,Sad"
3048045105213762,278,"Like,Haha,Sad"
3048044175213855,120,"Like,Haha,Wow"
3048043521880587,540,"Like,Haha,Sad"
3048042681880671,440,"Like,Haha,Wow"
3048041641880775,124,"Like,Haha,Wow"
3056365381048401,22,"Like,Haha"
3048040331880906,644,"Sad,Like,Haha"
3048039428547663,124,"Like,Wow,Sad"
3048038395214433,128,"Like,Haha,Sad"
3048037378547868,46,"Like,Sad,Haha"
3048036401881299,533,"Like,Love,Haha"
3048035141881425,195,"Like,Haha,Sad"
3048033468548259,181,"Like,Wow,Love"
3048032175215055,373,"Like,Sad,Haha"
3048030838548522,174,"Like,Love,Wow"
3048029968548609,767,"Like,Sad,Angry"
3048028945215378,1.1K,"Like,Haha,Love"
3048087025209570,496,"Like,Angry,Sad"
3048027345215538,754,"Haha,Like,Wow"
3048026501882289,231,"Like,Haha,Wow"
3048025298549076,641,"Like,Sad,Angry"
3048023908549215,134,"Like,Haha,Love"
3031413110210295,518,"Like,Haha,Love"
3031406053544334,791,"Like,Love"
3031405683544371,126,"Like,Sad,Wow"
3031405336877739,98,"Like,Haha,Wow"
3031405096877763,461,"Like,Haha,Angry"
3031404780211128,134,"Like,Sad,Haha"
3031404413544498,166,"Like,Love,Wow"
3031403466877926,610,"Like,Haha,Love"
3031403060211300,615,"Like,Haha,Wow"
3031402343544705,321,"Like,Angry,Sad"
3031399360211670,205,"Like,Haha,Wow"
3031398150211791,489,"Like,Haha,Wow"
3031392663545673,1K,"Like,Haha,Wow"
3031392346879038,170,"Like,Haha,Love"
3031391870212419,323,"Haha,Like,Wow"
3031391596879113,193,"Like,Haha,Wow"
3031391170212489,142,"Like,Sad,Angry"
3031389236879349,184,"Like,Haha,Wow"
3016791628339110,354,"Like,Love,Sad"
3016790721672534,320,"Like,Haha,Love"
3016789521672654,102,"Like,Sad,Haha"
3016788015006138,316,"Like,Haha,Wow"
3016786798339593,440,"Like,Haha,Sad"
3016785868339686,110,"Like,Sad,Angry"
3016785391673067,126,"Like,Wow,Sad"
3016784958339777,70,"Like,Haha,Sad"
3016784315006508,275,"Like,Haha,Sad"
3016783701673236,1K,"Like,Haha,Sad"
3016782188340054,767,"Like,Haha,Love"
3016780928340180,72,"Like,Love,Haha"
3016780278340245,174,"Like,Haha,Wow"
3016778791673727,129,"Like,Haha,Wow"
3016778248340448,177,"Like,Sad,Love"
3016777561673850,99,"Like,Haha,Wow"
3016776898340583,365,"Like,Haha,Love"
3016776328340640,434,"Like,Haha,Sad"
3016775691674037,116,"Like,Haha,Wow"
3001169136568026,79,"Like,Sad,Wow"
3001168676568072,357,"Like,Haha,Wow"
3001167506568189,210,"Like,Haha,Love"
3001166946568245,269,"Haha,Like,Wow"
3001166323234974,129,"Like,Sad,Haha"
3001165646568375,436,"Like,Haha,Sad"
3001165193235087,156,"Like,Sad,Love"
3001164576568482,860,"Like,Angry,Wow"
3001163903235216,270,"Like,Haha,Love"
2992382714113335,320,"Like,Haha,Sad"
2992382027446737,227,"Like,Haha,Wow"
2992381260780147,221,"Like,Haha,Wow"
2992380127446927,539,"Like,Sad,Love"
2992378967447043,399,"Like,Haha,Love"
2992377454113861,581,"Like,Haha,Wow"
2992376487447291,403,"Like,Haha,Wow"
2992375424114064,278,"Like,Haha,Love"
2992374614114145,821,"Like,Haha,Love"
2992373977447542,408,"Like,Haha,Wow"
2992373467447593,315,"Like,Haha,Sad"
2986246101393663,98,"Like,Haha,Love"
2986243518060588,283,"Like,Love,Haha"
2986215208063419,342,"Like,Haha,Sad"
2986214728063467,322,"Like,Haha,Wow"
2995176337167306,5,Like
2986213884730218,1.1K,"Like,Sad,Angry"
2986213098063630,580,"Like,Haha,Love"
2986212258063714,103,"Like,Angry,Sad"
2986211578063782,765,"Like,Haha,Wow"
2986210734730533,875,"Like,Haha,Wow"
2986210041397269,470,"Like,Angry,Sad"
2986209351397338,634,"Like,Sad,Haha"
2986208791397394,462,"Haha,Like,Wow"
2990305574321049,923,"Like,Haha,Sad"
2986207938064146,1K,"Like,Haha,Love"
2986206561397617,293,"Like,Wow,Haha"
2986205751397698,108,"Like,Haha,Angry"
2986204648064475,321,"Like,Love,Haha"
2986204094731197,1.3K,"Like,Haha,Love"
2986203214731285,149,"Like,Haha,Wow"
2986202678064672,254,"Like,Haha,Wow"
2986201858064754,376,"Like,Haha,Wow"
2970803102937963,357,"Like,Sad,Haha"
2970802472938026,6.6K,"Like,Haha,Love"
2970801789604761,284,"Like,Haha,Love"
2970801342938139,301,"Like,Haha,Wow"
2970800612938212,111,"Like,Sad,Wow"
2970799472938326,374,"Like,Haha,Love"
2970799102938363,196,"Like,Wow,Sad"
2970798539605086,157,"Like,Angry,Wow"
2970798199605120,151,"Like,Haha,Sad"
2970797629605177,75,"Like,Haha,Sad"
2970797332938540,56,"Like,Haha"
2970796989605241,395,"Like,Haha,Love"
2970795849605355,175,"Like,Sad,Haha"
2958230637528543,542,"Like,Haha,Sad"
2958228097528797,323,"Like,Haha,Sad"
2958227257528881,174,"Like,Love,Wow"
2958226627528944,542,"Like,Haha,Love"
2958225734195700,658,"Like,Sad,Love"
2958224837529123,196,"Sad,Like,Haha"
2958224164195857,58,"Like,Haha"
2958223540862586,482,"Like,Haha,Love"
2958221340862806,95,"Like,Haha,Wow"
2958219990862941,519,"Like,Haha,Wow"
2958219547529652,574,"Like,Haha,Sad"
2958219020863038,321,"Like,Haha,Love"
2958218534196420,139,"Like,Haha,Love"
2958217884196485,471,"Like,Sad,Haha"
2958217294196544,282,"Like,Haha,Sad"
2958216797529927,706,"Like,Haha,Love"
2958215864196687,29,"Like,Haha,Sad"
2958215167530090,142,"Like,Sad,Love"
2958214537530153,145,"Like,Haha,Wow"
2958214050863535,233,"Like,Haha,Angry"
2958213590863581,99,"Like,Haha,Sad"
2958213070863633,623,"Like,Love,Haha"
2958212397530367,512,"Like,Haha,Love"
2958211287530478,152,"Like,Haha,Love"
2958210220863918,264,"Like,Haha,Sad"
2958209634197310,383,"Like,Haha,Wow"
2958209037530703,108,"Like,Haha,Sad"
2958208567530750,93,"Like,Haha,Wow"
2958207784197495,59,"Haha,Like,Sad"
2958207127530894,253,"Like,Haha,Sad"
2958206047531002,303,"Like,Haha,Sad"
2947137848637822,238,"Like,Haha,Sad"
2947082428643364,233,"Like,Haha,Love"
2947081741976766,464,"Like,Haha,Wow"
2947080808643526,199,"Like,Love,Haha"
2947078271977113,59,"Like,Haha"
2947077435310530,340,"Like,Haha,Love"
2947076631977277,349,"Like,Haha,Sad"
2947139408637666,326,"Like,Haha,Sad"
2947075868644020,445,"Like,Haha,Sad"
2947075141977426,299,"Like,Haha,Wow"
2940506855967588,122,"Like,Haha,Sad"
2940506022634338,349,"Like,Haha,Sad"
2940504865967787,358,"Haha,Like,Sad"
2940504039301203,243,"Like,Haha,Love"
2940503409301266,664,"Like,Sad,Love"
2940502165968057,554,"Like,Love,Sad"
2940501259301481,965,"Like,Haha,Love"
2940500152634925,240,"Like,Angry,Haha"
2919480498070224,261,"Like,Wow,Haha"
2919479351403672,158,"Like,Haha,Sad"
2919478378070436,124,"Like,Haha,Love"
2919475291404078,145,"Like,Haha,Wow"
2919473421404265,848,"Like,Haha,Sad"
2919469888071285,168,"Like,Sad,Wow"
2919469048071369,517,"Like,Haha,Love"
2919462121405395,845,"Like,Love,Wow"
2919461388072135,234,"Like,Haha,Sad"
2919460634738877,158,"Like,Haha,Sad"
2919459534738987,240,"Like,Haha,Love"
2919458641405743,64,"Like,Haha,Love"
2919457798072494,806,"Like,Love,Sad"
2919455188072755,92,"Like,Haha,Love"
2919452318073042,412,"Like,Love,Sad"
2919450998073174,300,"Like,Haha,Love"
2919449718073302,232,"Like,Love,Wow"
2919448981406709,296,"Like,Haha,Angry"
2919448344740106,888,"Like,Haha,Sad"
2919447438073530,352,"Like,Haha,Wow"
2919446421406965,54,"Like,Wow,Love"
2919445121407095,608,"Like,Love,Wow"
2919444361407171,540,"Angry,Like,Wow"
2919443564740584,122,"Like,Haha,Wow"
2919463841405223,430,"Like,Wow,Sad"
2919442891407318,502,"Like,Haha,Sad"
2896863733665234,719,"Like,Love,Sad"
2896858306999110,77,"Like,Sad,Love"
2896855200332754,131,"Like,Haha,Love"
2896842223667385,257,"Like,Haha,Wow"
2878559662162308,242,"Sad,Like,Haha"
2878551848829756,458,"Like,Haha,Sad"
2878525322165742,88,"Haha,Like"
2878517725499835,226,"Like,Haha,Wow"
2878514018833539,586,"Like,Haha,Sad"
2878510838833857,460,"Like,Haha,Wow"
2878512645500343,787,"Like,Wow,Sad"
2878499922168282,164,"Like,Haha,Wow"
2878491785502429,292,"Like,Haha,Sad"
2878490218835919,92,"Like,Haha,Sad"
2878489122169362,317,"Like,Haha,Sad"
2862578237093784,337,"Like,Haha,Love"
2862577167093891,436,"Like,Haha,Wow"
2862574013760873,552,"Like,Sad,Haha"
2862520630432878,303,"Haha,Like,Wow"
2862446143773660,208,"Sad,Like,Love"
2862443727107235,412,"Like,Haha,Sad"
2862441170440824,968,"Like,Haha,Sad"
2861705687181039,127,"Like,Haha,Love"
2849546131730328,98,"Like,Haha,Sad"
2849536018398006,453,"Like,Sad,Angry"
2849534208398187,1.1K,"Like,Haha,Sad"
2849509341734007,353,"Like,Haha,Wow"
2849508098400798,28,"Like,Haha,Love"
2849507261734215,220,"Like,Angry,Sad"
2849506481734293,120,"Like,Haha,Love"
2849487615069513,48,"Like,Haha"
2849481591736782,99,"Like,Haha,Love"
2849480101736931,502,"Like,Haha,Wow"
2849479211737020,300,"Like,Haha,Sad"
2845174408834167,303,"Sad,Like,Angry"
2845172138834394,48,"Like,Love,Sad"
2845166145501660,432,"Like,Haha,Love"
2845165222168419,306,"Like,Haha,Sad"
2845164388835169,112,"Angry,Like,Sad"
2812414998776775,323,"Like,Sad,Haha"
2812412872110321,430,"Haha,Like,Sad"
2812401365444805,161,"Like,Sad,Wow"
2812398702111738,326,"Like,Sad,Angry"
2812354038782871,148,"Like,Haha,Wow"
2812352935449648,216,"Haha,Like,Wow"
2812336378784637,194,"Like,Love,Haha"
2812335785451363,201,"Like,Haha,Sad"
2812334065451535,122,"Like,Love,Wow"
2812062372145371,139,"Like,Sad,Angry"
2812059992145609,289,"Like,Haha,Sad"
2812055622146046,405,"Like,Haha,Love"
2812047598813515,270,"Haha,Like,Sad"
2812038042147804,84,"Like,Haha,Love"
2810093745675567,231,"Like,Haha,Wow"
2809476522403956,535,"Like,Haha,Love"
2809468812404727,358,"Like,Love,Haha"
2809466902404918,248,"Like,Haha,Love"
2809463222405286,129,"Like,Sad,Love"
2809453479072927,1.8K,"Sad,Like,Wow"
2795135910504684,254,"Like,Haha,Wow"
2795126560505619,272,"Like,Haha,Wow"
2795125730505702,115,"Like,Haha"
2795122637172678,140,"Like,Love,Haha"
2795121100506165,282,"Like,Sad,Haha"
2795120153839593,232,"Like,Haha,Wow"
2782062451812030,487,"Like,Haha,Love"
2782061945145414,96,"Like,Haha,Love"
2782056521812623,302,"Like,Haha,Wow"
2782055661812709,1.1K,"Like,Love,Haha"
2782055031812772,166,"Like,Sad,Haha"
2782053538479588,428,"Like,Haha,Sad"
2777808685570740,365,"Like,Haha,Sad"
2777807455570863,221,"Like,Haha,Love"
2764798606871748,1.2K,"Like,Love,Haha"
2764797553538520,1.2K,"Like,Haha,Love"
2762847540400188,75,"Like,Haha"
2762841167067492,269,"Like,Haha,Wow"
2762839497067659,239,"Sad,Like,Love"
2762833293734946,141,"Like,Haha,Sad"
2752192758132333,337,"Like,Haha,Sad"
2752190821465860,1.6K,"Like,Haha,Love"
2752184188133190,145,"Like,Haha,Wow"
2752182444800031,173,"Like,Sad,Haha"
2752180551466887,120,"Like,Sad,Haha"
2752179378133671,109,"Like,Sad,Love"
2752539794764296,280,"Haha,Like,Wow"
2747552995262976,163,"Like,Haha,Wow"
2747544485263827,294,"Like,Haha,Sad"
2747543831930559,616,"Like,Haha,Sad"
2747543238597285,178,"Angry,Like,Sad"
2747542115264064,313,"Like,Love,Haha"
2739130102771932,305,"Like,Love,Wow"
2734133709938238,113,"Like,Haha,Wow"
2734133096604966,158,"Like,Haha,Wow"
2734132479938361,335,"Like,Angry,Wow"
2734130046605271,305,"Like,Haha,Love"
2734129519938657,616,"Like,Love,Sad"
2734125549939054,532,"Like,Haha,Sad"
2734124596605816,826,"Like,Haha,Love"
2734123533272589,52,"Like,Sad,Haha"
2734122936605982,93,"Like,Angry,Haha"
2734118646606411,160,"Like,Haha,Sad"
2734117856606490,175,"Like,Haha,Love"
2722056484479294,185,"Like,Haha,Sad"
2722054634479479,228,"Sad,Like,Love"
2722052687813007,628,"Like,Haha,Wow"
2722041244480818,413,"Like,Haha,Love"
2722038527814423,176,"Sad,Like,Love"
2722020394482903,246,"Like,Sad,Haha"
2722018641149745,548,"Like,Haha,Wow"
2722017274483215,359,"Like,Haha,Sad"
2722014427816833,297,"Like,Haha,Wow"
2722013067816969,244,"Like,Haha,Wow"
2722011594483783,783,"Like,Haha,Sad"
2719696228048653,202,"Like,Haha,Love"
2719693768048899,107,"Like,Haha,Wow"
2695867297098213,933,"Like,Haha,Love"
2695856890432587,256,"Like,Haha,Sad"
2691825657502377,393,"Like,Haha,Angry"
2691824950835781,325,"Like,Haha,Wow"
2691824200835856,338,"Like,Sad,Haha"
2691822974169312,27,"Like,Haha"
2691822437502699,82,"Like,Haha,Love"
2691821730836103,452,"Like,Wow,Angry"
2691821087502834,1K,"Like,Haha,Sad"
2691816114169998,304,"Like,Haha,Sad"
2689675567717386,191,"Like,Haha,Sad"
2689674527717490,519,"Like,Haha,Love"
2689672924384317,119,"Like,Sad,Haha"
2689672501051026,277,"Like,Haha,Sad"
2676377632380513,403,"Like,Haha,Love"
2676375342380742,419,"Like,Haha,Sad"
2676372425714367,1.1K,"Like,Haha,Sad"
2676368939048049,847,"Like,Haha,Love"
2676265579058385,340,"Like,Haha,Love"
2676259715725638,558,"Like,Haha,Love"
2670697856281824,235,"Like,Haha,Love"
2670697379615205,1.1K,"Like,Haha,Sad"
2670693392948937,189,"Like,Haha,Love"
2670690132949263,380,"Like,Love,Haha"
