post_id,total_reactions,top_reactions
2884102055050436,143,"Like,Sad,Care"
2833436946783614,235,"Sad,Like,Care"
2819976644796311,338,"Like,Haha,Care"
2799348470192462,21,"Like,Sad"
2780880772039232,173,"Like,Love"
2780879118706064,127,"Like,Haha,Care"
2774658785994764,345,"Like,Haha,Care"
2738670216260288,358,"Like,Haha,Sad"
2723154324478544,1K,"Like,Haha,Love"
2723152511145392,147,"Haha,Like"
2723151221145521,132,"Like,Sad,Haha"
2682698538524123,230,"Like,Haha,Sad"
2669562069837770,73,"Like,Wow,Haha"
2669555063171804,450,"Like,Haha,Love"
2666584986802145,142,"Haha,Like,Sad"
2662882793839031,117,"Like,Sad,Love"
2653145721479405,193,"Like,Haha,Love"
2653143791479598,247,"Like,Haha,Love"
2643699465757364,146,"Like,Haha,Love"
2643009649159679,164,"Like,Haha,Love"
2639939429466701,111,"Like,Haha,Sad"
2632132236914087,299,"Like,Haha,Love"
2632129173581060,261,"Like,Love,Haha"
2625669534227024,713,"Like,Haha,Love"
2625663774227600,91,"Like,Sad,Love"
2598215510305760,178,"Like,Love,Haha"
2598213170305994,62,"Like,Haha,Love"
2589330781194233,123,"Like,Haha,Sad"
2588952104565434,256,"Like,Haha,Love"
2586984041428907,1K,"Like,Haha,Love"
2584512651676046,179,"Like,Haha,Wow"
2578203465640298,822,"Like,Haha,Wow"
2571065903020721,192,"Like,Haha,Sad"
2571065573020754,122,"Like,Sad,Haha"
2571063953020916,1.2K,"Like,Angry,Sad"
2561179394009372,175,"Like,Haha,Love"
2560104300783548,445,"Like,Haha,Wow"
2556951084432203,725,"Like,Haha,Wow"
2555351211258857,645,"Like,Haha,Wow"
2555342807926364,501,"Like,Haha,Sad"
2547199952073983,417,"Like,Wow,Angry"
2543550245772287,131,"Like,Haha,Love"
2543549592439019,182,"Like,Haha,Sad"
2535187139941931,162,"Like,Angry,Wow"
2535053589955286,96,"Like,Haha,Love"
2535044773289501,117,"Sad,Like,Angry"
2535041959956449,83,"Like,Haha,Angry"
2535040706623241,451,"Like,Haha,Love"
2535039773290001,382,"Like,Haha,Wow"
2535037649956880,124,"Like,Haha,Sad"
2411843342276312,302,"Like,Haha,Love"
2409785202482126,636,"Like,Haha,Sad"
2409602252500421,2,Like
2409601945833785,3,Like
2409532182507428,106,"Like,Haha,Wow"
2409530072507639,134,"Like,Haha,Sad"
2405102542950392,255,"Like,Haha,Sad"
2405100882950558,381,"Like,Haha,Love"
2374618449332135,63,"Like,Haha,Wow"
2374547372672576,678,"Like,Love,Haha"
2374544512672862,146,"Like,Haha,Love"
2374542819339698,117,"Like,Haha,Love"
2374541369339843,77,"Like,Haha,Sad"
2374532089340771,40,"Like,Sad"
2374526986007948,92,"Like,Sad,Wow"
2374522519341728,295,"Angry,Like,Wow"
2374511326009514,25,Like
2321413294652651,315,"Like,Sad,Wow"
2321412134652767,43,"Like,Sad"
2321409601319687,128,"Like,Love,Haha"
2318971151563532,174,"Like,Haha,Love"
2318969298230384,386,"Like,Haha,Wow"
2318967104897270,763,"Like,Haha,Sad"
2318966074897373,196,"Like,Haha,Sad"
2318964601564187,105,"Like,Haha,Love"
2318963161564331,163,"Like,Haha,Wow"
2311732172287430,22,"Like,Love"
2311730952287552,401,"Like,Haha,Love"
2299950236798957,915,"Like,Haha,Love"
2296214677172513,114,"Like,Haha"
2295166430610671,157,"Like,Sad,Haha"
2287990087994972,176,"Like,Haha,Sad"
2287914731335841,242,"Like,Haha,Love"
2287654574695190,61,"Like,Haha,Love"
2287390638054917,835,"Like,Haha,Sad"
2286270204833627,172,"Like,Love,Haha"
2286131941514120,113,"Like,Haha,Sad"
2286129404847707,350,"Haha,Like,Love"
2286127911514523,72,"Sad,Like,Love"
2286125894848058,106,"Like,Haha,Sad"
2286123748181606,41,"Like,Haha,Sad"
2286121688181812,70,"Like,Haha,Angry"
2286119741515340,85,"Like,Haha,Sad"
2286118704848777,43,"Like,Haha,Love"
2286117694848878,122,"Like,Haha,Wow"
2286090924851555,26,"Like,Haha"
2286088078185173,485,"Like,Haha,Love"
2286084708185510,826,"Like,Haha,Sad"
2286083401518974,31,"Like,Sad,Love"
2286079894852658,98,"Like,Haha,Sad"
2286076418186339,360,"Like,Haha,Wow"
2286075274853120,99,"Haha,Like,Wow"
2286074828186498,67,"Like,Love"
