post_id,text,post_text,shared_text,time,image,video,likes,comments,shares,post_url,link
2570342279895294,,,,1591126991,https://scontent.ftlv5-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/101559134_2570341333228722_4044087939729195008_n.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=YcYKPg2W0TEAX_wobmV&_nc_ht=scontent.ftlv5-1.fna&tp=14&oh=22aed324afcd6227aed1cd9810b50446&oe=5F400CF9,,630,6,0,https://m.facebook.com/story.php?story_fbid=2570342279895294&id=2026217620974432,
2611320599130795,"#Sheffession9937
1 week into an essay: This will all be fine
2 months into an essay:","#Sheffession9937
1 week into an essay: This will all be fine
2 months into an essay:",,1595534470,https://scontent.ftlv5-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/110313216_2611320605797461_8918032834931193543_o.jpg?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=cK4zOrvNhagAX-pVUmG&_nc_ht=scontent.ftlv5-1.fna&tp=14&oh=20c219e06dd238176bcfba12bdccc69f&oe=5F416ABA,,391,29,0,,
2611155032480685,"#Sheffession9936
http://chng.it/dDCywTX8h8
Hi, we're attempting to let the UKVI extend the international students' current T4 visas to prevent the coming illegal stayings...Please help us sign this petition, we would be very grateful!!","#Sheffession9936
http://chng.it/dDCywTX8h8
Hi, we're attempting to let the UKVI extend the international students' current T4 visas to prevent the coming illegal stayings...Please help us sign this petition, we would be very grateful!!",,1595518745,,,27,0,0,https://m.facebook.com/story.php?story_fbid=2611155032480685&id=2026217620974432,http://chng.it/dDCywTX8h8
2610954809167374,"#Sheffession9935
Can a British person please explain why y’all are still using Snapchat?
Sincerely,
Rest of Europe.","#Sheffession9935
Can a British person please explain why y’all are still using Snapchat?
Sincerely,
Rest of Europe.",,1595501467,,,177,17,0,https://m.facebook.com/story.php?story_fbid=2610954809167374&id=2026217620974432,
2610461272550061,"#Sheffession9934
At a house party last night and spoke to someone who considers themselves a ‘BNOC’. Unsure on what this acronym was, she told me it stood for ‘Big Name on Campus’ and that everyone knew her. This was the cringiest, most vile thing that I had ever heard so we left after laughing in her face.","#Sheffession9934
At a house party last night and spoke to someone who considers themselves a ‘BNOC’. Unsure on what this acronym was, she told me it stood for ‘Big Name on Campus’ and that everyone knew her. This was the cringiest, most vile thing that I had ever heard so we left after laughing in her face.",,1595451135,,,240,54,0,https://m.facebook.com/story.php?story_fbid=2610461272550061&id=2026217620974432,
2610303949232460,"#Sheffession9933
Biggest culture shock when I (Asian) came to the uk was finding out many white people don’t like mushrooms. wtf.","#Sheffession9933
Biggest culture shock when I (Asian) came to the uk was finding out many white people don’t like mushrooms. wtf.",,1595434028,,,155,16,0,https://m.facebook.com/story.php?story_fbid=2610303949232460&id=2026217620974432,
2610011999261655,"#Sheffession9932
World class university yet it can't sort out it's system for distributing results. Maybe, just maybe it would be a good idea to not have every fucker going to access their results at the exact same time.","#Sheffession9932
World class university yet it can't sort out it's system for distributing results. Maybe, just maybe it would be a good idea to not have every fucker going to access their results at the exact same time.",,1595406245,,,516,18,0,https://m.facebook.com/story.php?story_fbid=2610011999261655&id=2026217620974432,
2609549242641264,"#Sheffession9931
Ahead of results day/graduation next week I have made a few prints of my favourite places in Sheffield. I thought they’d make nice gifts for friends or just a nice reminder for yourself. I am also taking custom orders if anyone is interested dm my Etsy! https://www.etsy.com/uk/shop/sheffieldprints?ref=simple-shop-header-name&listing_id=826461914","#Sheffession9931
Ahead of results day/graduation next week I have made a few prints of my favourite places in Sheffield. I thought they’d make nice gifts for friends or just a nice reminder for yourself. I am also taking custom orders if anyone is interested dm my Etsy! https://www.etsy.com/uk/shop/sheffieldprints?ref=simple-shop-header-name&listing_id=826461914",,1595352791,https://scontent.ftlv5-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/109954978_2609549245974597_3777252649101895275_o.jpg?_nc_cat=101&_nc_sid=2d5d41&_nc_ohc=wToQtVRAsiwAX-zCu3E&_nc_ht=scontent.ftlv5-1.fna&tp=14&oh=2ae39fc08f327f71eac934fd4a31e4e3&oe=5F417CE2,,257,3,0,,https://www.etsy.com/uk/shop/sheffieldprints?ref=simple-shop-header-name&listing_id=826461914
2609263742669814,"#Sheffession9930
It’s been a while but I was going through my sc memories- I was talking to this guy on my course who said “so like what tribe are you from in India” “like are you desi or what” DESI PEOPLE ON HERE Y’ALL PLEASE EXPLAIN WHAT BEING BROWN AND BEING DESI MEANS (a lot of non brown people think being brown has something to do with racism and solely skin colour when it isn’t like that) I hate the stereotypes, India is so diverse and people just assume stuff on their own","#Sheffession9930
It’s been a while but I was going through my sc memories- I was talking to this guy on my course who said “so like what tribe are you from in India” “like are you desi or what” DESI PEOPLE ON HERE Y’ALL PLEASE EXPLAIN WHAT BEING BROWN AND BEING DESI MEANS (a lot of non brown people think being brown has something to do with racism and solely skin colour when it isn’t like that) I hate the stereotypes, India is so diverse and people just assume stuff on their own",,1595331312,,,39,5,0,https://m.facebook.com/story.php?story_fbid=2609263742669814&id=2026217620974432,
2608829652713223,"#Sheffession9929
Can't wait to get to Kurger Bing for a beesechurger and chimkin nuggets with my free Rishibucks, lowkey need to get rid of them asap because a Tory gave them me.","#Sheffession9929
Can't wait to get to Kurger Bing for a beesechurger and chimkin nuggets with my free Rishibucks, lowkey need to get rid of them asap because a Tory gave them me.",,1595276348,,,46,8,0,https://m.facebook.com/story.php?story_fbid=2608829652713223&id=2026217620974432,
