post_id,total_reactions,top_reactions
2570342279895294,865,"Like,Love,Care"
2611320599130795,612,"Like,Haha,Sad"
2611155032480685,33,"Like,Care,Love"
2610954809167374,258,"Like,Haha,Love"
2610461272550061,364,"Like,Haha,Angry"
2610303949232460,205,"Like,Haha,Sad"
2610011999261655,669,"Like,Haha,Love"
2609549242641264,326,"Like,Love,Wow"
2609263742669814,51,"Like,Haha,Wow"
2608829652713223,64,"Like,Haha,Love"
2608622236067298,380,"Like,Haha,Love"
2608432572752931,1K,"Love,Angry,Like"
2607937296135792,152,"Like,Haha,Love"
2607786512817537,224,"Like,Haha,Wow"
2607431696186352,254,"Like,Haha,Sad"
2607281806201341,116,"Like,Haha,Wow"
2607128686216653,92,"Like,Haha,Love"
2606964906233031,73,"Like,Sad,Haha"
2606618292934359,97,"Like,Haha,Wow"
2606480719614783,47,"Like,Haha,Love"
2606319102964278,355,"Like,Haha,Sad"
2605947039668151,82,"Like,Haha,Sad"
2605734469689408,235,"Like,Haha,Angry"
2605581656371356,353,"Like,Haha,Wow"
2605472546382267,216,"Like,Sad,Care"
2605313703064818,37,"Like,Wow,Sad"
2605020483094140,69,"Like,Love,Care"
2604926093103579,59,"Like,Sad,Haha"
2604829653113223,190,"Like,Love,Care"
2604616473134541,96,"Like,Haha,Sad"
2604285419834313,93,"Like,Haha,Wow"
2604144473181741,109,"Like,Haha,Wow"
2604011396528382,312,"Like,Haha,Love"
2603869613209227,294,"Like,Haha,Wow"
2603504369912418,356,"Like,Care,Sad"
2603321046597417,57,"Like,Haha,Love"
2603200236609498,168,"Haha,Like,Wow"
2603078896621632,1.7K,"Like,Haha,Sad"
2602941739968681,416,"Angry,Like,Haha"
2602606580002197,85,"Like,Haha,Angry"
2602490840013771,492,"Like,Haha,Sad"
2602307280032127,300,"Like,Haha,Wow"
2602126110050244,314,"Like,Haha,Sad"
2601756520087203,161,"Haha,Like,Sad"
2601585350104320,193,"Like,Haha,Love"
2601430816786440,2.2K,"Love,Like,Haha"
2601048810157974,279,"Like,Love,Care"
2600878410175014,206,"Like,Haha,Wow"
2600688736860648,260,"Like,Haha,Love"
2600457793550409,806,"Like,Haha,Love"
2600082013587987,150,"Like,Haha,Love"
2599670593629129,361,"Like,Haha,Love"
2599324986997023,82,"Like,Haha"
2599168530346002,176,"Like,Sad,Haha"
2598996497029872,823,"Like,Haha,Love"
2598609533735235,179,"Like,Haha,Wow"
2598454110417444,115,"Like,Haha,Wow"
2598312410431614,293,"Like,Haha,Love"
2598091043787084,285,"Love,Sad,Like"
2597792473816941,135,"Like,Haha,Love"
2597655283830660,396,"Like,Haha,Wow"
2597509163845272,126,"Like,Haha,Wow"
2597213270541528,444,"Like,Haha,Love"
