post_id,total_reactions,top_reactions
1774752499302973,73,"Like,Love,Wow"
2798329136945299,151,"Like,Care,Love"
2798247693620110,81,"Like,Sad,Love"
2798246260286920,118,"Haha,Love,Like"
2798244920287054,1,Like
2798243166953896,4,Like
2798232166954996,1,Like
2798231870288359,7,"Like,Sad"
2798231163621763,18,Like
2798227446955468,7,"Like,Love"
2798223943622485,75,"Care,Like,Love"
2798222950289251,3,"Haha,Like"
2798182263626653,63,"Like,Love,Haha"
2798181190293427,4,Like
2798180910293455,146,"Like,Love,Sad"
2798180666960146,3,Sad
2798177456960467,4,Like
2798177303627149,15,"Haha,Like"
2798177123627167,26,"Like,Haha,Love"
2798177040293842,25,Like
2798176440293902,2,Like
2798176383627241,13,"Like,Sad"
2798176053627274,1,Like
2798175683627311,52,"Like,Haha"
2798175540293992,19,"Like,Angry,Sad"
2798175430294003,2,Like
2798175093627370,92,"Like,Haha,Love"
2798174843627395,26,"Like,Sad,Haha"
2798174793627400,82,"Haha,Like,Sad"
2798174410294105,38,"Like,Haha,Love"
2798173683627511,0,
2798173603627519,21,"Like,Haha,Wow"
2798173340294212,0,
2798172780294268,96,"Like,Care,Sad"
2798172563627623,20,Like
2798172206960992,2,Like
2798172213627658,0,
2798171396961073,1,Wow
2798171106961102,0,
2798170866961126,1,Like
2798170390294507,26,"Like,Haha,Care"
2798170266961186,0,
2798169973627882,15,"Like,Haha,Sad"
2798169900294556,2,Haha
2798169736961239,16,"Sad,Like,Wow"
2798169946961218,1,Sad
2798169313627948,2,"Like,Haha"
2798169260294620,3,Like
2798169010294645,4,Like
2798168393628040,0,
2798168216961391,7,"Like,Haha,Wow"
2798167840294762,14,Like
2798167500294796,20,Like
2798166076961605,1,Like
2798165980294948,68,"Like,Care,Sad"
2798163720295174,3,Like
2798163526961860,638,"Like,Haha,Care"
2798163366961876,89,"Like,Love,Care"
2798163230295223,4,"Like,Sad"
2798162283628651,5,"Haha,Like"
2798162050295341,12,"Like,Wow,Haha"
2798161710295375,0,
2798160823628797,13,"Like,Haha,Care"
2798158816962331,46,"Like,Haha"
2798157316962481,78,"Like,Sad,Care"
2796095560501990,2,Like
2796029307175282,82,"Like,Love,Haha"
2796026777175535,44,"Like,Love,Wow"
2796025010509045,0,
2796002550511291,34,"Like,Haha"
2796002123844667,39,"Like,Love"
2796000890511457,29,Like
2796000427178170,54,"Like,Love,Care"
2795999710511575,97,"Like,Love,Sad"
2795999137178299,332,"Like,Sad,Love"
2795998343845045,10,"Like,Care,Love"
2795998127178400,8,"Like,Love"
2795997783845101,30,"Like,Love"
2795997513845128,18,"Like,Love,Wow"
2795997227178490,2,Love
2795996933845186,8,"Like,Love"
2795996567178556,7,Like
2795996310511915,2,Like
2795995513845328,0,
2795995347178678,34,"Like,Haha,Wow"
2795995167178696,3,Like
2795994990512047,6,"Like,Love"
2795994910512055,16,"Haha,Like"
2795993980512148,4,"Like,Haha"
2795993907178822,22,"Like,Haha,Love"
2795993743845505,11,Like
2795993640512182,11,"Like,Care,Haha"
2795993513845528,27,"Like,Love,Care"
2795993333845546,34,Like
2795993183845561,2,Like
2795992713845608,0,
2795992547178958,698,"Like,Sad,Haha"
2795992367178976,4,"Like,Haha"
2795992063845673,2,Like
2795991787179034,168,"Like,Haha,Care"
2795991660512380,3,Like
2795991280512418,0,
2795991120512434,0,
2795987747179438,2,Like
2795987517179461,1,Like
2795985747179638,2,"Like,Haha"
2795985197179693,0,
2795985073846372,27,"Like,Love"
2795984793846400,80,"Like,Love,Angry"
2795984313846448,4,Like
2795984227179790,9,"Like,Sad"
2795983980513148,1,Like
2795983303846549,1,Like
2795982883846591,9,Like
2795981450513401,165,"Like,Love,Haha"
2795979953846884,17,"Like,Wow,Haha"
2795978793847000,0,
2795978463847033,1,Like
2795976823847197,1,Like
2795976203847259,8,Like
2795975640513982,31,"Like,Angry"
2795975400514006,36,"Like,Love,Haha"
2795973247180888,53,"Like,Love,Haha"
2795972913847588,2,Like
2795972543847625,2,Like
2795971957181017,10,Like
2795971387181074,11,Like
2795971030514443,24,"Like,Angry,Haha"
2795970390514507,0,
2795967793848100,7,"Like,Haha"
2795966960514850,9,"Like,Sad,Haha"
2793671444077735,48,"Like,Sad,Love"
2793671324077747,0,
2793671227411090,110,"Like,Haha,Love"
2793671024077777,132,"Like,Sad,Love"
2793670840744462,125,"Like,Haha,Care"
2793670454077834,3,Like
2793670034077876,52,"Haha,Like,Love"
2793669610744585,64,"Like,Love,Haha"
2793667514078128,52,"Like,Sad,Care"
2793667190744827,33,"Like,Love,Wow"
2793661967412016,1,Wow
2793661790745367,4,"Like,Haha,Care"
2793661654078714,0,
2793661320745414,40,Like
2793661057412107,108,"Like,Love,Haha"
2793660147412198,5,"Like,Wow"
2793659737412239,8,"Like,Haha"
2793658604079019,1,Like
2793658437412369,1,Love
2793658374079042,0,
2793658237412389,5,"Like,Wow,Sad"
2793658017412411,21,Like
2793657190745827,3,Like
2793657067412506,27,"Like,Haha"
2793656867412526,163,"Like,Haha,Wow"
2793656724079207,19,"Like,Love,Haha"
2793655987412614,1,Like
2793655464079333,0,
2793655324079347,0,
2793655224079357,173,"Like,Love,Angry"
2793655004079379,4,Like
2793654904079389,2,"Like,Haha"
2793654674079412,5,"Haha,Like,Sad"
2793653964079483,0,
2793653707412842,0,
2793653094079570,10,"Like,Haha,Love"
2793309534113926,7,"Like,Care"
2791597284285151,176,"Like,Sad,Haha"
2791597060951840,35,"Like,Love,Haha"
2791596960951850,135,"Like,Haha,Love"
2791596784285201,5,Like
2791596694285210,7,"Love,Like,Care"
2791596604285219,43,"Like,Sad,Haha"
2791596490951897,14,"Like,Sad"
2791470657631147,1,Sad
2791470450964501,32,Like
2791470227631190,58,"Like,Care,Love"
2791469890964557,13,"Like,Love,Haha"
2791469574297922,1,Like
2791467090964837,13,"Like,Sad"
2791466904298189,19,"Like,Care,Sad"
2791465474298332,30,"Like,Love"
2791464024298477,2,Like
2791463830965163,10,"Like,Wow,Sad"
2791463600965186,2,Like
2791463407631872,115,"Like,Haha,Love"
2791463067631906,435,"Like,Love"
2791462880965258,0,
2791462774298602,12,"Like,Love,Sad"
2791051497673063,17,"Like,Haha,Love"
2791051344339745,23,"Haha,Like,Wow"
2791050764339803,109,"Like,Love,Care"
2790981194346760,67,"Like,Love,Haha"
2790980304346849,143,"Haha,Like,Sad"
2790979547680258,2,Like
2790979391013607,3,Like
2790978791013667,88,"Like,Love,Haha"
2790977731013773,21,"Like,Love"
2790977461013800,11,Like
2790929204351959,23,"Like,Sad,Love"
2790928747685338,6,"Sad,Like,Care"
2790770181034528,43,"Like,Love,Haha"
2790748891036657,5,"Like,Angry"
2790747997703413,1,Like
2790747771036769,50,"Like,Love,Haha"
2790747571036789,1,Like
2790747487703464,1,Care
2790656827712530,0,
2790656554379224,7,"Like,Love,Haha"
2790656164379263,36,"Like,Wow"
2790653351046211,13,"Like,Sad,Care"
2790652831046263,58,Like
2790652677712945,23,"Like,Haha,Love"
2790651824379697,11,"Like,Love"
2790650001046546,0,
2790649904379889,15,Like
2790647821046764,39,Like
2790647417713471,36,"Like,Love"
2790396341071912,8,Like
2790396021071944,25,"Like,Love,Haha"
2790395797738633,0,
2790395061072040,57,"Like,Haha"
2790394977738715,44,"Haha,Like"
2790394821072064,50,"Like,Love,Haha"
2790394691072077,12,"Like,Sad,Care"
2790394464405433,141,"Like,Haha,Care"
2790394361072110,1,Love
2790394137738799,1,Like
2790236351087911,23,"Like,Haha,Sad"
2790236024421277,10,"Like,Sad"
2790028287775384,124,"Like,Angry,Haha"
2789998167778396,3,Like
2789998011111745,0,
2789997717778441,4,Like
2789997151111831,27,"Like,Love"
2789996427778570,26,"Like,Wow,Haha"
2789995481111998,0,
2789988531112693,1,Like
2789987044446175,2,"Like,Haha"
2789986691112877,62,"Like,Haha,Love"
2789986097779603,114,"Like,Sad,Care"
2789985857779627,0,
2789985581112988,48,"Like,Love"
2789985461113000,2,Like
2789984991113047,1,Like
2789984884446391,119,"Like,Haha,Love"
2789984474446432,12,"Like,Love,Care"
2789983551113191,60,"Like,Love,Haha"
